Song For My Father (Rudy Van Gelder Edition) [1999 - Remastered],Horace Silver,Song For My Father,Tngfd5swvvurx77kr5tqpj7amiu
Watermelon Man (Rudy Van Gelder Edition) (2007 - Remaster),Herbie Hancock,Takin' Off (Rudy Van Gelder Edition),Tlc26vkm3cht2vlcquagyrukc5q
But Not For Me,John Coltrane,My Favorite Things (Deluxe Edition),Tbr7v7roqoyuot667oystestqca
Moanin' (1993 Remastered Version),Sarah Vaughan,Jazz Profile: Sarah Vaughan,T4ftfci23d63fdfuokbp5gpaf3m
Cantaloupe Island,Herbie Hancock,The Soul of Jazz,Tg7okuylsq4khluyaz7rjdhqr2i
Body And Soul,John Coltrane,The Very Best Of John Coltrane,Twh2s65w5lriugps46nn5ijdfci
In A Sentimental Mood,Sonny Rollins,The Best Of Sonny Rollins,Thcd6jq5d3ikb7deyhattitvcvy
My Favorite Things,John Coltrane,"The Best of Jazz 200 Classics, Vol.8",Te4svbxymgbya4wv76i37n46h6y
Almost Like Being in Love (feat. Paul Chambers & Art Taylor),Red Garland,Red Garland's Piano,Tz3w3lumq5ai7k54dz22lrhjce4
'Round Midnight (Rudy Van Gelder 24-Bit Mastering) (1998 Digital Remaster),Thelonious Monk,Genius Of Modern Music: Vol. 1,T3d4rgikp5fswzfcftkeiduendy
Blue Train (Rudy Van Gelder Edition) (2003 - Remaster),John Coltrane,Blue Train (Rudy Van Gelder Edition),Tq2ysqjbdgk3juoielqsuvnpatq
Penthouse Serenade,Erroll Garner,Woody Allen et la musique,Thh26fham4tigtveybndy4ab4o4
Mercy Street,Black Uhuru,Mystical Truth,T45oufw7fd7etmzf7ywgr5uatya
Everytime We Say Goodbye,John Coltrane,My Favorite Things (Deluxe Edition),T6jgiookc4w3jszve434fvmgtm4
You're Driving Me Crazy,Earl Fatha Hines,"At Sundown (The Definitive Black & Blue Sessions (Berne, Switzerland 1978))",Thbhyah2hzg5b2lyvweqlim4bka
Trane's Blues (aka John Paul Jones) (Instrumental),John Coltrane,Trane's Blues,Tznl5hpebh63pqdohf2jzzgx4xi
Profile of Jackie,Charles Mingus,Pithecanthropus Erectus + The Clown,Thughcx2p5houpbley4y2xekriq
So What,Miles Davis,"Kind of Blue 50th Anniversary (Legacy Edition, Remastered, Doxy Collection)",Tf2bvcwde7cymmqqltnpuxv2yji
Wave,Paul Desmond,Bossa Nova - This Is Jazz # 29,T56td7e536hjcvealnmcov3expy
Naima,John Coltrane,Giant Steps (Deluxe Edition),Tspewjmyrshsc33qwuf4x4d7fne
Love for Sale,Miles Davis,"Kind of Blue 50th Anniversary (Legacy Edition, Remastered, Doxy Collection)",T7ey2tz235h7f24v5caf4il3sd4
Stardust,John Coltrane,Stardust [Rudy Van Gelder edition],Tmk43husppbwbzc6jpbrhgkm6uy
Ginza Samba,Vince Guaraldi,From All Sides (Remastered),T3vk7iangiqp7ro3e7kcabz7xre
Afro Blue (Live In Stockholm / 1963),John Coltrane,Afro Blue Impressions [Remastered & Expanded],T2rvwqivrbm3deh3e6dycvxyimm
Body And Soul,Anita Baker,Rhythm Of Love,Twuyvhz6362eg5tc4dgsqoz4hfu
Bags' Groove (Live),Miles Davis Sextet,Bye Bye Blackbird,Tlb7hmbhexbx4vr4rdu5gkprsy4
Poinciana (The Song of the Tree),Ahmad Jamal,The Piano Scene,T3h3wnrbvc7d4g6aj3bc24gszre
Night and Day (Remastered),Frank Sinatra,Frank Sinatra Greatest Hits (All Tracks Remastered),Tv26mwb6kapkavhltqughdtmvom
The Theme from Black Orpheus,Paul Desmond,Take Ten,Tz22iyoq7e32uc3omm2psc64y3y
Easy To Love,Bill Evans,Plays For Lovers,Tnlnkvq2gegtdrgv4cdgsjlx47i
In a Sentimental Mood,Bill Evans,Jazz For Cool Days,Trdzqeo7244z3c3x2g542icy364
Pithecanthropus Erectus,Charles Mingus,Pithecanthropus Erectus + The Clown,Tc2ds6lqlgkrimhiwehkjpcey6i
In a Sentimental Mood,Duke Ellington,Duke Ellington and John Coltrane,Trvs6k4js5co5qp5ikwkfmxqq3e
Blue Rondo à la Turk,The Dave Brubeck Quartet,Time Out,Tnmw6qo5liwxvukhgtfz3473g54
Misty,Erroll Garner,Jazz Around Midnight: Erroll Garner,T53jalkbivslntcgzuijlsqcgbu
Take Five,The Dave Brubeck Quartet,Time Out,Tn5pmntxulndl4mdhdmanhqw74i
Corner Pocket (Remastered),Count Basie and His Orchestra,Count Basie and His Orchestra Greatest Hits (Remastered 2017),T4bseoiv42bsvwikkiudcg5seim
Ruby My Dear (Rudy Van Gelder Edition) (1998 - Remaster),Thelonious Monk,Genius Of Modern Music: Vol. 1,T4k7wvzi4ey6tss5yipeqm7rafm
"Ruby, My Dear",Thelonious Monk,Thelonious Monk with John Coltrane (OJC Remaster),Tuzeg4674me4lbxe5tkvlickeu4
Dear Old Stockholm,Miles Davis,Miles Davis Vol.1,Tfk6rkz2n667xvyarpue5jlxyeu
Funkallero,Bill Evans,The Bill Evans Album,Tkx5qpkvxubl6vrt5dzn4u4anom
Samba De Orfeu,Paul Desmond,100 ans de jazz,Tf7v5bamqt2s7ky3adi4l4oi4fu
"Straight, No Chaser (2nd Version)",Thelonious Monk,"Original Works (Original Artist, Original Recordings)",Tfiyy6x3hlsctcvstukqoaecvoq
"Straight, No Chaser",Thelonious Monk,The Best of Thelonious Monk,Tx3tftifbcfrltvaf3amd7uzi5i
There Will Never Be Another You (Remastered),Lester Young,Summer Songs,Tc6yl66h4l364a5sw5y3mdtl7li
West Coast Blues (Remastered),Wes Montgomery,The Incredible Jazz Guitar of Wes Montgomery (Remastered 2014),Tgaqax6fs42q3v6j4a3dx6b4ngu
Blue Rondo à la Turk,Dave Brubeck,Dave Brubeck's Greatest Hits,Ttc2xr3r6bebysdfgxofdi4iruu
Giant Steps,John Coltrane,The Very Best of - John Coltrane,T2d4w5jmn3fszhaccxu5n66z2o4
Cousin Mary,John Coltrane,The Very Best Of,Ttrzrr62zxrkfu6vwl2syn2twmm
Naima,John Coltrane,The Very Best of - John Coltrane,Txxzzprs6by4wu62ffy72bhq6qe
Like Sonny,John Coltrane,The Best of John Coltrane (Spiral Collection),Tbzt6xcttwz43cz5g25jbplxdce
You're Driving Me Crazy,Chet Baker,The Very Best Of Jazz - Chet Baker,Tmbgtz4iz2sqkvchjalidmnhf2m
How High The Moon,Chet Baker,The Very Best Of Jazz - Chet Baker,Tgmhwaagmdrdvkf3nn5qwnj5aj4
Penthouse Serenade,Erroll Garner,Long Ago And Far Away,Tvy5nirf4k23l6qznogfbcmpivm
Poor Butterfly (1999 Digital Remaster) (The Rudy Van Gelder Edition),Sonny Rollins,The Very Best,Tyxbp4wnpgcgsfuco6n4fc24kpu
Autumn Leaves,Frank Sinatra,The Masters,T6t5qelbqoe3zrn62t7vyycikgm
Just Friends,Charlie Parker,Charlie Parker With Strings (Classics International Version),Tsfdnh3igbjecelkam6bnnsx2ee
They Can't Take That Away From Me,Charlie Parker,Charlie Parker With Strings (Classics International Version),Tk5dbwxf3tuknzcnsbduywbmdh4
Lonely Woman (Rudy Van Gelder Edition) (1999 Digital Remaster),Horace Silver,Song For My Father,Tp2briibwptgu5nh6bbrnxxfnu4
Mimosa (2005 Digital Remaster),Herbie Hancock,Inventions and Dimensions,T5q3ublwtsvnebd733bovsi5keu
Night and Day,Sonny Rollins,The Standard Sonny Rollins,Ttbapux7sxrgeu4hy4wbsep2puy
I'll Be Seeing You,Sonny Rollins,The Standard Sonny Rollins,Tqg75nc4d7mitmtf6xy3jf5krbm
Night And Day,Stan Getz,Stan Getz & Bill Evans,Tmyte6wxoa7yvcue6gfnoiihbrq
