Tristeza do Jeca,Tonico E Tinoco,Co Suas Modas Sertanejas,Tw655wytuqhtrjqb4nlekya2iim
O Menino da Porteira,Sérgio Reis,Clássicos Sertanejos,Tksaamteab4obsyddwqbhzktjly
Chico Mineiro,Tonico E Tinoco,Co Suas Modas Sertanejas,Trsdh5frujju36obg2aphbo4vou
Chalana,Almir Sater,Mario Zan 60 Anos de Música,Tvdwwi4pixclj47zxn7wibhxt4y
Cabocla Tereza,Raul Torres e Florêncio,70 Anos da Melhor Música Sertaneja - Vol. 01,T32q42v7m4hoc2v73puhkpr2bmi
Moda da Mula Preta,Raul Torres & Florêncio,Em Dose Dupla,Thm36aap4warkjvfupu3blphtqm
Luar do Sertão,Pena Branca e Xavantinho,O Melhor de Pena Branca e Xavantinho,Txjlyz2vx5zbj7byvfhskaioopa
Rio De Lágrimas (Rio De Piracicaba),Inezita Barroso,Raizes Sertanejas,T5hjirr3v5lj45xhmeyoztuwrwm
Pagode em Brasília,Tião Carreiro & Pardinho,Pagodes,T25kekc2y7rwpl2f2wg47gbspne
Saudade da Minha Terra,Belmonte e Amaraí,Coletânea dos Grandes Sucessos,Tr23imzwaxoz3zvx7ngu24msguy
Estrada da vida (Créditos finais),Milionário & José Rico,"Milionário e José Rico ""Edição Especial""",Tupvedaqqua42wzoknznhyigj54
Irmão do Ferreirinha,Tião Carreiro & Pardinho,Dose Dupla,Tvywovixquu6h7dqgwyuik5bqsy
Moreninha Linda,Tonico e Tinoco,"Recordando o 78, Vol. 7",Txmooaszki54aizyr77onnv37wu
Romaria,Renato Teixeira,Meio Século De Música Sertaneja Vol.5,Tmmbwzdvuwjzw43igqqsezjkuju
Amor natural,Zezé Di Camargo,Zezé Di Camargo,T3x265vpphj7oyfe6t7nzev577q
Meu Primeiro Amor,Cascatinha e Inhana,"Mais de Meio Século da Música Sertaneja, Vol 2",Tqy63mmstapsxx5uiy3djzngzh4
O Bonde Camarão (Moda de Cornélio Pires),Pedro Massa,"A Turma Caipira de Cornélio Pires, Vol. 2",Tdwdq6yfekm75etngppjugpeezy
Chico Mulato,Raul Torres,"Meio Século de Música Sertaneja, Vol.1",T5hbdrr3tlkvqzntnpjeddrrphy
Flor do Cafezal,Cascatinha e Inhana,Só Sucessos,T5bvtsm5plkfggzdcde3ijygzm4
Pingo D'Água,Raul Torres & Florencio,Clube Da Viola - Raízes Volume 2,Tnqi76o4yao4j4ya6oar5jarrrq
Canoeiro,Carreiro e Carreirinho,24 Sucessos: Modão de Viola,To5624cllc7zmsyuhgnsskkyimq
Calix Bento,Pena Branca & Xavantinho,Gigantes,T7ywclfldbgdmwlimcvgt7ovig4
Um violeiro toca,Almir Sater,Popularidade,Tmx72raaeaxzxbyp7eurn2o6xge
Maringá,Inezita Barroso,Maringá,Tp77r6ueds7eu4vb2uq5nt5xnfu
Ave Maria,Xororo,"Músicas para o Meu Casamento, Vol. 1",Ti5v2dyo2jin2zf3prb7ni5nqsu
Majestade O Sabiá,Jair Rodrigues,Disparada,Tlms562yfglctyokuawbmpojvoq
Rei do Gado,Tião Carreiro & Pardinho,Rei do Gado,T5bte5dtibgmxw5ec2g22gygql4
Sonora Garoa,Passoca,Sonora Garoa,T3pijhol4ycdrawsqnd4egxnz4i
Jorginho do Sertão,Palmeira & Biguá,Palmeira & Biguá,T3bpkjsfrszolpy4aempqqbc4ce
No Rancho Fundo,Elisa Coelho,Ary Barroso Songbook - Brazil 1930-1942,Tydt7qw5kahtdrycz5dpgxz2kw4
Asa Branca,Luiz Gonzaga,Asa Branca,Tjb66ro74c6ikiqqgrsynohfgm4
Dor da Saudade,Mazzaropi,Luar Do Sertão 2 - Mazzaropi,Tlmddujagh2hpe46bsyys3vdkga
Mágoas de Boiadeiro,Pedro Bento,Grandes Sucessos,T52jt7lqdkz6pr7xnhambx6pjl4
Pé de Ipê,Tonico e Tinoco,Os Maiores Sucessos,To2vdr7xu4mm2yo5dmr5iq7swvi
Azulão (feat. Quarteto Sarambeque),Eliete Negreiros,Canção Brasileira A Nossa Bela Alma,Tzxqvgm7uegshouhqjco5lgnniq
Saudades De Matão,Luiz Gonzaga,Epoca De Ouro,Tmyezlsgizxq5zq3unsirumvbxm
Meu Velho Pai,Léo Canhoto e Robertinho,Léo Canhoto e Robertinho,Tbr7z7rvrpyfgvdfgphg5nmnwxu
Fio De Cabelo,Chitãozinho & Xororó,Nova Bis Sertanejo - Chitãozinho E Xororó,Tbwkpuhvkmww52tbpr5vu2gta3u
Fiz a Cama na Varanda,Conjunto Farroupilha,Gaúcho Bom Demais,T4gszlza2igs2qedvkjlgxospcu
Paineira Velha,Ze Fortuna E Pitangueira,Serie Premiada - Sertanejo,T7sggvasena6245sx4cngthrxge
Casinha Pequenina,Cascatinha e Inhana,Só Sucessos,Tqhp2funbrxeyskb5mc5puko4eu
Tocando Em Frente,Maria Bethânia,Maria Bethânia Sem Limite,Tkybwgkkp5gooynl3ii7ygq4ao4
Vestido De Seda,Teodoro E Sampaio,Vestido De Seda,Tnvbbijw2dzqntq2q3ahhrjqfzi
Camisa Branca,Leonardo,Alucinação,Ttlumqbaj65omuz6gix5f2nekya
Cuitelinho,Pena Branca and Xavantinho,Gigantes,Tsuy6yfv33m2lr7hlm5uuk3z3pi
Cheiro de Relva,Irmãs Galvão,Raízes da Música Sertaneja (Volume 16),Tswgs3uhhvt3b6xavqoevllskee
Dia de Formatura,Nalva Aguiar,Grandes Nomes da Música Sertaneja,Ttecxqrrhockaqweryaft2vg5em
Jogo do amor,Milionário & José Rico,Volume 09 (Trilha Sonora do Filme - Estrada da Vida),Twkh6dgkuxb6hdhsml4ykie6rca
Mourão da Porteira,Tonico e Tinoco,"Recordando o 78, Vol. 8",Tsdgwdu2iu64cfd6yqdpboae7ea
Ontem Ao Luar,Fafá de Belém,Sedução,T6dac2wb6vc2iowcuecu4qeiklq
Coração cigano,Gino & Geno,Coração Cigano,T223fddev7dm36gdwkc4kxfq65e
"Vide, Vida Marvada",Victor & Leo,O Cantor do Sertão,Tfd6yvxpoxljd45f3l4mmqsaugu
Fogão De Lenha,Chitãozinho & Xororó,Bis Sertanejo - Chitãozinho & Xororó,Tlr6atwkxbzc4vqzna4tgs4fovi
Pense em mim,Leandro & Leonardo,iCollection,Tg7erbijcgwc7ti6ujgc355pqtu
Ainda Ontem Chorei De Saudade,João Mineiro & Marciano,Sertanejo Só Clássicos,Tckjvgxgjxmaiiw6oehxezzcubm
Caboclo Magoado,Zico E Zeca,Cadeia da Saudade,Tytl5tsjxka4elvqthwmnn7iclq
Castelo De Amor,Trio Parada Dura,Trio Parada Dura - Nossa Estrada 1,Tbvy3lto6k26a3at3wor43mr6fe
Índia,Cascatinha e Inhana,Só Sucessos,Tcckssstlbncbxbvetf6x3lcpna
Baldrana Macia,Luiz Gonzaga,Luiz Lua Gonzaga,Turbgpmzvbqdi3pjvf2ez5qyd7e
Cana Verde,Tonico E Tinoco,Co Suas Modas Sertanejas,Talowb2d36cuky7mmo5cbfuf7j4
A coisa tá feia,Tião Carreiro & Pardinho,Seleção de Sucessos 1979 - 1983,Txvukr3dpoopiqkl6fmhw6cgi2m
Fuscão Preto,Trio Parada Dura,Sertanejo Só Clássicos,Txnqre5mldvorg7sxipgvym2dgi
