Some Day Sweetheart,Alberta Hunter,"50 Rockin' Oldies, Vol. 25",Tazyqtbq6adqxv2mzffwvzxxdwa
Bewildered,Amos Milburn,Let's Have A Party (HD Remastered),Trjgcmn566hi7j7svxqjy25bpr4
Baby You Better Listen,Arthur Gunter,Dance - The Complete Excello Singles 1954-1961,T6u66xfn5lxrxewpud7usgzqs3u
Bad Luck,B.B. King,Members Club,T4uz4w4zhs5x2xd2zebozrnwwje
Blind Love,B.B. King,Members Club,Tmpqavkbgxzfyzfbzpkc6e2rmr4
Good Time Rounder,Barbecue Bob,Atlanta Moan - The Best Of Barbecue Bob,To562nfm64m77mi2y4bd3b3s6ia
Yodling Blues,Bessie Smith,"Baby Won't You Please Come Home (Original Recordings, 1923)",T4v3sqhahuyzw5b7u4kctv4touy
I Can’t Make You Satisfied,Big Bill Broonzy,Blues Greats - Big Bill Broonzy - I Feel So Good,Tmbsgo3ndy2y2z6nac3kkvkre5q
Cry Baby Blues,Big Joe Turner,Blues Masters Vol. 2 (Big Joe Turner),Ttlg45ujj7nel2fhs4dlf7ecr6q
Brother James,Big Joe Williams,His Spirit Lives On,Tfvfmhyh4alaxpvc6zusjazc6km
I Smell a Rat,Big Mama Thornton,Filipino Baby,T264dblee3um5pfwxlj3qo4mbku
One Monkey Don´t Stop No Show,Big Maybelle,One Monkey Don´t Stop No Show,Txsq2wji2phylvpkwm6axkjwmai
C C Pill Blues,Blind Blake,100 Blues Classics,Tsvhwzmaxwtx5kiy7mutqrdh52q
Now You're Down in the Alley,Blue Lu Barker,"ABC Of The Blues, Vol. 4",Tgj5yqnim64umzgsjzdlxqcj4i4
Hush Your Mouth,Bo Diddley,"Rock Around the 50's, Vol. 06",T3fg6f565cssozids6ya6kocadm
Wise Man's Blues,"Bobby ""Blue"" Bland","ABC Of The Blues, Vol. 3",Tzxg76hupgoob5r4fbbu6za6mve
Strange Place Blues,Bukka White,Strange Place Blues,Tjho6tujx6x2qhihbbna2zksywu
Evening Shadows,Charles Brown,Cryin' and Driftin',Tsyzdqrefg2znsexkhoq66lrffm
Sadie brown,Cousin Joe,Pleasant Joseph as Cousin Joe 1945-1951 - New York & New Orleans Blues (Blues Collection Historical Recordings),Tiro77be355psnl4wm4vdkaobkm
I've Been So Good,Eddie 'Cleanhead' Vinson,Shouting 'Bout The Blues,Twdflqe52x46asnylwypyoinomy
Sunnyland (Remastered),Elmore James,Mean And Evil,Tecxz6ikitxizmktjpo5h5iopve
Telephone Blues,Floyd Dixon,Greatest Hits Blues 4,Te3fqq7rlnumum7dkrnsdxeoa3q
Bluebird (Blues),Howlin' Wolf,"Smokestack Lightning The Complete Chess Masters 1951-1960, Vol.1 (HD Remastered)",Tphq3qnmhmx5h5iqw3hsovaeqni
Shooty Booty,Ivory Joe Hunter,Rock & Jive,Tqgypkmdltghxlwqz7geljcyowi
Deceivin' Blues,Jimmy McCracklin,Blues Blaster 1948 to 1951,Tuh4e3g7sb55ivkbmp7bpq3frza
Rosetta,Jimmy Rushing,Good Morning Blues (The Collection),Tw66cdw3xaa3aegcaibwyybmsjq
Steady Rock Blues,Jimmy Yancey,The Complete Recorded Works - May 1939/Feb 1940,T7je266672ruggjqemwnxnqldme
Hobo Blues,John Lee Hooker,Dusty Road,Tiw3txw7fxufl72stukk23x3sei
Untouchable,"Johnny ""Guitar"" Watson","Hot Little Mama, Vol. 1",Th2cpdvwe5bzymevjl36i7xfl7u
New Orleans Shuffle,Johnny Otis,"ABC Of The Blues, Vol. 34",Tensr2vz5g3q64ppcqrfh27hyaq
Jerry (Remastered),Josh White,Defense Factory Blues,Tsgwktp7kn6k75wvquknpdi2lym
