Caleidoscópio,Dulce Quental,"Coleção Ouça, Toque E Cante - MPB",Tdhrnl2xszovqymrk74y24qavny
Justo Agora,Adriana Calcanhotto,Cantada,T2lsfkpz3puffeduwzjgstf4ope
Pra Sonhar,Marcelo Jeneci,Feito Pra Acabar,Twsrqsvtuce4dp5t2ahs454uea4
Um Anjo do Céu,Maskavo,Já,T27pjcza35qllrkvdg7qabhr5ge
Só Tinha de Ser Com Você,Fernanda Porto,Best Of Fernanda Porto,Tqek7mchclvoafyfeenbxuhdr7e
Balada do Amor Inabalável,Skank,#1 Hits,T6lktlrrj3zyy57z6xr6tcvhxua
Trem-Bala,Ana Vilela,Trem-bala,Ttotmd52432t3hv3yrb4u3uu7ze
Maresia (Ao Vivo),Adriana Calcanhotto,Focus On...Brazilian Pop,Tiwldbe3uy6b3ucge5ztfrfk4m4
Fui Eu,Sempre Livre,Avião De Combate,Tgjd6inseingronpzx34tbr4p2u
Falso milagre do amor,Trio Bembe,Trio Bembe,Tac465abbytdjwg3vdssgxw6xki
Viajando na Viagem,Celso Fonseca,Feriado,Tgynxe6i2sze4tnbmcc7urtr5bi
Feriado (feat. Ben Lamar),Celso Fonseca,Feriado,Tnowrhqvbycg34iltgramupdl4a
Onde Andarás,Adriana Calcanhotto,Maré,Tixow5flwdc5gwbjhbob73pjrlq
Simples Carinho,Gal Costa,"Songbook João Donato, Vol. 1",Tgbgmff2fqrkdohahon5arpyqty
Perfeição,João Bosco,"Não Vou Pro Céu, Mas Já Não Vivo No Chão",Tvf7wsd6mpfmmd7glb3sfd7tnke
Jogada Pelo Mundo,Gal Costa,Aquarela Do Brasil,Ta7lcvctha4esve7oc4qmyaivtm
