Minha Embaixada Chegou,Sururu na Roda,Sururu na Roda,Tfeeilacavwatxsifemumxbeqde
Na Linha do Mar / Beija-Me / Leviana / É Preciso Muito Amor,Sururu na Roda,Sururu na Roda,Tvx436jpwlddf2v75agnxhtfiy4
João Valentão / Vatapá,Sururu na Roda,Sururu na Roda,T5wwxzc24ylazucekrgtwe7vjd4
Na Glória,Sururu na Roda,Sururu na Roda,Tsohycujhblplsmdvdjlshdgyiy
Dorinha Meu Amor / Galvião Calçudo,Sururu na Roda,Sururu na Roda,Tyint22b2rcrqkm2i2vftpwrkge
Mil Réis,Sururu na Roda,Sururu na Roda,T3zexuharjnu7c5tprsawzjt5oi
Cem Mil Réis,Sururu na Roda,Sururu na Roda,T7adesye3csn44e46a4o7tuozv4
E o Mundo Não Se Acabou / O Neguinho e a Senhorita,Sururu na Roda,Sururu na Roda,Tkrf6os6e44ce5oxkda6fd5aggq
A Rita / Samba do Grande Amor / Homenagem ao Malandro / Feijoada Completa (feat. Chico Buarque),Sururu na Roda,Sururu na Roda,T47j3fulefdz4n7fzdlrxjupppi
Esperanças Perdidas / A Voz Morro / A Alegria Continua,Sururu na Roda,Sururu na Roda,Tpu32duqi4h6adva7y2cxratbku
Alvorada / Quem Me Vê Sorrindo /Mão Quero Mais Amar a Ninguem,Nilze Carvalho,Lembranças Cariocas,Tuoekcery6ta5eufqx3icqycavy
A Primeira Vez / Madalena Você Foi Ao Samba / Nunca Mais,Nilze Carvalho,Lembranças Cariocas,Tpyku5f3gnidth2ncrio5ncz3ou
Nunca / Ninguém Me Ama / Risque,Nilze Carvalho,Lembranças Cariocas,Td35fijmlkhm4n5vjcmo2aubh44
Sábado Em Copacabana / Copacabana,Nilze Carvalho,Lembranças Cariocas,Tzmyhyqm5jrqprpjpv7agiwasku
Nem Eu / Não Tem Solução,Nilze Carvalho,Lembranças Cariocas,Tgeaiil52pr2beijnfshrtkmivi
Noites Cariocas,Nilze Carvalho,Choro de Menina,Toyabrfmy3osefjr6amkhufdz7m
Docê de Coco,Conjunto Época de Ouro,Chorinhos de Ouro Vol. 1,Tv722yvarwvyritoqdkntph4hue
Barracão,Nilze Carvalho,O que é Meu,Tiizjbzmtapfdxud6feweem6zhy
Aquarela do Brasil / Voz do Morro,Sururu Na Roda,Sururu na Roda Made In Japan,Tpkfzcuxt635ztyytgnu4ftqtue
Retalhos de Cetim,Sururu Na Roda,Sururu na Roda Made In Japan,Tcq2cxs57bdugpuzscjyl2bobxq
A Flor e o Espinho,Sururu na Roda,Se Você Me Ouvisse,Tm4wnn6dl3fncxvm3qrm7xw3ysy
Quando Eu Chamar Saudade,Sururu na Roda,Se Você Me Ouvisse,T42pumlmp7yr6h5fokoov4mfxhi
Folhas Secas (feat. Dirceu Leite),Sururu na Roda,Se Você Me Ouvisse,Tcuoawjspumsqwzcqrqrsgowcle
Gotas de Luar,Sururu na Roda,Se Você Me Ouvisse,T4vkiqc27jp7l2nxs5sa5grrlxe
