Take Five,The Dave Brubeck Quartet,Time Out,Tn5pmntxulndl4mdhdmanhqw74i
So What,Miles Davis,Kind Of Blue,T3izkaukeiwhsxjh7bamh7hkuna
'Round Midnight (Rudy Van Gelder 24-Bit Mastering) (1998 Digital Remaster),Thelonious Monk,Best Jazz 100,Tbkiupuuqht66mosl44x4csje3a
My Favorite Things,John Coltrane,Everytime We Say Goodbye,Tdjhy7vorkqpzudida56w5xazh4
All Blues,Miles Davis,Kind of Blue,Ty2aveho6utbr7xspktcczyxt6a
Birdland,Weather Report,Heavy Weather,Tpctw67ljld34imctvtmybhbb3a
"Sing, Sing, Sing",Benny Goodman,"Sing, Sing, Sing",Tt6yktvbyvn2ksj6thsc66fa67i
Strange Fruit,Billie Holiday,Greatest Hits,T7nvuiwzd4tncwl7vhzultz77pe
Giant Steps,John Coltrane,Giant Steps,Tru6dpfvcghb6ddtpxs3hdaeqju
Blue Rondo à la Turk,Dave Brubeck,Dave Brubeck's Greatest Hits,Ttc2xr3r6bebysdfgxofdi4iruu
Goodbye Pork Pie Hat,Charles Mingus,"All that Jazz, Vol. 56 - Charles Mingus: Ah Um and Live at Massey Hall Toronto (Highlights)",T4a5vhvszocnmk3btomeyfbo5le
Stolen Moments,Oliver Nelson,Swiss Suite,Tdzdd6nywxpviahvnkvtc4suhe4
West End Blues,Louis Armstrong & His Hot Five,Masters Of Jazz & Swing,Tyg5wvyz34okijdxx6ewbxyggeu
God Bless the Child (Take 2),Billie Holiday,Lady Day: The Complete Billie Holiday On Columbia - Vol. 10,Tjozuzfk2iri35vwtzfaa6rfhou
Cantaloupe Island,Herbie Hancock,Best of Soul Jazz,Tveg23tgo6j6j376vzmfoolgwre
My Funny Valentine,Chet Baker,Chet Baker Sings Again,Tt6j43ympg4ydj7k22wt7w7nbn4
Body and Soul (1995 Remastered),Coleman Hawkins,Body & Soul,Tzfzkpoxfnikuta76diebjkf6za
Song For My Father,Horace Silver,Song For My Father,Tngfd5swvvurx77kr5tqpj7amiu
Spain,Chick Corea Akoustic Band,Chick Corea Akoustic Band,Tnoe5ydg57tygovcfg2nyyynexy
Blue in Green,Miles Davis,Kind Of Blue,Tpkjxwpnqu26z73w6sklqpsidfa
Naima,John Coltrane,John Coltrane,Tty6ema2qpu7ndpkbqozuk7ilrq
Flamenco Sketches,Miles Davis,Kind of Blue,T2psxosffvqhee6rxh6jao7wwxa
"St. Thomas (feat. Tommy Flanagan, Doug Watkins & Max Roach)",Sonny Rollins,Saxophone Colossus,Tcknigyud6j7bdq74f5yzdwcgwi
"Mercy, Mercy, Mercy (Live) (Remix)",The Cannonball Adderley Quintet,The Greatest Jazz Quintets,Tse6yr5hvholpaguilxmovdqxvu
Lush Life,John Coltrane,The Best of Chilled Jazz Lounge - Cool Cuts & Essential Classic Grooves (Summer Chillout Edition),Tpmgm4aslvvlkgdzbbgg6dcgxma
