Somebody That I Used To Know (feat. Kimbra),Gotye,Somebody That I Used To Know,Tlhduld2j2a7nvwchjdrsiz3vre
Cupid Shuffle (Challenge Version),Cupid,This Is A Challenge,Tgvp35ceoklvm26tvjafxeidgvq
Just the Girl,The Click Five,Greetings From Imrie House (U.S. Version),T5ndxkwer7ewkyckv2rslly6qvi
Bad Day,Daniel Powter,Ballads of 2000,Tsk3esumlafdy3oz7v3kesvkyly
Stacy's Mom,Fountains of Wayne,Massive Hits!: Alternative,Tbhfz4oo5szomjiyxi6dbs2vv4e
I Believe in a Thing Called Love (Live),The Darkness,I Believe in a Thing Called Love (Live),Tcrc4ik74o3ihbgcclb6dveagqu
California (Tchad Blake Mix),Phantom Planet,California,T56ydaw6cji64ujgb3tsqtp6nju
Because I Got High,Afroman,"No Seeds, No Stems, Just Hits",T3jpb6exf3dyvfetzuic3rxdhlm
What Would You Do?,City High,20 #1's: Modern Hip-Hop,T3w55f425blazjwfv263x5k2nmu
Absolutely (Story of a Girl) (Radio Mix),Nine Days,The Madding Crowd,Tjexdyusqdsvcw6vimnyo5tz3mq
She's so High (Re-Recorded),Tal Bachman,Every '90s Song You Remember,Tnoiczv6nvoszlwjnsmr5x2saeu
Mambo No. 5 (A Little Bit of...) (Re-Recorded / Remastered),Lou Bega,Music Video Hit Songs (Re-Recorded / Remastered Versions),Tcivfi77oeua6lt2o6h5r65a3s4
Steal My Sunshine,LEN,Zack and Miri Make a Porno,Tzd2px3ap44b6vrj5dl62yonuo4
You Get What You Give,New Radicals,Maybe You've Been Brainwashed Too,Thnxzdvhrfncootuhcpi5w7mgcu
Bitter Sweet Symphony (Extended Version),The Verve,Urban Hymns (Super Deluxe / Remastered 2016),Trzliskunllnpmkeii2ffrdgfti
Save Tonight (2018 Rendition),Eagle-Eye Cherry,Save Tonight (2018 Rendition),To7etyrjzdvlz5doajm2m472weq
Torn,Natalie Imbruglia,Torn/ Wishing I Was There,T5y6ucb6oiwjkhkdyx5mgjtfauy
MmmBop,Hanson,The Best Of Hanson Live And Electric,Tyimuvcuuwcxcok5mfxrdgc2hzy
Bitch,Meredith Brooks,Blurring The Edges,Tigilmsl54hpedd4m6eeomendua
One Headlight,The Wallflowers,Bringing Down The Horse,Tdvq67kkrgqtm5sn76uayofa7fi
I'll Be There for You (Theme From 'Friends'),The Rembrandts,Hits Of The 90s,Tczt6fjl7snjayp34vzl732tr3y
Macarena (Jon Secada Mix),Los Del Rio,Fiesta Quinceañera Macarena,Tiu5cg5ogatl5p3ywxwy2u63gei
What Is Love (Tour De Trance-Mix),Haddaway,What Is Love (Remixes),T3r4dmmmee7a2hzocxsgx2q7dby
What's Up?,4 Non Blondes,"Bigger, Better, Faster, More!",T3elqs2z2xxlaaaxax4zli7trda
Baby Got Back,Sir Mix-A-Lot,Jackass The Movie (The Official Soundtrack),T7piw4m2gzrl2ivizvhfuvxpzeq
No Rain,Blind Melon,Blind Melon,Thzb2ribpn6ontsq5k46xo4hini
To Be With You,Mr. Big,"Big, Bigger, Biggest! The Best Of Mr. Big",Tcg7yfhy4k3dyeiad6r6itfzqbu
Just a Friend,Biz Markie,Sing Along Hits,Tw6ny6nsz3vszczdkz47sajyh4u
There She Goes,The La's,Lost La's 1986-1987 Callin' All,Tqzwmg434abylm4r4n5uicgchlm
I'm Gonna Be (500 Miles),The Proclaimers,UK Dancefloor Hits 80s,Tr4krwu5kus2xr7vgypd2jwb6ju
Don't Worry Be Happy,Bobby McFerrin,Vuelve al Sábado Noche (Los 80 De Los 80),Tiscurof7l6vtcrle7a3glthxqe
(I've Had) The Time of My Life,Bill Medley,Always & Forever,Tlvjpve4iwi25fxwmu247fpv554
Don't You (Forget About Me),Simple Minds,Themes - Volume 2,Te5woswzh3ldevocdff5vg3udnu
Take on Me,a-ha,Hits Of The 80s,Tfetqsihcp6wk5beimei3t4uyga
99 Luftballons (Live),Nena,Made in Germany Live,Tcqff5zstpfiewkpdqlwci2iete
Always Something There to Remind Me (2018 Remaster),Naked Eyes,Naked Eyes (2018 Remaster),Tosa6lonoateqwzjojutvx4kogm
Pass the Dutchie (Re-Recorded),Musical Youth,Reggae Roots & Ska Music,Tfld5ehbgfn6eragv246stbwl4a
I Melt with You (Live),Modern English,"'80s & '90s Love - Power Ballads, Slow Jams & Love Songs",Tusbvw2hjg4za25qwajgffe27le
Tainted Love (Re-Recorded),Soft Cell,New Wave Electro for Film & TV,T62u4hv3qodxsnqoodi6qimiywi
867-5309 / Jenny (Christmas Version),Tommy Tutone,Christmas World Peace,Thiqb42fcvlbhjbv4ilh7etgsne
Rappers Delight,Sugarhill Gang,Hip Hop Anniversary Europe Tour,Tsxcyatarjroleblgykqeyosqhi
"My Sharona (Live in Los Angeles, 1978)",The Knack,"Havin' A Rave-Up! Live In Los Angeles, 1978",Tbuxw7qnhievulpahrclc7nmwuy
Got to Be Real,Cheryl Lynn,Disco Hits,Tx7sjk2o74se3vy7tzstyldqnfe
Magic,Pilot,70s Pop,Tsqljrz62lxhpbnraxvnjht7uhq
Dancing In the Moonlight (Original Recording),King Harvest,Dancing In the Moonlight,T6de737lg5rqxxtvwssdsdziyzm
Brandy (You're a Fine Girl),Looking Glass,Looking Glass,Tdbcvyocfjmlvrmtneugtq3muba
Mr. Big Stuff (Rerecorded Version),Jean Knight,Solid Soul,Tv6ptcpbpmi5skpb32hmjlbelnu
O-o-h Child,The Five Stairsteps,The First Family of Soul: The Best of The Five Stairsteps,T4vplzya43k4yuyrwwcvj5yfqn4
"Sugar, Sugar",The Archies,"Rock and Roll Stars, Vol. 7",Tevn6k4rgtpxjz5jbkazm2m4vqe
Wipe Out,The Surfaris,Car Trax - California Cruisin',Tkk65lzorw5wvhlz47n6v76eu5i
Hey! Baby,Bruce Channel,Claude King and Others,Tgvirm65kdjtzc3zos4x2wtwbju
Rockin' Robin,Bobby Day,Bobby Day's Greatest Hits,Tb6bp4rvb6jr54x4lt7z46vfyqi
