Paul McCartney , Maybe I’m Amazed (1970)
Wings , Band on the Run (1973)
Paul & Linda McCartney , The Back Seat of My Car (1971)
Wings , Let Me Roll It (1973)
Paul McCartney , Waterfalls (1980)
Wings , Live and Let Die (1973)
Wings , Jet (1973)
Paul McCartney , Jenny Wren (2005)
Paul McCartney , Coming Up (album version) (1980)
Paul McCartney , Here Today (1982)
Paul McCartney , Junk (1970)
Paul McCartney , Little Willow (1997)
Paul & Linda McCartney , Another Day (1971)
Paul McCartney , No More Lonely Nights (1984)
Wings , Little Lamb Dragonfly (1973)
Wings , Junior’s Farm (1974)
Paul McCartney & Elvis Costello , My Brave Face (original demo) (1989)
Paul & Linda McCartney , Uncle Albert/Admiral Halsey (1971)
Paul McCartney , My Valentine (2012)
Paul McCartney , What’s That You’re Doing? (1982)
Wings , With a Little Luck (1978)
Paul McCartney , Early Days (2013)
Wings , My Love (1973)
Paul McCartney , Temporary Secretary (1980)
Wings , Letting Go (1975)
Paul McCartney , Deep Deep Feeling (2021)
Wings , Arrow Through Me (1979)
Wings , Goodnight Tonight (1979)
Wings , Listen to What the Man Said (1975)
Paul McCartney , Secret Friend (1980)
