I Miss You (feat. Teddy Pendergrass),Harold Melvin & The Blue Notes,Harold Melvin & The Blue Notes,Tob6l4vn36sncddig7qe7jser2i
Ebony Woman (feat. Teddy Pendergrass),Harold Melvin & The Blue Notes,Harold Melvin & The Blue Notes,Tdztb7k47rasxybpvgrgyitftfq
Be for Real (feat. Teddy Pendergrass),Harold Melvin & The Blue Notes,Harold Melvin & The Blue Notes,Tm7lnkt6jfdq3ogdoavss5asuwu
Let Me Into Your World (feat. Teddy Pendergrass),Harold Melvin & The Blue Notes,Harold Melvin & The Blue Notes,T7gj6o4gud74vk52os53jaotygm
Let It Be You (feat. Teddy Pendergrass),Harold Melvin & The Blue Notes,Harold Melvin & The Blue Notes,Tno52yl5wlszc26okhoxjxerwni
Yesterday I Had The Blues,Harold Melvin & The Blue Notes,Harold Melvin & The Blue Notes,Tpzr6vz2n3ejae4dfdfxctvmmce
If You Don't Know Me By Now,Harold Melvin,American Legend,Thxw7g2ruw6yoa3pzqkbxcghbfm
When the World's at Peace,The O'Jays,Back Stabbers,Tg3oizvqjyby2huu3j47atajf3e
Back Stabbers,The O'Jays,The Best Of,Tz3l7swre4edwddm4v7bbjqg44q
Who Am I,The O'Jays,Back Stabbers,Ttrsljlg7rspvjjaxctjh4i2bhi
(They Call Me) Mr. Lucky,The O'Jays,The Best Of,T2szljyotikqc77whfith7v6egu
Time to Get Down,The O'Jays,The Best Of,Tsvdvdmdg5piita3xfk3q4lbnqq
992 Arguments,The O'Jays,Back Stabbers,T32mdd4hu342cshaznc4zdiv7oe
Listen to the Clock on the Wall,The O'Jays,Back Stabbers,Thefvr2q4a4e7gobvyvpxl3ecuy
"Shiftless, Shady, Jealous Kind of People",The O'Jays,Back Stabbers,Tnomqzhe72fnurnitkvcwxmgezq
Sunshine,The O'Jays,Back Stabbers,T3hh3himewn2bruy6hpy2b52fne
Love Train,The O'Jays,The Best Of,Tlzberzed32kcmr3cybnnziy7s4
Brown Baby,Billy Paul,360 Degrees Of Billy Paul,Tv45ybdtglddwatwkb4gq44zm3m
I'm Just a Prisoner,Billy Paul,360 Degrees Of Billy Paul,Tbi27lsxrmkhuv5flsdttxdoyl4
It's Too Late,Billy Paul,360 Degrees Of Billy Paul,Tsq4ygsthmnbtxjug2nkk2x23c4
Me and Mrs. Jones,Billy Paul,360 Degrees Of Billy Paul,Tsnj6lojbzdtddsu6lfld42v2um
Am I Black Enough for You?,Billy Paul,360 Degrees Of Billy Paul,Tp6ktog2wgefbh6ldgfco5jxiaa
Let's Stay Together,Billy Paul,360 Degrees Of Billy Paul,Txweve7oezc3h2ui5goanbjjpfi
Your Song,Billy Paul,360 Degrees Of Billy Paul,T7ebkmyiowoyk7r6i62oarmk65e
I'm Gonna Make It This Time,Billy Paul,360 Degrees Of Billy Paul,Tsfamfrpxzmrborw67ebyu3cbiu
Save the Children,The Intruders,The Best Of The Intruders: Cowboys To Girls,T3n7y7btqjbu5g7wf26wuulsdxu
Mother and Child Reunion,The Intruders,The Best Of The Intruders: Cowboys To Girls,Tbgjliphmlmtdnsij73xlemulcm
I Wanna Know Your Name,The Intruders,Super Hits,Tehsw5zoeke3rkc6v6mz2zzxs4m
To Be Happy Is the Real Thing,The Intruders,The Best Of The Intruders: Cowboys To Girls,Tpb3tkhjnfh4w7jxwgdczicgnza
I'll Always Love My Mama,The Intruders,Super Hits,T6nhpwc5gcz2pueeuubnjxldtjm
Teardrops,The Intruders,The Best Of The Intruders: Cowboys To Girls,Tx64udwzqyoig44q7cfxd7ahmxa
Hang on in There,The Intruders,The Best Of The Intruders: Cowboys To Girls,Teqg24lssilwwvr4ofezlhouyj4
Can't You See What You're Doing to Me,The Three Degrees,The Best Of The Three Degrees: When Will I See You Again,T2q7eedjx4tmhe6vc6ejxjuu62e
A Woman Needs A Good Man,The Three Degrees,The Three Degrees,Tjyf6ttsnyor5xqnmoiodudjws4
Dirty Ol' Man (Live),Three Degrees,When Will I See You Again - Best of,Tomghhzoc5bxxxt4yb2fth2dxn4
When Will I See You Again,Three Degrees,Soul Party-Volume 1,T6aprooabvxyxtzkfxk7p36amzq
I Didn't Know,The Three Degrees,The Best Of The Three Degrees: When Will I See You Again,Topa4yraj3peo5ajuiatnoi7lae
Year of Decision,The Three Degrees,The Three Degrees,T4kv2khcjn24e7cu6te6b5j32ry
If And When,The Three Degrees,The Three Degrees,Tq2foo4qxthhfbh7d3i3w4aeday
I Like Being A Woman,The Three Degrees,The Three Degrees,Tjkzxsvwmjnyi7ji62plivtfiwm
Put Your Hands Together,The O'Jays,The Best Of,T7btqotykcf5t3v4e6bn6ltmmnq
Ship Ahoy,The O'Jays,Give The People What They Want,Tsdtm2hbcxvtisgwk6ix6hi5zna
This Air I Breathe,The O'Jays,Give The People What They Want,T5axma5lh2ehil7kk2zvj4auo3y
You Got Your Hooks In Me,The O'Jays,The Ultimate O'Jays,Ttcmyivltp66on7qqr4odaxotsy
For the Love of Money,The O'Jays,The Best Of,Tfvrfiupqtun25dxhvxbhxvp22e
Now That We Found Love,The O'Jays,The Best Of,Tmputlz6nxbbt5yhxdhe45cixmu
Don't Call Me Brother,The O'Jays,The Best Of,Tt6llwk3vdya37pzb6lzdpeflzi
People Keep Tellin' Me,The O'Jays,Collections,Tmftouhynoggse43ibynmuv5irm
Zack's Fanfare ( I Hear Music),MFSB,Love Is The Message,Tzd6vnximonvlxzs3is5f6fehya
Love Is the Message,MFSB,Love Is The Message,Tk6br4jfvhsdxed5pyd4kldgk6u
Cheaper to Keep Her,MFSB,Deep Grooves,Tzydaoomly3hesrntozz6klhxmu
My One and Only Love,MFSB,Love Is The Message,Tt7jftn5i4ufiemwf46dakadabu
T.S.O.P. (The Sound of Philadelphia) (feat. The Three Degrees),MFSB,Love Is The Message,T5lzoydovp4gbuxtu6o5uoeugyu
Touch Me In the Morning,MFSB,Love Is The Message,Toavj52wax65b5hsgky7g6b7emu
Bitter Sweet,MFSB,Love Is The Message,Tq4c2ljauiao7jznwwxvmh6rtym
Shake Your Booty,Bunny Sigler,Keep Smilin',Tal65jhm2kf6gcvu2qaphpxpf3u
Picture Us,Bunny Sigler,Keep Smilin',Ts3ust3cxehanytkxlvaznt4yvu
Keep Smilin',Bunny Sigler,Keep Smilin',Tdm54gfsifvru4ir2irswriyb2q
That's How Long I'll Be Loving You,Bunny Sigler,That's How I'll Be Loving You,T6yy3bqthfjzjwyy6zntu65zcba
I Lied,Bunny Sigler,Keep Smilin',Tbmxoayay73soeyd45lifuel5ve
Things Are Gonna Get Better,Bunny Sigler,Keep Smilin',Tagxxo6t2smlvhchfe6ozbfszb4
Sweeter Than The Berry,Bunny Sigler,Keep Smilin',Tknnthosxhxa467mfngrdi6fmtq
Your Love Is Good,Bunny Sigler,That's How I'll Be Loving You,Tenve34gwnsvgqiooqihrgy7e74
Somebody Free,Bunny Sigler,That's How I'll Be Loving You,Tyldx5dtso7enyivosslrlr2smi
Love Train,Bunny Sigler,That's How I'll Be Loving You,Tgk2frvztcxwwl7sm57wgjfhr4i
Wake Up Everybody,Harold Melvin and The Blue Notes,Collectors' Item,Tricqvhhhmj3gxq6lin7yingu2e
Keep on Lovin' You,Harold Melvin & The Blue Notes,Wake Up Everybody,Tpud5dteyeu2l75hxk4yiolnkiq
You Know How to Make Me Feel so Good (feat. Sharon Paige),Harold Melvin & The Blue Notes,Total Soul Classics - Wake Up Everybody,Tch4ihug5zvhw6d3nttu7c2wcuu
Don't Leave Me This Way,Harold Melvin,LGBT: Get Hitched and Party!,Txocaoa4kn27fqsgsd7e7tzui2a
Tell the World How I Feel About 'Cha Baby,Harold Melvin,American Legend,Tu6hzmjkvl2w7ttgd54saskx4wq
To Be Free To Be Who We Are (**),Harold Melvin & The Blue Notes,Wake Up Everybody,Tdom7ydhmoilciljua6aczhud7u
I'm Searching For A Love,Harold Melvin & The Bluenotes,Philadelphia Soul,Tfasfstkvqbdtb5e2yt3sif6nl4
You're the One,Lou Rawls,All Things In Time,Ts4hmy4bvfkscsuz7ferfyyqraa
You'll Never Find Another Love Like Mine / A Lovely Way to Spend an Evening (Live),Lou Rawls,Lou Rawls - The Very Best Of,Tjcmgc2srfpamlsad5ykq6lixoi
Time,Lou Rawls,All Things In Time,Taxkbfroohqgv6p7fjiigjkklua
Groovy People,Lou Rawls,Lou Rawls - The Very Best Of,Tekufwaqjw4co4ivs5yr4qdfvlu
Need You Forever,Lou Rawls,Lou Rawls - The Very Best Of,Tszzjapy432bjsyzy3xqc7nklci
From Now On,Lou Rawls,All Things In Time,T5tywhud7qdnsuyjdzyqjnmtyhq
Pure Imagination,Lou Rawls,All Things In Time,Tncfubmri3othkzidkrk6ldh3u4
This Song Will Last Forever,Lou Rawls,Lou Rawls - The Very Best Of,T3ur3whcwdegwn3yel74c7mutz4
Let's Fall In Love All Over Again,Lou Rawls,All Things In Time,Tx5dpcsdau3j74haxv4gz6sorhy
A Prophet Named K.G.,Dexter Wansel,Life on Mars,T4xgqnf5wqt2zsraxitih3mjp7u
Together Once Again,Dexter Wansel,Life on Mars,Tfxiafmjdzqav5pdtrc4ynrqrpu
Stargazer,Dexter Wansel,Life on Mars,T62wzfpgni744mjtbht2i2jjzey
One Million Miles from the Ground,Dexter Wansel,Life on Mars,Txi5ydrjekrnc2l7hh655wm6lfi
You Can Be What You Wanna Be,Dexter Wansel,Life on Mars,Tkdsoxg55y6tepscq726pbmywfq
Theme from the Planets,Dexter Wansel,Life on Mars,Ty3xz7cla27r5vkf4uszfpgerq4
Rings of Saturn,Dexter Wansel,Life on Mars,Thoxdgjsprltoysnsnenmdx7d2u
"Enjoy Yourself (Extended 7"" Version)",The Jacksons,The Essential Jacksons,Tpxqgovvwyexbumrhgkkdgibq64
Think Happy,The Jacksons,The Jacksons,Tq7inmwmtdlyygbxonrqn5bdnq4
Good Times,The Jacksons,The Jacksons,Thbnlzyohueqwsaaqebpgbefeya
Keep On Dancing,The Jacksons,The Jacksons,Te5m5a67tvel2ggdo4nwgrmp7cq
Blues Away,The Jacksons,The Jacksons,Ttggcg4thiucdx3p4lwqnknnz2a
Show You the Way to Go,The Jacksons,The Jacksons,Tid4t4unq3mqsw7ooozqlwcjwla
Living Together,The Jacksons,The Jacksons,Tq7kri3mkxivst4iyt6kz5s7m3y
Strength of One Man,The Jacksons,The Jacksons,Twgfd3l5mtkhiajgxncgegnhlm4
Dreamer,Jacksons,Love Ballads Vol. 2,Trvo5yc4bbqgeeork7di63wfrvi
Style of Life,The Jacksons,The Jacksons,Tf6zqkb4oailt2u5bp2v5q6f3pq
Free Love,Jean Carn,Jean Carn,Tgp4vduqb46sdcfyryx7ygwjghe
No Laughing Matter,Jean Carn,Jean Carn,T6ib36wfddskpovy3sgxmqbeoji
I'm In Love Once Again,Jean Carn,Jean Carn,Tyfrzdtcmw646qcizp2sejknpny
Don't You Know Love When You See It,Jean Carn,Jean Carn,Tdu47k7d5qwpxseeaexwacfuynq
Where Did You Ever Go,Jean Carn,Jean Carn,Tca2tsjdzojqijjh2ij2nkdb3ka
You Are All I Need,Jean Carn,Jean Carn,Twlgtvf3hs34e44eaq2vjyj674e
If You Wanna Go Back,Jean Carn,Jean Carn,Tvq3y5dhddheejdq3r5fihek5pm
You Got A Problem,Jean Carn,Jean Carn,Ttawi2au6tmq3pgfuabofqpjdfe
Time Waits for No One,Jean Carn,Jean Carn,Tcz45gmmgwfr7nr5ckfsv52qn2i
Somebody Told Me,Teddy Pendergrass,The Essential Teddy Pendergrass,T3qffenqijqurpizyew6l74pgqe
And If I Had,Teddy Pendergrass,The Essential Teddy Pendergrass,Tmydxqdgg57k2ahlld76bkrog7u
I Don't Love You Anymore,Teddy Pendergrass,The Essential Teddy Pendergrass,Tfuex4fbcy77ov2l5pews6i7m7y
The Whole Town's Laughing at Me,Teddy Pendergrass,The Essential Teddy Pendergrass,Tuc7dtj7475bhs33uxalnqts4hm
Lady Love,Lou Rawls,Lou Rawls - The Very Best Of,Tnxysxripnsy6tq2nodwituwffa
I Wish It Were Yesterday,Lou Rawls,"When You Hear Lou, You've Heard It All",Thyksilmblka6kngwko6n2lmx2i
One Life to Live,Lou Rawls,Lou Rawls - The Very Best Of,Txasyh6ibytkksmtogp3fj2n6ni
Dollar Green,Lou Rawls,"When You Hear Lou, You've Heard It All",Tbvjsgvelty3r6tyjase7hczmdu
Trade Winds,The Philadelphia International All-Stars,"When You Hear Lou, You've Heard It All",Tgcr2jnrjwdqh7zkaex7aequzki
There Will Be Love,Lou Rawls,Lou Rawls - The Very Best Of,T44h64nw3u37iwrfx5tn7pm7ku4
Unforgettable,Lou Rawls,"When You Hear Lou, You've Heard It All",Tyx7gjnr4rvcx7y66bhboq4igwy
That Would Do It for Me,Lou Rawls,Lou Rawls - The Very Best Of,Tnw2azbcwtzg6ylxkm64ujfkqou
"If I Coulda, Woulda, Shoulda",Lou Rawls,Lou Rawls - The Very Best Of,Tbf5nutcf225otihtuqko3lce7u
Not the Staying Kind,Lou Rawls,Lou Rawls - The Very Best Of,Tbovs7lzezuhm2x6jcwjn7vcwja
Life Is A Song Worth Singing,Teddy Pendergrass,Life Is A Song Worth Singing (Expanded Edition),Tv3kw7idg5c7wa6qw5lv3zua3wi
Only You,Teddy Pendergrass,The Essential Teddy Pendergrass,Th6ooqngp5ayv2re2c2fr5ibu5i
"Cold, Cold World",Teddy Pendergrass,Life Is A Song Worth Singing (Expanded Edition),T57a2rjyjle3hmzj62di5ynejkm
"Get Up, Get Down, Get Funky, Get Loose",Teddy Pendergrass,The Essential Teddy Pendergrass,Tcvz55exm3knj3hnvl72somu2ie
Close the Door,Teddy Pendergrass,The Essential Teddy Pendergrass,Ty2srfrpj7htgyc57p6wesp2tna
It Don't Hurt Now,Teddy Pendergrass,Life Is A Song Worth Singing (Expanded Edition),Trdpfoicllfeszwvve7wnw6nrzy
