To Love Somebody,Bee Gees,The Rattlesnakes,Tvwiewaq3eomrr7m5tar2k2wnie
My Father,Nina Simone,Just Like A Woman: Nina Simone Sings Classic Songs Of The '60s,Ty5udrvoc4wzkhtysenebagtcty
"I Threw It All Away (Live at Tarrant County Convention Center Arena, Ft. Worth, TX - May 1976)",Bob Dylan,Hard Rain ((Remastered)),T5xysupqr3zafdlwridplhu2woi
Comfort You,Van Morrison,Veedon Fleece,Tipu2tcabwrx3fkwpebu4unttgi
Angel of the Morning,Merrilee Rush & The Turnabouts,I LOVE 60'S (Love Songs),Tvj5rgkpnhr6j2gout2soi67ipq
Nights In White Satin (BBC Dave Symonds Session),The Moody Blues,Days Of Future Passed (Deluxe Version),Tjf55jigxuuck4rj7td7xqt4r7e
Where's The Playground Susie (Remastered 2001),Glen Campbell,Galveston,Tf73xtsaljpndizjlrtoq4nwcae
Something On Your Mind,Karen Dalton,In My Own Time,Tss3cmbmvbak5cjpuspapgc4cgu
Always on My Mind (Remastered),Elvis Presley,The Essential Elvis Presley,Tyj3bmbuo4jzfxaeiwc4p6wlr2i
Superstar (1991 Remix),Carpenters,Carpenters Gold - 35th Anniversary Edition,T5yjngvspgd6bti4mknmwkulhvi
