Dance,ESG,Come Away With ESG,Ti5v7m6lybpm3xy677uvg24r4lm
Swan Lake,Public Image Limited,Metal Box,Tiijqqecuy472ickhwndb73fnw4
"Earthbeat (7"" Version)",The Slits,Return of the Giant Slits,Ttd2symfjrl2cmblyn6mj3ohhla
This Charming Man (2011 Remastered Version),The Smiths,Complete,Tr3hl6qufqanb7em47oxgypxcnq
Final Solution (Live),Pere Ubu,"Punk's Not Dead, Vol.2 (Live)",Tkewwfqm6reheq7ubjzayvrw4nq
She Is Beyond Good and Evil (Original Alternative Version),THE POP GROUP,Cabinet Of Curiosities,Tt2b4i5lwgfeoirchpnn2jozpoy
Sorry For Laughing (Live in London 8.8.1981),Josef K,Crazy To Exist (Live),Tky4llhsmjfzu7exgzajve2z4ki
You're My Kind Of Climate,Rip Rig And Panic,New Gold Dreams (Post Punk & New Romantic ‘79-‘83),Tjdqjwkjuvmxtndrsfloolkfuiu
"Papas Got a Brand New Pigbag (7"" Version)",Pigbag,Volume 1 (Dr Heckle & Mr Jive),Tosxzv6qaldxsieucazuvh5gi7a
Shopstake (Instrumental),Os Paralamas Do Sucesso,Cinema Mudo,T33bsps7qxhxehmc5vvukrfjib4
Ghosts (2003 Digital Remaster),Japan,Tin Drum,Tw77vdlax6gy35zf6rtfs55wpni
The 15th (2006 Remastered Version),Wire,154,Tjbl2s44j5i7hqp4d2ovwbterya
It's My Life (1997 Remastered Version),Talk Talk,It's My Life,Tbnhiixdxl6vawk4pqa3sumydni
People Are People,Depeche Mode,"The Best of Depeche Mode, Vol. 1 (Deluxe)",T36kuwntvyibu4vb7u5hydjrvge
Optimo,Liquid Liquid,Slip In And Out Of Phenomenon,Tmxyvdhibmfzhksjana6obzo3oq
She's Lost Control,Joy Division,Paradiso (Hd Remastered Edition),Tv4dkc377apanaqlqukfxojq43m
United,Throbbing Gristle,Throbbing Gristle's Greatest Hits (Remastered),Tvrotq655mpiyzznjgmrma65d3a
Mannequin (2006 Remastered Version),Wire,Pink Flag,Tlmmqmqp57jlmlmlyq6eeptpqum
I Will Follow (Remastered 2008),U2,Boy (Deluxe Edition Remastered),Thzxb7weiy7x5thgacq5wdqg2yq
Polícia,Mercenárias,Cadê as Armas?,T7n2clvzsut6ewkx3kckcp4qnqq
Contort Yourself (1st version),James Chance,Irresistable Impulse,Td6hin6b4cmf6gephj27rsjeioi
Air (2005 Remastered Version ),Talking Heads,Fear Of Music (Deluxe Version),Twbjka7pcgkepf3gb63fkebfola
52 Girls (Remastered),The B52's,Live On Studio Jam - WSAI FM Chicago 1 Jan 1978 (Live FM Radio Concert Remastered In Superb Fidelity),Teiavq5i4qtbsfxvjsv74tk45lu
Warm Leatherette,The Normal,Warm Leatherette / T.V.O.D.,Tvxragse23bl7jmsxg5q5zkz22y
Tainted Love (Re-Recorded),Soft Cell,New Wave Electro for Film & TV,T62u4hv3qodxsnqoodi6qimiywi
Just Stop S'ways,The Fall,Hex Enduction Hour,Tcmddozp6bgfd4pgctzylrfjb5e
Bela Lugosi's Dead (Tomb Raider Mix),Bauhaus,Singles (Remastered),Tehwf5sh3lnhvbgbky5v6z7zu4u
Garlands,Cocteau Twins,Garlands,Tinaxeaihhvvpthji36da32iapq
The Killing Moon (Live),Echo & The Bunnymen,Live in London 2014,Tyhe3t7h5fl4c3amlxo66qgcbuu
Happy House (Demo Version),Siouxsie And The Banshees,Kaleidoscope (Remastered & Expanded),T75b3xt67wbmaq37im3yu3kuqxq
Rip It Up,Orange Juice,Gold (Original Motion Picture Soundtrack),T5kifb6xaxtgxqdrhop3r2mejdy
Searching For Mr Right,Young Marble Giants,Live At The Hurrah,Tc6ppf4yexkydwtmcawvuf6e46e
Ghost Town (Extended Version),The Specials,Special Collection,Txar3bb3hx7yem5i3t4c2zor2oq
Candyskin,Fire Engines,Hungry Beat,Tgxmzrlnmkvmmzjwziqf33wqvoe
Theme For Great Cities,Simple Minds,Themes - Volume 1,T2ikvi2vmxmriuf5kkigwsstpdi
Eighties (2007 Digital Remaster),Killing Joke,Night Time,Tizf5bdxupgry4brkbaio6bxx7u
It's Obvious,Au Pairs,Stepping Out of Line: The Anthology,Tecsaz3wteq2wo7igxjomrrvxiu
Moody (Spaced Out),ESG,Come Away With ESG,Tuk33ukusaoo4mhenqxybbcf5ne
I Want Candy (Re-Recorded / Remastered),Bow Wow Wow,Eat Pray Love,Tmzp3n5xmeybrp3usrvowq26pgm
"Town Called Malice (Live At Hammersmith Palais, UK / 1981)",The Jam,Fire And Skill: The Jam Live,T6w7i4yn5zlvijxp6mdat5zbrve
The Magnificent Seven (Remastered),The Clash,Hits Back,Txb2n7d2hijar4v2capoykbzpwi
Blister In The Sun,Violent Femmes,Permanent Record: The Very Best Of The Violent Femmes,Taujj3ohrjnbdexglnfziojhc7i
Mirror in the Bathroom (Live),The Beat,Live in London,T7cjepbo2ndl7ekj2rhfcxonisy
Reward (BBC Session Peel Plus 1980),The Teardrop Explodes,Peel Sessions Plus (BBC Version),Tc5755ycetzku6mkwedwvdeqtsy
Kid (2006 Remastered Version),Pretenders,Pretenders [Expanded & Remastered],Twzmek77wa5ajvvv4q2u746phnu
Whip It (Live FM Broadcast 1980),Devo,"Live On Stage FM Broadcasts - Orpheum Theater, Boston 17th July 1980",Tjfesuxjcuoiglisp4ppgekisae
Golden Brown (Simon Guilfoyle's Salacious Encounter Mix),The Stranglers,Clubbed to Death,Tyhxmicyvqx76fwbmyzwjzhasgi
Love My Way,The Psychedelic Furs,Forever Now,Tdbt22ggi5dlaiqsq7kwknftnoe
Oliver's Army,Elvis Costello & The Attractions,Armed Forces,T7b3g2rqbppc4pbcbl3d37jxckq
Lucky Number,Lene Lovich,Rhythm On The Radio - Oval Records Singles 1974-1987,T53mgmzz5dtg7g62burrzxex26e
Sex & Drugs & Rock & Roll (Demo),Ian Dury,New Boots & Panties (40th Anniversary Edition) (audio Version),Tyuw6qkapze5wstguj3usasbbmm
Glad to Be Gay,The Tom Robinson Band,Himnos LGBT,Txk3xivyihdcl75istc4qxj34ea
No Side to Fall In,The Raincoats,The Raincoats,Twfauk6skifwlxdcmzsjl6q6lcy
"Human Fly (Live WPIX-FM Broadcast Remastered) (WPIX-FM Broadcast Club 57, NYC 18th August 1979 Remastered)",The Cramps,"Legendary FM Broadcasts - Club 57 , NYC 18th August 1979",Tfjq7qjrvvfqjajuw5vas73xj6i
On My Radio,The Selecter,Ska Box Anthology,Twzny23vl6pyhzl2x525vrm2cpi
Cool (Live),Pylon,Live,Tl6oeaq64gajemmxvawumcjnxlm
Radio Free Europe (1983 / Live In Toronto),R.E.M.,Murmur,T2sbbg3avkmbtakvye3zchioi6e
Inimigo (Ao Vivo),Mercenárias,Cadê as Armas?,Ts3t3wp2nv6no2p3vtdemcl74gm
Sketch for A Summer,The Durutti Column,The Return of The Durutti Column,Te37hpsdxgoar7h5k4ftjir2uiy
Heart Of Glass ([24-Bit Digitally Remastered 01]),Blondie,Parallel Lines,Tvn45lvxgeiu3ep5uxgs5pva2su
Heartbeat (2006 Remastered Version),Wire,Chairs Missing,Ty6f4ejkfvsnfgtts5nqw4qvbvi
"Temptation (7"" Version) [2015 Remastered Version]",New Order,Singles (Remastered),Txhwuioercfnr5es5pujofivn2e
"Situation (12"" Remix)",Yazoo,Original Hits - 80s 12'',Tjil3iwzlvzyaheyaheul7pn74e
Don't You Want Me,Human League,Live at the Dome,T7i5eh6wzeqsm2sdons3tnyrmhm
Mensagem De Amor,Os Paralamas Do Sucesso,O Passo Do Lui,Thlc3rbhceg7u4cpks4cy5cl2m4
Six Pack,Black Flag,The First Four Years,Tojo7eem53uhzdiwyftarxnv3pm
In a Manner of Speaking,Tuxedomoon,Late Night Tales: Röyksopp,Tlfnigq2svfivj5sa3bcfcc2rqu
Electricity (2003 Digital Remaster),Orchestral Manoeuvres In The Dark,Orchestral Manoeuvres In The Dark,T6mscsilpy6ck3fg26lrzarjxqq
Typical Girls,The Slits,In The Beginning,Tgrxi6qewzr7ti2nvsxwfghfxje
Release The Bats,The Birthday Party,Live 81-82,Tpvtmjy5c6p6o7ge4xf4xmljfdi
Do The Du (Casse),A Certain Ratio,The Graveyard and the Ballroom,Tglxrfn5xseodtbcn2t7fwu5q5m
James Brown (7'' Version),Cabaret Voltaire,#7885 (Electropunk to Technopop 1978-1985),Tslq4dheebackzsbndjc4yvwzbu
Alice,The Sisters Of Mercy,Some Girls Wander By Mistake,Thheeo2c2hc5jl2hlyh7nltyonu
Song To The Siren (Remastered),This Mortal Coil,It'll End In Tears (Remastered),Tb3i2vkdtwbmpagslusyxvyz4ra
Are 'Friends' Electric?,Gary Numan / Tubeway Army,Replicas Redux,T5ialhqgitgklrbxre2hzpytaay
Dance With Me (Live),Lords Of The New Church,Live From London,Thfhrqfxlkmz63qiywnjtvjbv6e
In A Dream,Chrome,Chrome Box,Tfohpn5l2hb4wthp5zdmvh2qthe
"Coup (12"" 45 Version)",23 Skidoo,Urban Gamelan,Tqbp2jlpt6mtanbamp4zw73blca
Los Niños Del Parque,Liaisons Dangereuses,Liaisons Dangereuses,Tbch2nh7f5jjg7eqwqvl7ecq6ru
Snakes Crawl,Bush Tetras,Boom In The Night,Taedwpxgrgq6linvtofv42j2gwm
Boys Keep Swinging (2000 Remaster),The Associates,Double Hipness,T25x6gus72cntivsrktor4tccia
What We All Want,Gang Of Four,Solid Gold,Tmll534zjtnsnbp2g7xrcwazrqq
Teu Inglês,Fellini,Você Nem Imagina,Thmjwvdhcs52rbn5nbvjzi7dzda
Pequena Dissonância,Smack,Noite e Dia,T6soxpjwgb7bruyw7rbhfamdi4u
A New Kind of Water (Edit),This Heat,"""Fame"" Jon Savage's Secret History of Post-Punk 1978-81",T5zdy4w7jcyakmcjqwoeawhv4pu
Skank Bloc Bologna (Live),Scritti Politti,"Garage Monsters, Vol.3 (Live)",Ta356kfg54lpwex7jtimqhaiy7e
King of the Flies,Fad Gadget,The Fad Gadget Singles,Tk752ngiqdrna6smqvjlkm3xc3i
I Feel Voxish (Alternate Version),The Fall,Fiend With a Violin,Tqeok6u4ln7zen2ry7g6pgdy3mm
How Soon Is Now? (2011 Remastered Version),The Smiths,Hatful Of Hollow,Tstyi7skl7m2onzhqifao325g4i
Atmosphere,Joy Division,Paradiso (Hd Remastered Edition),Tzaggoclnl6hzfsasjkxkna2qka
Everything Counts (Absolut Mix),Depeche Mode,Remixes 81>04 (Special Edition) (3-CD Set),Tcqb3ljsbi7vl5bmpxnlnjs7nfe
Hot on Heels of Love,Throbbing Gristle,20 Jazz Funk Greats,Teurfaxmewpmoa5wwasztgowpri
My Other Voice,Sparks,No. 1 In Heaven,To5nldaiepbjlliaw6u4hqleelm
"Torch (7"" Single Version)",Soft Cell,Non Stop Erotic Cabaret (Deluxe Edition),T7yjrbwndrw2tik4bp3bag3vfsa
Poptones,Public Image Ltd,Live at Brixton Academy 2009,Tlgamwllemq5qiwkqnsjau7c4s4
The Chauffeur (2009 Remastered Version),Duran Duran,Rio (Collector's Edition),Tv57dx53cvmhiu76ryj73jaq6vu
Blue Monday (2016 Remastered Version),New Order,Singles (Remastered),Tannyxzn7hvmm4vorislgw7crmy
Damaged Goods,Gang Of Four,Entertainment!,Tel7cv46dmigcigbuv3yxtt6one
Final Solution,Pere Ubu,The Hearpen Singles,T4ytlqpbmzv2nnmrefbswzcwkce
