Maresia (Ao Vivo),Adriana Calcanhotto,Olhos de Onda,T3ansbcmzh3m34k72lziuu4ki6q
Balada do Amor Inabalável,Skank,#1 Hits,T6lktlrrj3zyy57z6xr6tcvhxua
Assim Caminha a Humanidade (Ao Vivo),Lulu Santos,Lulu Santos Toca + Lulu Ao Vivo,Tmizbxbu4rqqcszgzp45gsynbdu
A Fórmula do Amor (Remasterizado) (feat. Kid Abelha e os Abóboras Selvagens),Leo Jaime,Nada Mudou (Box) [Remasterizado],Tq4mqt5ak5rjm432435uv2uuxai
Cachimbo da Paz (feat. Lulu Santos),Gabriel O Pensador,Quebra - Cabeça,Twu76v5fscu2kdabrdllw6fdu4q
Vou Deixar,Skank,#1 Hits,T73enxmqpzishibyprprv7dr544
Vento Ventania,Biquini Cavadão,"1985/2007 Sucessos Regravados, Vol. 2",Tq3mid66teflrpyemdynuaybbgq
Fora Da Lei,Ed Motta,"Manual Prático Para Festas, Bailes E Afins",Tfnzzcmgegbyoxxuajmp5rosy4m
Um certo alguém,Lulu Santos,Último Romântico,T5frsndv6ktcchg66n5s73mj5bq
Te Ver,Skank,#1 Hits,Ti3binvjrdjze7bty53sanhxtpm
2345MEIA78,Gabriel O Pensador,Quebra - Cabeça,Tb54jswr42thvnkttmqcfzlzio4
Tudo Pode Mudar,Metrô,Olhar,T6kme5cdxim7ixm22dbnjq6xova
Que Nem Maré,Jorge Vercillo,Elo,Tciso3jhkfyqrxdnpcxqkypprmy
Descobridor dos sete mares,Tim Maia,Tim Maia (Ao Vivo),Tvydmi324lkzcuv6lriwfffafqu
Luna E Sera,Ed Motta,"Manual Prático Para Festas, Bailes E Afins",Tainrtnzratoqhicktnhav4mq2y
Ciúme,Ultraje A Rigor,Acústico Mtv,Tp2u4qrznx7gy4fetbafpmr73ja
O Descobridor dos Sete Mares,Lulu Santos,Focus - O Essencial De Lulu Santos,T5cg53yxz65bftvucihigkpplca
As Sete Vampiras,Leo Jaime,Sessão da Tarde,Tryvcf36zwylqs4dcifjtqp37te
Tédio,Biquini Cavadão,"1985/2007 Sucessos Regravados, Vol. 1",T3pay7w4mcrbljqjfsi52rh43ly
Tanto (I Want You),Skank,#1 Hits,Tf7y7snh4atjeqckfxv33fmbism
No Mundo da Lua (Ao Vivo),Biquini Cavadão,Biquini Cavadão Ao Vivo - Me Leve Sem Destino,Ta6fhp32aaxnkecwojffpc7ucra
Final Feliz,Jorge Vercillo,Final Feliz,Teqzq4r7iy42k323q2qqvfseoqq
Best of My Love,The Emotions,The Best Of The Emotions: Best Of My Love,Ta7je6sfy2o4lazq2agovlkblce
Viajando na Viagem,Celso Fonseca,Feriado,Tgynxe6i2sze4tnbmcc7urtr5bi
Você Não Soube Me Amar,Blitz,Blitz Ao Vivo,T4suoq2biued26vjqtb2lj4j5ji
Onde Você Mora? (Acústico),Cidade Negra,Hits,Tppkb7dqrqeccsbe3r6pgsgfldq
A Sombra da Maldade,Cidade Negra,Hits,Tjtoilnpi7chzm6hqhga6arv26y
A Estrada,Cidade Negra,Hits,Td6vgbmh47kmohoqpa3ofyc7qpq
Firmamento (Wrong Girl To Play With),Cidade Negra,Hits,Tcyr6tsx3ks37hs25tzmzc5ewei
Sábado a Noite,Cidade Negra,Hits,T65be2dn4zijuh6qxar7ichs4xy
Toda cor,Titãs,84 94 - Volume 1,Tzzp5w4u2l4vlw53hqi7yf5v7y4
Shake a Tail Feather,James & Bobby Purify,Shake A Tail Feather! The Best Of James And Bobby Purify,Tg2ruajbtqnrobzhv5txdtc3e3u
Lágrimas de Crocodilo,João Penca E Seus Miquinhos Amestrados,Hot 20 - João Penca e Seus Miquinhos Amestrados,Tudn74pkmrllp6loc6knkyrfhxq
Romance em Alto Mar,João Penca E Seus Miquinhos Amestrados,Hot 20 - João Penca e Seus Miquinhos Amestrados,T4auw2aimcm2uganfrybrobjrfy
Como o Macaco Gosta de Banana,João Penca E Seus Miquinhos Amestrados,Hot 20 - João Penca e Seus Miquinhos Amestrados,Tycas3sw7jkoags6ao6gblplbqq
Colombina,Ed Motta,As Segundas Intenções Do Manual,Tkyoku6axbxzr5ovwy5fkdwayoi
