Sunshine (Acoustic Version),Flavia Coelho,Bossa Muffin (Deluxe Edition),Taq24xqmzdiaq7rw5owfoef4bkq
Listen to the Breeze,Chiwoniso,Rebel Woman,Tuqjob4nusyjxiioabxlnaqbvtu
Shimbalaiê,Maria Gadú,Maria Gadú,Tsg6uevoey7hp33s4ijxgtxssnu
Cima vento,MO'KALAMITY AND THE WIZARDS,Freedom Of The Soul,Tg3wceyihe55drzvt7ozcaklasa
Makoun Oumou,Fatoumata Diawara,Fatou,T2n7rcgtv5jn6ns46tvlihus2qe
Nalingiyo,Manou Gallo,Lowlin,Tuaywk24odybrtrkwdaahtpgaiq
Saramaya,Habib Koité,Ma Ya,Tszw6d4uijshx4eefzhiek4ulpm
El Día De Mi Suerte,Mimi Maura,Mirando Caer La Lluvia,Tibwolg24ykfbhhzpfuqobzvsgm
Set,Cheikh Lo,Né La Thiass,Tulwkn6iauqtzzxdlxe2w5rn23i
Woyal,Yoro Ndiaye,Laamisoo,T5mxwqn2ykjzyow762zg3wfwtm4
Jailer,Asa,Asa,Txijd6lwasph4cpisn6rsitclp4
The Road (feat. Baaba Maal),Eric Wainaina,Love + Protest,Tkw2wckhrgvlrtexg2npwmcyn2y
Nebe N'Makoum,Cheick Tidiane Seck,Sabaly,T2uqrcwkcnrwlwzofdfgpyujbmq
Weyu Lárigi Weyu,Andy Palacio,Hear Globally: A Cumbancha Collection,Tx2ivrl6izx3vbjhxojdhfzbe3m
Zapata Se Queda,Lila Downs,Pecados y Milagros,T23ec225g35zx3avlgg4ksn7jvq
Li lan la,Diogal,Li lan la,Tma4szjyjdchio7mazrboml6v6u
Falso Testemunho,Maria Alice,Ô Espirito e Âlma de Cabo Verde / The Spirit & Soul of Cabo Verde,Tarlsxxenev2ieeojsgocsgsqru
Djôn'Maya,Victor Démé,Victor Démé,T5l3g3ntirxmfbjz65dnewcsdly
Haki,Asmara All Stars,Eritrea's Got Soul,Tkrma4gjskib4h6rvi6q3o7fzfi
Malemolencia,Céu,Céu,Tatyyfcahambsrddutf5x5kzezm
Dança Ma Mi Criola,Tito Paris,Dança Ma Mi Criola,Toinhh6t3bxldkjc5yb7mfiv6w4
Om Numah Shivaya (Tsunami Release),Apache Indian,Om Numah Shivaya,Tpceklge42a4cd6bsmyxappv5wa
Via Verde,Chico Ocaña,Canciones De Mesa Camilla,Tiz3c7fnazxoiocqjbbe6tjceqe
Deen Wolo Mousso,Victor Démé,Deli,Ti4dhjsrl4bkfrtlf6ikk4rttke
Mbo Hahita Avao,Jihé,The World of Indigo,Ty4cta5fgbanllgbn7sawisuo7m
Tombe Issoire,Philippe Crab,Fructidor (Cancions del Mashuke),T5mdk4k3pjwcfxzi6oiqxd22e4q
En La Ciudad,Amparanoia,Somos Viento,Tdib63zwgootrwqg2jgrw6aghyi
El Aire De La Calle,Los Delinqüentes,Recuerdos Garrapateros de la Flama y el Carril,Tkgw2k72bluyatqwsvlvnwe5oce
Mix Up World,Quito Rymer,Mix Up World,Tvpcuugzicwbbxmtzoeo7dckk3y
Samahani,Dobet Gnahoré,"The Essence of World Music, Edition Two (The Finest Selection of Songs from Around the World)",Thi2werugasgxzefw7j4humk3ie
Bossa Muffin (O Viajante),Flavia Coelho,Bossa Muffin,Truljqxlztvg3qax3ojuzftb3lu
Sola,Rajery,Tantsaha,Ty6l3anvt7lcpvpe2xfsswqlkiy
Mame Bamba,Youssou N'Dour,The Guide (Wommat),Thzvbbqqrpfa5bidzxqs3zxp7ki
Colonial Man,Hugh Masekela,The Collection,Trgwf752qed46xljjhfipqawq2i
Hard Labour,Geoffrey Oryema,Beat the Border,Tyvrrzypyhlailytqwx6vi2fs4q
Neria,Oliver Mtukudzi,Ndega Zvangu,Tqgwkknovkaafgjatxzhtudjtc4
Mouso teke soma ye,Boubacar Traoré,Je Chanterai Pour Toi,T6ksipgqyocvkmthlord5srlq7q
Kinsiona (feat. Le TP OK Jazz),Franco,Le foklore de chez nous (feat. Le TP OK Jazz),Tfjmn2tm27edz4utyzycxswker4
Godanaw Sew,Jah Lude,Yachin Neger,Thrjprqmzguyfnqtvvru3o5kbfi
Mindjer,Nino Galissa,Mindjer,Tvgeq7xod6kokznpbe2enkxnzre
