What'd I Say,Ray Charles,The Greatest Christmas Tracks,Tkzjiennijsoniauj6ew74fj3xe
(Night Time Is) the Right Time,Ray Charles,The Greatest Hits (30 Remastered Classics),Tbtlii2ih77jlenl4upi44oy2nq
I Got a Woman,Ray Charles,Hippy Hippy Shake Hits,Tcatqeuvh6h7fmpioj3vnazh2g4
Hit The Road Jack,Ray Charles,The Genius Hits,Tsok3lsrvrisjf56kr4b7dlcaly
Mess Around,Ray Charles,The Greatest Christmas Tracks,Tbkpyfccpoxjjlpdm7fweeygli4
You Don't Know Me,Ray Charles,The Greatest Christmas Tracks,T345ermdd3p7olk2ocpcqu6d274
Georgia On My Mind,Ray Charles,NY Recordings 1952/1955,Tf67tsgksgyoexx7lzepx2zjps4
Come Rain or Come Shine,Ray Charles,The Greatest Christmas Tracks,Tc2dbofcj7nslpzmzbxmjmfvuoi
I Believe To My Soul,Ray Charles,The Genius Sings The Blues,T5ok5iz53ebcvis3odb6pse2mai
Cry,Ray Charles,Cry,Tlzrwi7n37eecx66fzzw26sf7nq
Drown In My Own Tears,Ray Charles,Ray Charles (Have I Got Blues Got You),Trhhlcrovasrrx5ltb2xsvjejzy
Don't Let The Sun Catch You Cryin',Ray Charles,"Classic Charles, Vol. 6: The Genius Of Ray Charles",T2mecvxa4m5oqfvz3hjqvqpr6tu
I Can't Stop Loving You,Ray Charles,U.S. Singles 1952-1962,Tr2ax2ibcysycv63u37bnwcw3bi
Unchain My Heart,Ray Charles,The Greatest Christmas Tracks,Tgizvogsudggc2i2nsnck4ozw6i
What Would I Do Without You,Ray Charles,Ray Charles (Have I Got Blues Got You),Tf53hzweeaq4g3kkdgt6nejh5om
Busted,Ray Charles,Over The Rainbow,Tl55b37iawmh5jfzl4cyzvlckwu
Makin' Whoopee (Live),Ray Charles,"The Best of Ray Charles, Vol. 2",T4zaonkukuu7fv4grtfpglbqooe
Your Cheatin' Heart,Ray Charles,Georgia On My Mind,Tqfqjo2xecwrfv47my3ctm6mbn4
I Can See Clearly Now (Remastered) [Live],Ray Charles,"Live On Pbs Tv Series Austin City Limits, 23 Oct 79 (Remastered)",Tcfggjrf2tvck3pnsqv32cmb4hy
Winter Wonderland,Ray Charles,Ray Charles Forever,Tbddftva7e4welduiuecxasii2a
A Fool for You,Ray Charles,The Greatest Christmas Tracks,Tydem262kwvrcdfbghlwg3oc32m
That Lucky Old Sun,Ray Charles,Over The Rainbow,Th6l7k72bcviqqfwedflklujp5e
