Preciso Aprender a Só Ser,Gilberto Gil,Gil Luminoso,Tkyi6ieg37h3z4htdsostyr4kuq
Aqui e Agora,Gilberto Gil,Gil Luminoso,Txhwjdzws22erd33ueb32gjaura
Retiros Espirituais,Gilberto Gil,Gil Luminoso,Tpofq4atpzcinll4gnm3kps3qwi
Super-Homem - a Canção,Gilberto Gil,Gil Luminoso,Tkrtovr5rud5dbuze3gjqx2dpya
Rebento,Gilberto Gil,Gil Luminoso,Tpnufbmurl7lh3ehgmwxrxmfnvy
Song For My Father,Horace Silver,Song For My Father,Tngfd5swvvurx77kr5tqpj7amiu
Almost Like Being In Love (feat. Paul Chambers & Art Taylor),Red Garland,Red Garland's Piano,Tixbwf723wtrmjib4bkmc2tcpzm
Mercy Street,Herbie Hancock,The New Standard,Tcnfj6tyj6m45pdbo6m2d46sy4y
Naima,John Coltrane,Giant Steps (Deluxe Edition),Tspewjmyrshsc33qwuf4x4d7fne
Ginza Samba,Vince Guaraldi,From All Sides,T3vk7iangiqp7ro3e7kcabz7xre
There Will Never Be Another You (feat. Pete Brown's Sextet),Joe Wilder,Such a Beautiful Sound: Joe Wilder and Pete Brown's Sextet,Tg5d56looguk3lgtd4xhbgjq7d4
Autumn Leaves,Paul Desmond,The Very Best Of,Telr556jtd5l2l6nz65piupdsj4
"Just You, Just Me (feat. The Oscar Peterson Trio)",Lester Young,The President Plays with the Oscar Peterson Trio (Bonus Track Version),T253vxptfn5vprm72nsaqnp2gji
On the Sunny Side of the Street (feat. The Oscar Peterson Trio),Lester Young,The President Plays with the Oscar Peterson Trio (Bonus Track Version),Ts4qhfwiisckqx5ybkapdpma64m
Almost Like Being in Love (feat. The Oscar Peterson Trio),Lester Young,The President Plays with the Oscar Peterson Trio (Bonus Track Version),T3pyd4gcrcrkao2cyikeuh7gz74
Let's Cool One,Thelonious Monk,In Orbit,Tvymfmr4zyghya62czoqqkhtequ
I'm Gonna Sit Right Down and Write Myself a Letter,"Earl ""Fatha"" Hines","Jazz Greats: ""Fatha"" Plays Fats",T2pdefh4e4f53xuchhumpr4lzta
Violets For Your Furs (Rudy Van Gelder Remaster),John Coltrane,Coltrane [Rudy Van Gelder Remaster],T66af24y2fkhu6j4b5coc5dmy5i
Fotografia (Live),João Bosco,40 Anos Depois (Live),Ttzassawdtgqsmrybk3j6e5cekm
Happy Hour à Beira Mar,Wilson Simoninha,Live Session At Trama Studios,Tluii6od2vytos2y63d3ir3h4lu
Sá Marina,Wilson Simonal,Simonal - Ninguém Sabe O Duro Que Dei,Tpncvwumlaiyeycvj443d5mr6rq
Perfeição,João Bosco,"Não Vou Pro Céu, Mas Já Não Vivo No Chão",Tvf7wsd6mpfmmd7glb3sfd7tnke
Balanço Zona Sul,Wilson Simonal,Simonal - Ninguém Sabe O Duro Que Dei,Tu2mvjmwrllrhdhw35cb4nsvv5y
"Don't be that way / Águas de março (feat. Ana Krüger, Carlos Badia, Nico Bueno & Mano Gomes)",Delicatessen,My Baby Just Cares For Me,Tejrldwq7nn6esmnd6c34mwmxju
In a mellow tone,Delicatessen,Jazz + Bossa,T6n42ytq7otejfiwi7bkk6jolwi
Angel Eyes,Delicatessen,Jazz + Bossa,Tj443iolokmxm3elsfrfnoce3dm
