Back In Black,AC/DC,Back In Black,Tnpppcniafqdanjtqribx3ocixq
Brianstorm,Arctic Monkeys,Favourite Worst Nightmare,Tely3difn66qx5sk77tte24wtye
Spread Your Love,Black Rebel Motorcycle Club,B.R.M.C.,Tpr3jypzbnrfbh23iger4nopjvi
Paranoid,Black Sabbath,Top 40 Rock,Tylhvqfdrahj4sbsu5a7gzvuq5q
Song 2,Blur,Blur: The Best Of,Twsnvgwib6w6ci3ezpppdqngdwi
Le Freak,Chic,Funky Drums,T2up7mmycdmynw3pj3b2klnhhkq
Take Me Out,Franz Ferdinand,Take Me Out,T235n4gamlljrcikw3ub4ib46vm
Celebrity Skin,Hole,Throwback Tunes: 90s,Thuxyboa7agi7tkrlfhrlgrabba
The Bucket,Kings Of Leon,Pub Songs,T3kalwtaqtbbskl3ae6qumtmen4
Motorcycle Emptiness,Manic Street Preachers,Generation Terrorists,Twjrgo52ot2svmzthrwqnxpjqge
Let's All Go Together,Marion,This World and Body,Twu4ne5vpwz5f23qa3ape6th6ra
Beat It,Michael Jackson,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",Toyluerbiel4f5ap4afidt32lqm
Supermassive Black Hole,Muse,Supermassive Black Hole,Tffcpgtbonfpoc352eoa46kazda
Cinnamon Girl,Neil Young,Archives Vol. I: 1963-1972,Tpvz7efjpsesnbe2rnadyyf4yum
Ceremony (2011 Total Version),New Order,TOTAL,Ta2oylotpnsoxxxa5yiwpzsszne
Alive,Pearl Jam,Rock Clássico,Tyosrp3b2qvsruxaeg5oipct2eu
Where Is My Mind?,Pixies,Death To The Pixies,T2lkhrlht2fhggy3qjkuqd4ll6u
Jailbird,Primal Scream,Give Out But Don't Give Up (Expanded Edition),T36j5ixqxcyisby7rnzfw43eqjm
Alphabet St.,Prince,Ultimate,Tfea7pwtfribi62mgnllqlxbpla
Firestarter,The Prodigy,Firestarter,T3c3vixt42tjpxhi62dzlwcxe5u
Paranoid Android,Radiohead,Paranoid Android,Tulnsz5ppbexv4uj4vs5qiicp4a
Animal Nitrate,Suede,Suede (Remastered),Tdvid4bdyiw6ubkrpbdvcds5ck4
Get It On,T. Rex,Move On Rock,Tsqcjfxu2ojpipzwxvsosrkkolm
Marquee Moon,Television,Marquee Moon,T722qqgdahfa73e5hjpqxvti7oa
Lonely Boy,The Black Keys,El Camino,Tuk6hv3z7mbdjfpnngiwjfvceqm
Men's Needs,The Cribs,Men's Needs (DMD Maxi),Tyxdqmh3e7ogbe6tamywhzfbukm
That Lady (Part 1 & 2),The Isley Brothers,Soul Classics,Tukc5b56e24zlozoreq6biqlqoi
What Difference Does It Make?,The Smiths,100 Greatest Rock,Tpbubrtgfji7mchaw2o6ajdaee4
Love Spreads,The Stone Roses,Second Coming,T7u4ikqrattsghpyznszgb4f6ga
I Can'T Explain,The Who,"Wonder Years, Wonder Music 99",Tofjqnassjnafatkemoagbxit5q
Free Fallin',Tom Petty,Classic Rock Radio,Txs4ghselholni33lzoy5z7so4m
Three Girl Rhumba (2006 Remastered Version),Wire,Pink Flag,Tduzej7uq6bloax5qukcpfg7kxy
