(I Can't Get No) Satisfaction (Mono Version),The Rolling Stones,Hot Rocks 1964-1971,Tqtuu7wapj7eh7q5norw5ol7tge
Let's Spend The Night Together,The Rolling Stones,Hot Rocks 1964-1971,Tg6muljufrmfz3tougwtrfxkflu
Brown Sugar,The Rolling Stones,Hot Rocks 1964-1971,Tg6sdeoqmuifcylj5teczjsmzpq
Revolution 1 (Remastered 2009),The Beatles,The Beatles (Remastered),Tom4snrucwmyqc3m233se2cpnkq
Revolution 9 (Remastered 2009),The Beatles,The Beatles (Remastered),Tqgc3ialk5gmkxtmhonpwxcorpe
Revolution (Remastered 2009),The Beatles,The Beatles 1967 - 1970 (Remastered),Tbl5wh5pssvwdalewfs2oxki7km
Day Tripper (Remastered 2015),The Beatles,1 (Remastered),Tny6ut56gsgh6gpjvbtb557rqba
Rocks Off,The Rolling Stones,Exile On Main St.,Tromlxprmtyrpbr7qlscntsnpt4
Start Me Up,The Rolling Stones,Tattoo You,Tgyekwg6b4dqwk3xcizsmzwycxi
Happiness Is A Warm Gun (Remastered 2009),The Beatles,The Beatles (Remastered),To2k3l3t74tn7glzgvad3oudg5u
Panama (2015 Remaster),Van Halen,1984,Tdoorui6ntzz66kfybkelilh6wu
Ain't Talkin' 'Bout Love (2015 Remaster),Van Halen,Van Halen,T3jlkc7oy2y3tk4m5dodixpi2ja
Love Walks In,Van Halen,5150,Tfmuzoqt43uooifx27lfgeerpva
Why Can't This Be Love (Remastered Version),Van Halen,The Best Of Both Worlds,T5fmkewetylwljslz46muejdr4y
You Really Got Me (2015 Remaster),Van Halen,Van Halen,Tuqhuj76koubzqtinkdoy2zafca
You Shook Me All Night Long,AC/DC,Back In Black,T7igbxibdhryouwllixcflljg6e
Jailbreak,AC/DC,'74 Jailbreak,Tcsukk2yappv2kog4l3he5v2hsu
So He Won't Break,The Black Keys,Attack & Release,Tji7mv7qhmksvfrglf66zoyc3h4
Hell of a Season,The Black Keys,El Camino,Txbwlf4tibt4tnp73hdnxmf4shu
Highway to Hell,AC/DC,Highway to Hell,Teio62jkh5aule3g3xrjejd7gcm
Stairway to Heaven (2007 Remaster),Led Zeppelin,Mothership (Remastered),T4m3unkdt7iaats65nz2p5wnu6i
We Are The Champions (Remastered 2011),Queen,Greatest Hits (Remastered),Tnhlewryt4ts77aszka7winnu74
Bohemian Rhapsody (Remastered 2011),Queen,A Night At The Opera (2011 Remaster),Tmk7q5ptuv2aqgwyowbqlppdg6q
Dancing Days (2012 Remaster),Led Zeppelin,Houses Of The Holy (Remastered),Tnyhfqperspe6xs5gzt5is2g37e
D'yer Mak'er (Remastered),Led Zeppelin,Houses Of The Holy (Remastered),T7rlt45i5lmvorg4pabmmkmxtqy
Going to California (Remaster),Led Zeppelin,Led Zeppelin IV (Deluxe Edition),Tpn6rtlpphtidonzgvt3cg4nk3a
Houses of the Holy,Led Zeppelin,Physical Graffiti,Tikmldonsrkoi5bu7cuywir4mkm
Moby Dick (Remaster),Led Zeppelin,Led Zeppelin II (Deluxe Edition),Txlwwfyv3orbh3y3krcje3egwzi
No Quarter (Remastered),Led Zeppelin,Houses Of The Holy (Remastered),Tb4ubxo6e5jo3u3vmj3as5d3tka
Over the Hills and Far Away (2012 Remaster),Led Zeppelin,Houses Of The Holy (Remastered),Tufk6kremmsmphtbpwqdvxtieaq
