Nena Nanã,Jorge Ben,Sacundin Ben Samba,Tlmbext5jgkb67utvo6rtu4kwpe
Praia,Os Cobras,O LP,Tkek6c2onbdozdyy3v7xte5xnui
Na Tonga da Mironga do Kabuletê,Zeca do Trombone,Um Trombone Em Simonal,Taiwl5c3p6davagsuf2crxee4bq
Tamancas do Cateretê,Orquestra Imperial,Fazendo As Pazes Com o Swing,T7wfru4mfgndajyllscth37unna
Vou Deitar E Rolar (Quaquaraquaqua),Elis Regina,"Samba, Jazz & Bossa",T2vkky4rbedlbcjrlr7htzsqnsi
Aurora da Revolução,Marku Ribas,4 Loas,Tfhvbr37tsjwgia6ou543fbja6i
Hino Vira-Lata (feat. Quinteto em Branco e Preto),Emicida,O Glorioso Retorno de Quem Nunca Esteve Aqui,Tnz4mcwykvfuzti2emhh2dpxchq
Maná,Rodrigo Amarante,Cavalo,Turr2k5at3t3ku43j2jjoxtuoim
Sem Estrela (feat. Curumin),Rodrigo Campos,São Mateus Não É um Lugar Tão Longe,T2h2bqzd3f3y2blrhovhbdxsaia
Coisa Nº 1,Moacir Santos,Ouro Negro,Twyto3m6mg252jk4ijhxxkug2g4
Quando Você Está Sambando,Kassin,Sonhando Devagar,Tt6na5hubvgehxgkwmqafp65324
Rebola Nêga,Vanessa Da Mata,Segue o Som,T5piiknsdou75h64maolpynyyla
