Certidão,Casuarina,Certidão,Tnpz537bmpunyemm73xzjn53woy
E Lá Se Vão Meus Anéis,Os Originais Do Samba,É De Lei,Tbbmhzgndfqyp3l6j5incdtkxom
Do Lado Direito da Rua Direita,Os Originais Do Samba,"O Samba E A Corda, Os Originais A Caçamba",T6madyohdhny7c6gnjrr5ezbgoe
Tragédia No Fundo Do Mar (O Assassinato Do Camarão),Os Originais Do Samba,É De Lei,T7g237jv3qpzf4umekvqlpmegy4
Coqueiro Verde,Trio Mocotó,Beleza Beleza Beleza,Tmivinmusjdeom7uqx4jpcf4bc4
Os Alquimistas Estão Chegando Os Alquimistas,Jorge Ben,A Tabua De Esmeralda,T5j3nvzpxnd7dvhckah44rjeryy
"Eu quero é botar meu bloco na rua (feat. Mauricio Bussab, Du Moreira, Numismata, Felipe Julian, Tatá Aeroplano, Ronei Jorge, Sergio Arara, Piero Damiani, Kuki Stolarski, Fe Pinatti, Banda do Fumaça, Alzira E, Mauricio Pedrão, Luciano Barros, Estevan Sinkovitz, Adalberto Rabelo Filho, André Vilela, Carlos H. & Felipe Veiga)",Bojo,"Maria Alcina, confete e serpentina",Txe5kyx3xvukwebzeahcfxue5ki
Apesar De Você (1997 - Remaster),Clara Nunes,Nova Bis - Clara Nunes,Tefmxdanfjvsygczr5exs73fafi
Toró De Lágrimas,Antonio Carlos & Jocafi,Série 2 EM 1 - Antonio Carlos & Jocafi,T36uxhs4sh2j4w3zpzuri2vmqmq
Você Abusou,Antonio Carlos & Jocafi,Série 2 EM 1 - Antonio Carlos & Jocafi,Tahwicrgtrscstrolbf2zbfwh7y
Vinheta Tudo Que O Tempo Me Deixou,Alaide Costa,Tudo que o Tempo me Deixou,Twomdwv2phdwi2itkfphlwtlcwe
Cadê Tereza ((Faixa Bônus) [Sterio Mix]),Os Originais Do Samba,Ultimate Samba Collection - 1CD Camden compilation,T5v6g5wz5mtkmqu67x7tgcegc4m
Não Deixe o Samba Morrer,Os Originais do Samba,Não Deixe o Samba Morrer!,Tv4vaw43fe5yj3fpapnzyyhlqbi
Esperanças Perdidas,Os Originais Do Samba,"O Samba E A Corda, Os Originais A Caçamba",Tw3pnmymwjyjamitfij2b6sbhby
Tive Sim (Ao Vivo),Luiz Melodia,Luiz Melodia Especial MTV (Ao Vivo),Tnow6bpnqcdpcl6t7ny7rs4qvfi
Chegou a Bonitona (Ao Vivo),Luiz Melodia,Luiz Melodia Especial MTV (Ao Vivo),Twtigd2cnh4zenmq2utvkefbcea
O Neguinho e a Senhorita,Luiz Melodia,Estaçāo Melodia,T2r2pper2iytf76wuvvk6r4oypq
Espelho,Joao Nogueira,Retratos,Tx53i2hdyndoxbhxi7rdc2wwphy
Retalhos de Cetim,Sambô,Sambô,Ttfsiprp55hrfwq6sqyisam4xq4
Na Cadência Do Samba,Novos Baianos,Vamos Pro Mundo,T3gx3qetog67yxer4qel62ziq7u
Peguei Um Ita No Norte,Quinho,Novo Millennium - Sambas De Enredo II,Tcoko6tonvk6gjgf5rewq6xhxda
Brasil Pandeiro,Novos Baianos,Acabou Chorare,Tof4q5doqcb3acs4z26enlp32be
Swing de Campo Grande,Novos Baianos,Acabou Chorare,Tzpfe4zf5o4ipq5v2x3pqkseve4
Laranja Madura,Casuarina,Casuarina,T4eeu2mapo2o3bxxtcr6sbzbdde
Deixa Estar,MPB4,Deixa Estar,Tp6bajqmbqkhqu4iwlacoeqcby4
"De Babado (feat. Nelson Sargento, Nei Lopes e Zeca Pagodinho)",Ivan Lins,"Tributo A Noel Rosa, Vol. 1",Tpfycax7njtcag5xuk7jyzyvnk4
De Frente Pro Crime (Ao Vivo),Toquinho,40 anos de música (ao vivo),T3kxttoxy2cbkgjtlchrjmub3gi
Quantos Beijos / Orvalho Vem Caindo (feat. Fundo de Quintal),Ivan Lins,"Tributo A Noel Rosa, Vol. 2",Ti7hnrpiahfe4jdbsbwedunqrx4
O Que É o Que É,Gonzaguinha,Bis - Gonzaguinha (Dois CDs),T4ahc4egyhepq56esgvjn3cz6li
Alguem Me Avisou,Maria Bethânia,Brincar De Viver,Tborj7nyrq2eb2zz2s7mgnn6szq
Até Amanhã (feat. Emilio Santiago),Ivan Lins,"Tributo A Noel Rosa, Vol. 2",Talmd5jvazb6jmq2ikl3f727la4
Ive Brussell (feat. Caetano Veloso),Jorge Ben Jor,Salve Simpatia,Tx6mcj66cpelgpd2epuyjrax47y
Cansei de Pedir (feat. Chico Buarque e Nó Em Pingo D'água),Ivan Lins,"Tributo A Noel Rosa, Vol. 1",Trwskhnh4gvvveyfbt3zopv3jci
E Vamos a Luta,Gonzaguinha,Bis - Gonzaguinha (Dois CDs),T2sj7c24tcdivjoxqpxmjowuryi
Pelo Telefone,MPB4,Deixa Estar,Tggn4gakkobvz6wbp5ecwyiiiuy
Provei (feat. Cláudio Lins),Ivan Lins,"Tributo A Noel Rosa, Vol. 1",T4gggbanxs3soyaey4v6fur2ohm
Deixa Eu Dizer,Cláudia,Brazilian Beats 7 (Mr Bongo presents),Tqbj5qyz2axhvqim7mwk3i5r754
Andança,Sambô,Sambô Em Estúdio e Em Cores,Tp7jkjxopbpbv6yfmtgdgrzda7u
As Mariposas,Os Originais Do Samba,É De Lei,Tzseecigtdokmmfqktz6fi6gyyu
Kid Cavaquinho,João Bosco,Maxximum - João Bosco,Tuejwqdtcjlxugdkmn3ggxernpm
Tarde em Itapuã (Remastered),Vinicius de Moraes,Garota de Ipanema (Remastered),Tityyohzvolto5bqeepdardcnaa
Samba do Arnesto (Ao Vivo),Demônios da Garoa,Vem Cantar Comigo (Ao Vivo),T7chsryxp3m7p7ye5m6qnvpukbq
Não Deixe o Samba Morrer (feat. Luciana Mello),Sambô,Sambô,Tshprxxyonleiyardm5zm3akoye
"Augusta, Angélica e Consolação",Tom Zé,Warner 30 Anos,Tcb6jdzwggtb7atqrkg7tlwcxae
Tragédia No Fundo do Mar,Sambô,Sambô Em Estúdio e Em Cores,Tamdeduvg23576rdgzga7465wiq
A Tonga Da Mironga Do Kabuletê (feat. Vinícius de Moraes),Toquinho,10 Anos De Toquinho Vinicius,T4l2yfbo65ifhb3u7nordyfamc4
A Felicidade,Tom Zé,Brazil Classics 4: The Best of Tom Zé,T3xmn3lpamdvu666qfsdqjni4ui
Eu Canto Samba (Versão Acústica),Paulinho Da Viola,Eu Canto Samba,Trttpgm3gwp6s3gjtszytzj35oq
Tiro ao Álvaro (Ao Vivo) (feat. Arnaldo Antunes),Demônios da Garoa,Vem Cantar Comigo (Ao Vivo),Tbsgsuucfwj5coqiwfj2bivm2km
Saco de Feijão,Beth Carvalho,Nos Botequins Da Vida,Txagmk2gfqtanjbtthwww62meqe
Foi um Rio Que Passou em Minha Vida (Ao Vivo),Paulinho Da Viola,Seleção Essencial - Grandes Sucessos - Paulinho da Viola,Tftcby6fd6b5dltwn5geg36ajae
"Madalena (Ao Vivo) (feat. Ivan Lins, Cesar Camargo Mariano, Nathan Marques, Crispin Dell Cistia, Wilson Gomes & Dudu Portes)",Elis Regina,The Best Of Elis Regina (Live),Tr2ypgclbg3yubnh7dqgh7php5a
Volta Meu Amor,Marisa Monte,Coleção,Tho3hnvyx4hj7d3mnfzfyjok32i
Samba da bênção (Remastered),Vinicius de Moraes,Garota de Ipanema (Remastered),Tjxt7mz2z64wna6s5yodmluvejq
Vou Deitar E Rolar (Quaquaraquaqua),Elis Regina,Personalidade - Elis Regina,Tp2oxyprezqkjykntrm2vvzw2ey
É Difícil Viver Assim,Paulinho Da Viola,Bebadosamba,Trdpq4qahiavnm7gvnzfne3g6ie
Nega dina,Emilio Santiago,O Samba & Os Sambistas,Thxtnchka4bpjukrxkhiui6ydpa
Trem das Onze,Demônios da Garoa,60 anos - Ao Vivo,T2j7hz6o4n7ze3h7yhpcmmxiihu
Esta Melodia (2005 Digital Remaster),Marisa Monte,"Verde, anil, amarelo, cor de rosa e carvão",Tebrc2yte5znohjhql4vh23v3bm
Saudosa Maloca,Demonios Da Garoa,Raizes Do Samba,T6puz3frhx6eybnb2qrwz4kcrvy
É Com Esse Que Eu Vou,Elis Regina,Elis (1973 Version),Tiy554k67oqdix65ecg3f23adgm
Vou Festejar,Beth Carvalho,Latin Grooves - Samba,Tezeowfbgmfuuwrtulysdbvcpea
Estranha Loucura / Falando Sério / Sufoco / Além do Horizonte / Meu Ébano / Nêga (Ao Vivo) (feat. Alcione),Roberto Carlos,Duetos 2,T6gvahza362kxh4qgp5bizztc54
De Mais Ninguem (2005 Digital Remaster),Marisa Monte,"Verde, anil, amarelo, cor de rosa e carvão",T7ack3xacxbkq3kqcqgm5z5c5em
Andança,Beth Carvalho,Maxximum - Beth Carvalho,Tmif5yliqh7hcmbvutjdipdj5vi
Gotas De Luar (2004 Digital Remaster),Marisa Monte,"Memórias, Crônicas e Declarações de Amor",T243tzqsaqpm3pf3potgjowu6aq
Minha Embaixada Chegou,Sururu na Roda,Sururu na Roda,Tfeeilacavwatxsifemumxbeqde
Na Linha do Mar / Beija-Me / Leviana / É Preciso Muito Amor,Sururu na Roda,Sururu na Roda,Tvx436jpwlddf2v75agnxhtfiy4
João Valentão / Vatapá,Sururu na Roda,Sururu na Roda,T5wwxzc24ylazucekrgtwe7vjd4
Na Glória,Sururu na Roda,Sururu na Roda,Tsohycujhblplsmdvdjlshdgyiy
Dorinha Meu Amor / Galvião Calçudo,Sururu na Roda,Sururu na Roda,Tyint22b2rcrqkm2i2vftpwrkge
Mil Réis,Sururu na Roda,Sururu na Roda,T3zexuharjnu7c5tprsawzjt5oi
Cem Mil Réis,Sururu na Roda,Sururu na Roda,T7adesye3csn44e46a4o7tuozv4
E o Mundo Não Se Acabou / O Neguinho e a Senhorita,Sururu na Roda,Sururu na Roda,Tkrf6os6e44ce5oxkda6fd5aggq
A Rita / Samba do Grande Amor / Homenagem ao Malandro / Feijoada Completa (feat. Chico Buarque),Sururu na Roda,Sururu na Roda,T47j3fulefdz4n7fzdlrxjupppi
Esperanças Perdidas / A Voz Morro / A Alegria Continua,Sururu na Roda,Sururu na Roda,Tpu32duqi4h6adva7y2cxratbku
Alvorada / Quem Me Vê Sorrindo /Mão Quero Mais Amar a Ninguem,Nilze Carvalho,Lembranças Cariocas,Tuoekcery6ta5eufqx3icqycavy
A Primeira Vez / Madalena Você Foi Ao Samba / Nunca Mais,Nilze Carvalho,Lembranças Cariocas,Tpyku5f3gnidth2ncrio5ncz3ou
Nunca / Ninguém Me Ama / Risque,Nilze Carvalho,Lembranças Cariocas,Td35fijmlkhm4n5vjcmo2aubh44
Sábado Em Copacabana / Copacabana,Nilze Carvalho,Lembranças Cariocas,Tzmyhyqm5jrqprpjpv7agiwasku
Nem Eu / Não Tem Solução,Nilze Carvalho,Lembranças Cariocas,Tgeaiil52pr2beijnfshrtkmivi
Noites Cariocas,Nilze Carvalho,Choro de Menina,Toyabrfmy3osefjr6amkhufdz7m
Docê de Coco,Conjunto Época de Ouro,Chorinhos de Ouro Vol. 1,Tv722yvarwvyritoqdkntph4hue
Barracão,Nilze Carvalho,O que é Meu,Tiizjbzmtapfdxud6feweem6zhy
Samba de um Minuto,Roberta Sá,Que Belo Estranho Dia Pra Se Ter Alegria,Tywrkaacuo4fflki3n3aoaqlegm
Estácio Eu e Você (Ao Vivo),Luiz Melodia,Luiz Melodia Especial MTV (Ao Vivo),Tvqzy53pfdkoyboljtngxncmavu
Regra Três,Toquinho,O Melhor da Parceria,Tf3bomdecgwi62kpghujh6gkrky
Regra Tres,Miltinho,Retratos,T7dsge7jj6mengkvjjply4naoru
Adeus (feat. Época de Ouro),Ivan Lins,"Tributo A Noel Rosa, Vol. 1",Twyyllnwpwspsp4kkrwbe5zsrfi
Samba de Helena,Casuarina,Trilhos Terra Firme,Tgutrvwpw5hgxmq62yavsem7wyi
É Hoje (Ao Vivo),Dudu Nobre,Os Mais Lindos Sambas Enredo de Todos os Tempos,Tjchq4mewbi7saywjoc5pdmoq5m
"Bum, Bum Paticumbum Prugurundum (Ao Vivo) (feat. Velha Guarda do Império Serrano)",Dudu Nobre,Os Mais Lindos Sambas Enredo de Todos os Tempos,Ttpoh7zmhijycu34k2aey4wcrw4
Sonhar Não Custa Nada (Ao Vivo),Dudu Nobre,Os Mais Lindos Sambas Enredo de Todos os Tempos,Tlt5adr5d3vlbgxr4l6oldc2qgi
O Amanhã (Ao Vivo),Dudu Nobre,Os Mais Lindos Sambas Enredo de Todos os Tempos,Twr3jswniumivbikxmvxcawjuay
Aquarela Brasileira (Ao Vivo),Dudu Nobre,Os Mais Lindos Sambas Enredo de Todos os Tempos,Ty6kadovu7sf3enlbfe7nf5lrim
É Hoje,G.R.E.S. Uniao da Ilha do Governador,Samba Enredo du carnaval de Rio,Taldt7kzeqn6qrzazuithhlrxaa
Peguei um Itá No Norte (Ao Vivo),Monobloco,Monobloco 10 (Ao Vivo),Tyr2p6mlyamyurrabauowi622ue
Deixa A Vida Me Levar,Zeca Pagodinho,Deixa A Vida Me Levar,Tt3uha6lscyhabsy2yig2xuro34
É Preciso Muito Amor/Vendaval Da Vida/A Alegria Continua,Noca Da Portela,De Mãos Dadas,Tsm7keum26xcng6qxohtkgkfzeu
O Bêbado e a Equilibrista,João Bosco,Linha De Passe,Tl7sehpdvjm6imcy3vb6tsiaq4m
Mar de Copacabana,Gilberto Gil,Extra,Tvoqwoisvfssvrkixol5fczabyq
Quando Você Deixar,Casuarina,7,Tetifnevzbfcyuu7uqfsanut5pu
Retalhos De Cetim (Ao Vivo),Casuarina,Samba Social Clube Vol. 2,Tq56y5zihlfqws2fcvueo7rouc4
Torresmo À Milaneza,Maria Alcina,Série Super Divas - Maria Alcina,Tnudrvetokapvb7iuyslubjx65e
Brigas Nunca Mais,Marlene,Bossa Nova Café,Tcpvxxaqp5kxxmiqilfiobd7nvi
Com qualquer dois mil réis,Novos Baianos,Enciclopédia Musical Brasileira,Tw3pbqs2lt2ocfvuxx2wfao4k4m
Fala tamborim,Novos Baianos,Sorrir e cantar como Bahia,Tfend44qfe73e4srlrnan2kyvhy
Samba Dos Nossos: Na Cadência Do Samba / Brasil Pandeiro / O Samba Da Minha Terra,Novos Baianos,Brasil Pandeiro - O Melhor Dos Novos Baianos,Tvlqw3iiwtdcuq2a5zrjgkj34hm
O Amanhã,Simone,Delirios Delicias,Tt7srbnfgu3eyby7mrdsmr77kbq
Desesperar Jamais (feat. Roberto Ribeiro),Ivan Lins,Velas Içadas (Best Of),Tuafiyyst5mu24ejfhtqxdi6t5e
Aqui É O País Do Futebol / Música Incidental: O Campeão (Meu Time),Wilson Simoninha,Aqui É O País Do Futebol/Musica Incidental: O Campeão (Meu Time) (Radio single),T64pyqccsgkic74dtcvodpsgiv4
Pelo Amor De Deus,Emílio Santiago,Guerreiro Coração - O Melhor De Emílio Santiago,Tsn3447bbljxocmbutih7a4rbmu
Se Você Me Ouvisse,Sururu Na Roda,Sururu Na Roda,Td6rmdbw5thqjcfbwumut3q6op4
Quando Eu Me Chamar Saudade,Sururu Na Roda,Sururu Na Roda,Tg5qhm57i3pb4gt6ofzjyoqaa5e
O Ouro e a Madeira,Sururu Na Roda,Sururu Na Roda,Te6was652532jr6fhzer4dtdxmi
Lobo Bobo / Rapaz De Bem / Idéias Erradas / Confissão / Madeira De Lei / Deixa Isso Pra Lá,Doris Monteiro,"Dóris, Miltinho E Charme",Tulppx2hoe6w7zcovw63vqf4eii
Desse Jeito Não Tem Jeito,Doris Monteiro,"Dóris, Miltinho E Charme",Txwkbabptuq4grzgshvstqw3oku
Coisa Boa e para Sempre,Various Artists,Sambas Enredo Gaviões da Fiel,T2jf672mzlqd5ea3hvgqpmrep4i
Teimoso,Miltinho Com O Sexteto Sideral,Teimoso,Tfper3u7ftqhnpkrkaajzp4xary
O Nosso Amor,Beth Carvalho,"Songbook Vinicius de Moraes, Vol. 1",Tuoxhrdbshbgz3ztnqmil63cazm
Porta Aberta,Luiz Ayrao,Porta Aberta,Tm6n2l5nwb5f62wqbimj4nmvte4
A Chuva Cai,Beth Carvalho,Maxximum - Beth Carvalho,Ttlakpe3nmedlm6f4rrn44laj3m
Trio Mocotó - Voltei Amor.mp3,,,5c763058-f06d-3d7c-ae05-a6a1e74e8167
Trio Mocotó - Não Sei Por Que.mp3,,,e0c0e1ca-2583-3831-965b-732a28ff70d3
O Show Tem Que Continuar,Grupo Fundo de Quintal,O Show Tem Que Continuar,Tpty376xctcwqte5ahymbcsax4u
Espelho,Joao Nogueira,Nó Na Madeira,Td6iem5yeltygfksnjw5aensvdq
Na Veia (Participação Especial de Marcelo D2),Rogê,Na Veia,Tuw46tc5ogi7ymueca6ceyfskui
Pra Que Chorar,Alcione,Baden Powell - A Bênção Baden Powell (CD Duplo),T4k4lzwbgubzk4e2k3epyfulhfq
