Piazzolla: Libertango,Yo-Yo Ma,Classic Yo-Yo,Tekspsm4ozbpbx6hoehmwhqe2j4
Chorinho em Aldeia,Henrique Cazes & Família Violão,Desde que o Choro é Choro...,T53edgztxiwy5qffezbybkpvxji
Chorinho prá ele,Henrique Cazes & Família Violão,Desde que o Choro é Choro...,Tf6ewsvw65w2vkgww3n2fpgs5hy
What's Going On,Marvin Gaye,What's Going On,T5r2nbypngwjiiix55ue52qolqy
What's Happening Brother,Marvin Gaye,What's Going On,Trpmpnhbevqiugore2ieofjow34
All Around the World,Lisa Stansfield,Biography: The Greatest Hits,Tvkxpq35jlmauy4igecis6fagt4
Wrong 'Em Boyo,The Clash,London Calling,Trlohofrbsnpzirubvl4yx2ps3q
To Sir With Love (2002 Remastered Version),Lulu,Most Of Lulu / Lulu's Album,Thagah7iftego56meyj2ebwj3te
Here Comes Your Man,Pixies,Doolittle,Terd2bobvsbrx3ebqwoozrm5rmu
Winterlong,Pixies,Complete B Sides,Tho7jgxjdy2q7dvy2snjioh7cxa
Winterlong,Neil Young,Decade,Tmtrkvpafde6467mrk3ahxylcfa
Chicago Breakdown,Big Maceo,Best of Piano Blues,Tun4yeypyzhd6vouclx2swttd3i
Jailbreak,AC/DC,'74 Jailbreak,Tcsukk2yappv2kog4l3he5v2hsu
So He Won't Break,The Black Keys,Attack & Release,Tji7mv7qhmksvfrglf66zoyc3h4
True,Spandau Ballet,Gold - The Best Of Spandau Ballet,Tej56lo6xuw33wai6twec4ukryy
My Sweet Summer Suite,The Love Unlimited Orchestra,Gold,T3jer54spo2ds22xatrzwjc4gum
Sweet and Lovely,Ella Fitzgerald,125 Ella e Louis Classics (The Beautiful Songs Remastering 2014),Tcbtzhomyjhfclj3men3zssipwq
Sweet Love,Anita Baker,Rapture,Tqcy3yw5vrlsmwfhlpidebjmwv4
Guilty,Barbra Streisand,Just For The Record...,Tmfm5tbx2kshwxzols5lxnjfc6q
