If I Fell (Remastered),The Beatles,A Hard Day's Night (Remastered),Tceti6krpkbpur6vkhzwop3xgfi
Areias escaldantes,Lulu Santos,Tempos Modernos (Remasterizado),Txfxsb7vbu3qtg7qw2uqxbgsazi
Nascente,Flavio Venturini,Anjo Bom,Tvumkapk3aemafp6tcxs767mkm4
Toda Forma de Amor,Lulu Santos,Toda Forma De Amor,Tcii4jo4wqr7s4kxklbmjwolr6a
Feijoada Completa,Chico Buarque,Chico Buarque,T33lawd77eyod2o4kmhkkwxgcha
Nervos De Aço (Remaster 2012),Paulinho da Viola,Nervos De Aço (1973),Taoxvjcwcsokpig3yjsn4piikim
You Make Me Love You,Roger Hodgson,Hai Hai,Tnfwlzpijl4eaikvrcfudsru2ea
I Know What I Like (In Your Wardrobe) (2008 Digital Remaster),Genesis,Selling England By The Pound,Tecqpdxpgqlpwqay7wrk6jjibri
Big Generator,Yes,Big Generator,Talxvsw2qqqqxkkhgqkz6mypgoy
Ave Maria,Toninho Horta,The Carols Of Christmas - A Windham Hill Collection,Tgvz7yyv7pmptu665vvvezwkdeq
Réu Confesso,Tim Maia,Best of Brazil,Tr7gbadxvx2ksqptlh7lsk2nefy
Sous le ciel de Paris,Denis Biasin Quartet,"The Accordion: World's Greatest Virtuosos, Vol. 5",Tcnyblbcj55jnn542osgvo6b3ka
La Cumparsita,Denis Biasin Quartet,"The Accordion: World's Greatest Virtuosos, Vol. 5",T4c3pthmtenyzwm3hlmkfoe3lca
Tea for Two,Peter Soave,"The Accordion: World's Greatest Virtuosos, Vol. 2",Tiklaw32dzvmemahwo5avp3hmm4
"Quizas, Quizas, Quizas",Peter Soave,"The Accordion: World's Greatest Virtuosos, Vol. 2",Twde7cfj62ts5vzw74pcbl2bdry
Chorinho Pra Ele,Richard Galliano,"The Accordion: World's Greatest Virtuosos, Vol. 2",Txkak64jco6soaezr66xuxtofti
Perfidia,Peter Soave,"The Accordion: World's Greatest Virtuosos, Vol. 2",Tepo42sinmxzfjgufbzgnebefb4
O sole mio,Peter Soave,"The Accordion: World's Greatest Virtuosos, Vol. 2",Ts7jvhrcmkfbe6lylvkmwmm22wq
Blue Moon,Peter Soave,"The Accordion: World's Greatest Virtuosos, Vol. 2",Tdmlya2cospbqycvseog2n4f3pi
La vie en rose,Peter Soave,"The Accordion: World's Greatest Virtuosos, Vol. 2",Thsbb5osb3dus3tc3sfl5wx3xd4
All the Things You Are,Peter Soave,"The Accordion: World's Greatest Virtuosos, Vol. 2",Tvvlvy47c5cvkjukyf7esyhwxsu
All of Me,Peter Soave,"The Accordion: World's Greatest Virtuosos, Vol. 2",Tjq7jze6iw64xo4in4pqkv62yrq
Marina,Gorni Kramer Quartet,"The Accordion: World's Greatest Virtuosos, Vol. 5",Tfec27vkxwvwfokwf46ke6rfdn4
Tristeza,Gorni Kramer Quartet,"The Accordion: World's Greatest Virtuosos, Vol. 5",Tvtmhneh5ckscpgqdugvko254zq
Siboney,Gorni Kramer Quartet,"The Accordion: World's Greatest Virtuosos, Vol. 5",Tadkyug4dg2mz2zn2hooelo3nui
Tico Tico,Gorni Kramer Quartet,"The Accordion: World's Greatest Virtuosos, Vol. 5",Tuhk26amwub544fgbovdqzz4avm
Noite feliz,Natal De Cavaquinho,Natal de Cavaquinho,Tfckvewxij4jv4b2y2xlxsms64y
Jesus alegria dos homens,Natal De Cavaquinho,Natal de Cavaquinho,Tpti2wxei3nxyenhbxgpj4et7ou
Natal das crianças,Natal De Cavaquinho,Natal de Cavaquinho,Tawmow4kq6sfyuxqumhh525j4pu
Ave Maria,Natal De Cavaquinho,Natal de Cavaquinho,T2f35iks4pyutg5slq2ausmsrwu
Um Certo Alguém,Lulu Santos,Tempos Modernos (Remasterizado),T7623pre5qbdmhdesdxenndeigq
O Descobridor dos Sete Mares,Lulu Santos,Focus On...Brazilian Music Grooves,Tcqy5c5gbacz7jz7uf55lb2eqce
Assim Caminha a Humanidade,Lulu Santos,Lulu Acústico,Tyd2rqgymqgicstsgw2e2vxtlkq
Nascente,Roupa Nova,Ouro De Minas,Tld3xtofgwsq4ribazfefhop5ty
Cais,Milton Nascimento,Clube Da Esquina,Tez6i2mzvz5ze2r4lyijin2lkbq
Um Girassol da Cor do Seu Cabelo,Lo Borges,Clube Da Esquina,Tg5vedweakeucoa3t6vidol7yty
Trem de Doido,Lo Borges,Clube Da Esquina,T436ijn64zprvv6aexz3ra7qkma
Free As A Bird,Supertramp,Free As A Bird,Tfdp3sikbnv4m27qjcvviyhip2m
Czárdás,Peter Soave,The Accordion – World's Greatest Virtuosos Vol. I,Tm6kx527vsvs2k72ib4axtec4uq
