I've Got the World On a String (Remastered),Frank Sinatra,Frank Sinatra Greatest Hits (All Tracks Remastered),Tccuox34bh65jwf2wqfzrjdwcgy
They Can't Take That Away From Me (Remastered),Frank Sinatra,Classic Sinatra - His Great Performances 1953-1960,Tc3gsyhartpbuminxcywkpxc43y
I Get A Kick Out Of You (Remastered),Frank Sinatra,Classic Sinatra - His Great Performances 1953-1960,Tv4a3ynfetm3x4skz3k6otw6bae
Just One Of Those Things (Remastered 1998),Frank Sinatra,Swing Easy!,Tbj6uj5cf7npmg5tstikmdifa6y
All Of Me (Remastered),Frank Sinatra,Swing Easy!,Tby4rxybyqvle4vlaedss2kd2hq
Learnin' The Blues (Remastered),Frank Sinatra,Ultimate Sinatra,Tyqk3c2sfelnoo6h3p7cu4at7xi
I'm Gonna Sit Right Down (And Write Myself A Letter) (Remastered 1998),Frank Sinatra,Swing Easy!,Txknscw7bjg2w7yt7dfqr42b2uu
(Love Is) the Tender Trap,Frank Sinatra,Nine Classic Albums,Tjyt7x2dsewxwzn7al2x3o2kf3q
I've Got You Under My Skin,Frank Sinatra,Ultimate Sinatra,Ttshxfb7y5qy2mo3gz27kmqlue4
The Lady Is A Tramp (Remastered),Frank Sinatra,A Swingin' Affair! (Remastered),Trfemi5rvyjvkwdkoov3hly5bxy
Laura (Remastered),Frank Sinatra,Where Are You? (Remastered),T3bdkaym54wtug7xj6vxsbyrmpm
Moonlight In Vermont (Remastered),Frank Sinatra,Come Fly With Me (Remastered),Teo2gi776gi5guafve7eum47uny
Come Fly With Me (Remastered),Frank Sinatra,Come Fly With Me (Remastered),Tg7yqrctjami72zm3z4w7fhmlg4
Come Dance With Me (1998 Remastered),Frank Sinatra,Come Dance With Me! (Remastered),T6eyw3gowu2tpltkbrbkrsrhm3u
Here's That Rainy Day (Remastered),Frank Sinatra,No One Cares (Remastered),T2wxivrntmf5w2g2owxdt7trhtq
