I Get A Kick Out Of You (Remastered),Frank Sinatra,Classic Sinatra - His Great Performances 1953-1960,Tv4a3ynfetm3x4skz3k6otw6bae
Just One Of Those Things (Remastered 1998),Frank Sinatra,Swing Easy!,Tbj6uj5cf7npmg5tstikmdifa6y
Almost Like Being In Love (2006 Digital Remaster/24 Bit Mastering),Frank Sinatra,Romance: Songs From The Heart,Tx7hwzzmrlst4zqatrjmhuzounq
When You're Smiling (The Whole World Smiles With You) (1998 Digital Remaster),Frank Sinatra,Sinatra's Swingin' Session!!! And More (Remastered),T4h4xqthgzkkziwutsf67onfzw4
Cheek To Cheek (2006 Digital Remaster/24 Bit Mastering),Frank Sinatra,Romance: Songs From The Heart,T5kraplqvhxwc2yochaq2y55ws4
Fly Me To The Moon (In Other Words),Frank Sinatra,Sinatra/Basie: The Complete Reprise Studio Recordings,Tkittjmae6svlw6gz7tsw53npuq
The Lady Is A Tramp (Remastered),Frank Sinatra,A Swingin' Affair! (Remastered),Trfemi5rvyjvkwdkoov3hly5bxy
In the Still of the Night,Frank Sinatra,"Les Grands Crooners Américains: Frank Sinatra, Vol. 4",Teld4wzi6auicn72wqyfyiheg4i
I've Got the World On a String (Remastered),Frank Sinatra,Frank Sinatra Greatest Hits (All Tracks Remastered),Tccuox34bh65jwf2wqfzrjdwcgy
They Can't Take That Away From Me (Remastered),Frank Sinatra,Classic Sinatra - His Great Performances 1953-1960,Tc3gsyhartpbuminxcywkpxc43y
All Of Me (Remastered),Frank Sinatra,Swing Easy!,Tby4rxybyqvle4vlaedss2kd2hq
I'm Gonna Sit Right Down (And Write Myself A Letter) (Remastered 1998),Frank Sinatra,Swing Easy!,Txknscw7bjg2w7yt7dfqr42b2uu
I've Got You Under My Skin,Frank Sinatra,Ultimate Sinatra,Ttshxfb7y5qy2mo3gz27kmqlue4
Come Fly With Me (Remastered),Frank Sinatra,Come Fly With Me (Remastered),Tg7yqrctjami72zm3z4w7fhmlg4
You Do Something to Me,Frank Sinatra,Sinatra Sings Cole Porter,Tsailbgtteyqqtuqfmr73pksuby
Night and Day,Frank Sinatra,New York Nite Club,Tiwjyqpyplaxt7bq43jcdo624l4
