Vou Deixar,Skank,#1 Hits,T73enxmqpzishibyprprv7dr544
Te Ver,Skank,#1 Hits,Ti3binvjrdjze7bty53sanhxtpm
Resposta,Skank,#1 Hits,Te52vsp6pmzmyhxmsvw7w7fplwe
Balada do Amor Inabalável,Skank,#1 Hits,T6lktlrrj3zyy57z6xr6tcvhxua
É Proibido Fumar / Peter Gunn Theme,Skank,#1 Hits,Tyf5m5ixlmemhrk5j2wzoh5knhe
Tão Seu,Skank,#1 Hits,Tu2qhgro3ax3egezd7aloqgw3py
Três Lados,Skank,#1 Hits,Tbwwqkyysqsekkr6fsatwiyl3cu
Noites De Um Verão Qualquer,Skank,#1 Hits,Tk7kfosmwr3h2fkph4ckmvtzubu
O Beijo E A Reza,Skank,#1 Hits,T76wuglj5hjtwke2xowd2ylrmma
Saideira,Skank,#1 Hits,Tj44bxpwxpneag3rxehi7t6hjvi
Tanto (I Want You),Skank,#1 Hits,Tf7y7snh4atjeqckfxv33fmbism
Onde Você Mora? (Acústico),Cidade Negra,Hits,Tppkb7dqrqeccsbe3r6pgsgfldq
O Erê,Cidade Negra,Hits,Tavey3balxxjm27puojvwd227pm
A Sombra da Maldade,Cidade Negra,Hits,Tjtoilnpi7chzm6hqhga6arv26y
A Estrada,Cidade Negra,Hits,Td6vgbmh47kmohoqpa3ofyc7qpq
Firmamento (Wrong Girl To Play With),Cidade Negra,Hits,Tcyr6tsx3ks37hs25tzmzc5ewei
Sábado a Noite (feat. Lulu Santos),Cidade Negra,Hits,T65be2dn4zijuh6qxar7ichs4xy
O Amor Não Sabe Esperar (feat. Marisa Monte),Os Paralamas Do Sucesso,A Arte De Os Paralamas Do Sucesso,T645wkzgv3ugikriswzazy4fkiq
Um Anjo do Céu,Maskavo,Já,T27pjcza35qllrkvdg7qabhr5ge
Tempestade,Maskavo Roots,"Se Não Guenta, Por Que Veio?",Tuomo3t63rwkgjceyacjmyor7wi
Quero Ser Feliz Também (Ao Vivo),Natiruts,Natiruts Acústico no Rio de Janeiro,T2lxxavi7humqnnvarm6n5cd4ya
Andei Só (Ao Vivo),Natiruts,Natiruts Acústico no Rio de Janeiro,Tw4cbhspblbkp265ow4dd4twpnm
Você Me Encantou Demais (Ao Vivo),Natiruts,Play: Namorados,Tunew64hcsy6o3ufumv2454qubq
Meu Abrigo,Melim,Melim,Tueoxwrnyybe7giwxoimt3v436u
