-live 'Round Midnight,Art Blakey
-live A Child is Born,Art Blakey
-live A Foggy Day,Art Blakey
-live A Song For My Father,Art Blakey
-live All Blues,Art Blakey
-live All Of Me,Art Blakey
-live All The Things You Are,Art Blakey
-live Almost Like Being In Love,Art Blakey
-live Autumn Leaves,Art Blakey
-live Begin the Beguine,Art Blakey
-live Black Orpheus (Manhã de Carnaval),Art Blakey
-live Bluesette,Art Blakey
-live Body And Soul,Art Blakey
-live But Not For Me,Art Blakey
-live Bye Bye Blackbird,Art Blakey
-live C Jam Blues,Art Blakey
-live Cantaloupe Island,Art Blakey
-live Caravan,Art Blakey
-live Cheek to cheek,Art Blakey
-live Cherokee,Art Blakey
-live Corner Pocket,Art Blakey
-live Dear Old Stockholm,Art Blakey
-live Desafinado,Art Blakey
-live Don't Get Around Much Anymore,Art Blakey
-live Easy To Love,Art Blakey
-live Everytime We Say Goodbye,Art Blakey
-live Fly Me To The Moon,Art Blakey
-live Garota de Ipanema,Art Blakey
-live Honeysuckle Rose,Art Blakey
-live How High The Moon,Art Blakey
-live I Got Rhythm,Art Blakey
-live I Remember Clifford,Art Blakey
-live I'm Gonna Sit Right Down and Write Myself a Letter,Art Blakey
-live I've Got You Under my Skin,Art Blakey
-live In A Mellow Tone,Art Blakey
-live In A Sentimental Mood,Art Blakey
-live Just You Just me,Art Blakey
-live Love for Sale,Art Blakey
-live Lullaby Of Birdland,Art Blakey
-live Misty,Art Blakey
-live Moanin',Art Blakey
-live Moonlight Serenade,Art Blakey
-live Night and Day,Art Blakey
-live On The Sunny Side Of The Street,Art Blakey
-live Penthouse Serenade,Art Blakey
-live Poinciana,Art Blakey
-live Round Midnight,Art Blakey
-live Ruby My Dear,Art Blakey
-live Samba De Orpheu,Art Blakey
-live Satin Doll,Art Blakey
-live Song For My Father,Art Blakey
-live Sophisticated Lady,Art Blakey
-live Stardust,Art Blakey
-live Stella By Starlight,Art Blakey
-live Sugar,Art Blakey
-live Summertime,Art Blakey
-live Take Five,Art Blakey
-live Take The A Train,Art Blakey
-live Tea For Two,Art Blakey
-live Tenderly,Art Blakey
-live The Girl From Ipanema,Art Blakey
-live There Will Never Be Another You,Art Blakey
-live These Foolish Things,Art Blakey
-live They Can't Take That Away from Me,Art Blakey
-live Three Little Words,Art Blakey
-live Watermelon Man,Art Blakey
-live Wave,Art Blakey
-live West Coast Blues,Art Blakey
-live What Is This Thing Called Love,Art Blakey
-live You’re Driving Me Crazy,Art Blakey
-live 'Round Midnight,Art Pepper 
-live A Child is Born,Art Pepper 
-live A Foggy Day,Art Pepper 
-live A Song For My Father,Art Pepper 
-live All Blues,Art Pepper 
-live All Of Me,Art Pepper 
-live All The Things You Are,Art Pepper 
-live Almost Like Being In Love,Art Pepper 
-live Autumn Leaves,Art Pepper 
-live Begin the Beguine,Art Pepper 
-live Black Orpheus (Manhã de Carnaval),Art Pepper 
-live Bluesette,Art Pepper 
-live Body And Soul,Art Pepper 
-live But Not For Me,Art Pepper 
-live Bye Bye Blackbird,Art Pepper 
-live C Jam Blues,Art Pepper 
-live Cantaloupe Island,Art Pepper 
-live Caravan,Art Pepper 
-live Cheek to cheek,Art Pepper 
-live Cherokee,Art Pepper 
-live Corner Pocket,Art Pepper 
-live Dear Old Stockholm,Art Pepper 
-live Desafinado,Art Pepper 
-live Don't Get Around Much Anymore,Art Pepper 
-live Easy To Love,Art Pepper 
-live Everytime We Say Goodbye,Art Pepper 
-live Fly Me To The Moon,Art Pepper 
-live Garota de Ipanema,Art Pepper 
-live Honeysuckle Rose,Art Pepper 
-live How High The Moon,Art Pepper 
-live I Got Rhythm,Art Pepper 
-live I Remember Clifford,Art Pepper 
-live I'm Gonna Sit Right Down and Write Myself a Letter,Art Pepper 
-live I've Got You Under my Skin,Art Pepper 
-live In A Mellow Tone,Art Pepper 
-live In A Sentimental Mood,Art Pepper 
-live Just You Just me,Art Pepper 
-live Love for Sale,Art Pepper 
-live Lullaby Of Birdland,Art Pepper 
-live Misty,Art Pepper 
-live Moanin',Art Pepper 
-live Moonlight Serenade,Art Pepper 
-live Night and Day,Art Pepper 
-live On The Sunny Side Of The Street,Art Pepper 
-live Penthouse Serenade,Art Pepper 
-live Poinciana,Art Pepper 
-live Round Midnight,Art Pepper 
-live Ruby My Dear,Art Pepper 
-live Samba De Orpheu,Art Pepper 
-live Satin Doll,Art Pepper 
-live Song For My Father,Art Pepper 
-live Sophisticated Lady,Art Pepper 
-live Stardust,Art Pepper 
-live Stella By Starlight,Art Pepper 
-live Sugar,Art Pepper 
-live Summertime,Art Pepper 
-live Take Five,Art Pepper 
-live Take The A Train,Art Pepper 
-live Tea For Two,Art Pepper 
-live Tenderly,Art Pepper 
-live The Girl From Ipanema,Art Pepper 
-live There Will Never Be Another You,Art Pepper 
-live These Foolish Things,Art Pepper 
-live They Can't Take That Away from Me,Art Pepper 
-live Three Little Words,Art Pepper 
-live Watermelon Man,Art Pepper 
-live Wave,Art Pepper 
-live West Coast Blues,Art Pepper 
-live What Is This Thing Called Love,Art Pepper 
-live You’re Driving Me Crazy,Art Pepper 
-live 'Round Midnight,Art Tatum
-live A Child is Born,Art Tatum
-live A Foggy Day,Art Tatum
-live A Song For My Father,Art Tatum
-live All Blues,Art Tatum
-live All Of Me,Art Tatum
-live All The Things You Are,Art Tatum
-live Almost Like Being In Love,Art Tatum
-live Autumn Leaves,Art Tatum
-live Begin the Beguine,Art Tatum
-live Black Orpheus (Manhã de Carnaval),Art Tatum
-live Bluesette,Art Tatum
-live Body And Soul,Art Tatum
-live But Not For Me,Art Tatum
-live Bye Bye Blackbird,Art Tatum
-live C Jam Blues,Art Tatum
-live Cantaloupe Island,Art Tatum
-live Caravan,Art Tatum
-live Cheek to cheek,Art Tatum
-live Cherokee,Art Tatum
-live Corner Pocket,Art Tatum
-live Dear Old Stockholm,Art Tatum
-live Desafinado,Art Tatum
-live Don't Get Around Much Anymore,Art Tatum
-live Easy To Love,Art Tatum
-live Everytime We Say Goodbye,Art Tatum
-live Fly Me To The Moon,Art Tatum
-live Garota de Ipanema,Art Tatum
-live Honeysuckle Rose,Art Tatum
-live How High The Moon,Art Tatum
-live I Got Rhythm,Art Tatum
-live I Remember Clifford,Art Tatum
-live I'm Gonna Sit Right Down and Write Myself a Letter,Art Tatum
-live I've Got You Under my Skin,Art Tatum
-live In A Mellow Tone,Art Tatum
-live In A Sentimental Mood,Art Tatum
-live Just You Just me,Art Tatum
-live Love for Sale,Art Tatum
-live Lullaby Of Birdland,Art Tatum
-live Misty,Art Tatum
-live Moanin',Art Tatum
-live Moonlight Serenade,Art Tatum
-live Night and Day,Art Tatum
-live On The Sunny Side Of The Street,Art Tatum
-live Penthouse Serenade,Art Tatum
-live Poinciana,Art Tatum
-live Round Midnight,Art Tatum
-live Ruby My Dear,Art Tatum
-live Samba De Orpheu,Art Tatum
-live Satin Doll,Art Tatum
-live Song For My Father,Art Tatum
-live Sophisticated Lady,Art Tatum
-live Stardust,Art Tatum
-live Stella By Starlight,Art Tatum
-live Sugar,Art Tatum
-live Summertime,Art Tatum
-live Take Five,Art Tatum
-live Take The A Train,Art Tatum
-live Tea For Two,Art Tatum
-live Tenderly,Art Tatum
-live The Girl From Ipanema,Art Tatum
-live There Will Never Be Another You,Art Tatum
-live These Foolish Things,Art Tatum
-live They Can't Take That Away from Me,Art Tatum
-live Three Little Words,Art Tatum
-live Watermelon Man,Art Tatum
-live Wave,Art Tatum
-live West Coast Blues,Art Tatum
-live What Is This Thing Called Love,Art Tatum
-live You’re Driving Me Crazy,Art Tatum
-live 'Round Midnight,Art Van Damme
-live A Child is Born,Art Van Damme
-live A Foggy Day,Art Van Damme
-live A Song For My Father,Art Van Damme
-live All Blues,Art Van Damme
-live All Of Me,Art Van Damme
-live All The Things You Are,Art Van Damme
-live Almost Like Being In Love,Art Van Damme
-live Autumn Leaves,Art Van Damme
-live Begin the Beguine,Art Van Damme
-live Black Orpheus (Manhã de Carnaval),Art Van Damme
-live Bluesette,Art Van Damme
-live Body And Soul,Art Van Damme
-live But Not For Me,Art Van Damme
-live Bye Bye Blackbird,Art Van Damme
-live C Jam Blues,Art Van Damme
-live Cantaloupe Island,Art Van Damme
-live Caravan,Art Van Damme
-live Cheek to cheek,Art Van Damme
-live Cherokee,Art Van Damme
-live Corner Pocket,Art Van Damme
-live Dear Old Stockholm,Art Van Damme
-live Desafinado,Art Van Damme
-live Don't Get Around Much Anymore,Art Van Damme
-live Easy To Love,Art Van Damme
-live Everytime We Say Goodbye,Art Van Damme
-live Fly Me To The Moon,Art Van Damme
-live Garota de Ipanema,Art Van Damme
-live Honeysuckle Rose,Art Van Damme
-live How High The Moon,Art Van Damme
-live I Got Rhythm,Art Van Damme
-live I Remember Clifford,Art Van Damme
-live I'm Gonna Sit Right Down and Write Myself a Letter,Art Van Damme
-live I've Got You Under my Skin,Art Van Damme
-live In A Mellow Tone,Art Van Damme
-live In A Sentimental Mood,Art Van Damme
-live Just You Just me,Art Van Damme
-live Love for Sale,Art Van Damme
-live Lullaby Of Birdland,Art Van Damme
-live Misty,Art Van Damme
-live Moanin',Art Van Damme
-live Moonlight Serenade,Art Van Damme
-live Night and Day,Art Van Damme
-live On The Sunny Side Of The Street,Art Van Damme
