Round Midnight,Art Pepper,Twelve Classic Albums: 1954-1962,Tcdknhx6wnhonwuh6co3m6rblwy
A Foggy Day,Art Pepper,Twelve Classic Albums: 1954-1962,Tuozcu2mh4sehez5jacathuxtua
Song For My Father,Horace Silver,Best Of Jazz Songs,Tvusi2gw66lz6idby5b4kg5ys6q
Blues Out,Art Pepper,All My Success,Tgyu32zebrwrafpvvw2a57piesq
All of Me,Art Pepper,Surfride Plus,Tgv5pf2sxejbkps6nnd5zpclxk4
All The Things You Are,Art Pepper,The Essential Collection,Ttdhvzawkwhmeyifcoducj6ho5i
Almost Like Being In Love,Nat King Cole,A Fine Romance,Tafzpl5kuanrqjnqrkiuol45wh4
Autumn Leaves,Art Pepper,Mambo Jumbo,Tx67ozdm5wa5oce5rrpfjkpbuzy
Begin The Beguine,Art Pepper,The Essential Collection,Tn5bqdtjlneixoz5nbdq2gp3dge
Black Orpheus,Christoph Spendel,"The Piano Side of Brazil, Vol.1",Tiuf33rpxkkfwhaj5g65zl2ujdm
Bluesette (feat. Alessandro Schittone),Patrizia Capizzi,Unwind With Bossa Nova Music,Tix34ffxqi7nrwf7jvgta2fehlm
Body And Soul,Art Pepper,The Essential Collection,Tjjdttrwghcy5bnww7s3wvqlmam
But Not for Me,Chet Baker,Sings & Plays,Trxovords7fx2kftyvoosvlnrna
'Round Midnight,Art Pepper,BD Music Presents Bye Bye Blackbird,Twe72hoifgifzz7ysc5hfz5isnu
C Jam Blues,Mary Lou Williams,1951-1953 (HD Remastered),Ttrhofetw7yb6es5wsl6xyh72au
Cantaloupe Island,Herbie Hancock,The Soul of Jazz,Tg7okuylsq4khluyaz7rjdhqr2i
Caravan,Art Pepper,Live in Japan,Tim3yb7mldsfl4zqddhmrtrzz4u
"Cheek to Cheek (feat. Mal Waldron, Pepper Adams, Art Taylor, Idrees Sulieman, Jerome Richardson, John Coltrane, Paul Quinichette, Doug Watkins, George Joyner & Ray Barretto)",Gene Ammons,Gene Ammons' All Stars. Complete Recordings,Tcyvr36rsoi7kjr372gz37fygfq
Cherokee (Live),Art Pepper,Live in the USA,Tj5zy37cycfbek5smes522d7hf4
Corner Pocket (aka Until I Met You),Duke Ellington,First Time! The Count Meets The Duke,Tirxjhfkpel6n5js6u5st3tcm2y
Dear Old Stockholm,Miles Davis,'Round About Midnight (Legacy Edition),Tsvmbybqlluq7m2zgt4g5vslbsi
Desafinado,Christoph Spendel,"The Piano Side of Brazil, Vol.1",Tqkz57tbkmrv3yqqz3sz5uwaii4
Don't Get Around Much Anymore,Louis Armstrong,"The Great Summit, The Master Takes (HD Remastered)",Tgc7xecstnbzzisw6w7kqu7mfxa
Easy to Love,Helyne Stewart,Love Moods,Tywmgihd375h4mw3oz3k5jzcjee
Everytime We Say Goodbye,Ella Fitzgerald,Jazz Journeys Presents High Speed Swing - Vol. 6 (100 Essential Tracks),T7imdt2hacpx4v7dpz2lxkzhlxu
In Other Words (Fly Me to the Moon) [feat. Ralph Sharon Group],Chris Connors,"The Wonderful Jazz Music of Art Pepper, Chris Connors, John Kirby, Marty Paich and Other Hits, Vol. 2 (155 Songs)",T7kn2p2yutzri477n2yorsqq3ve
Garota De Ipanema (feat. Trio Guará & Trio Guará),Camilla Faustino,Bossa Sempre Bossa,Tfqgxdz3r3l5udeq3ot3wbbm4qa
Honeysuckle Rose,Fats Waller,Forever Gold -75 All Time Greats,Tjxdm2bishs23dnzsxesbpne6c4
How High the Moon,Art Pepper,Those Kenton Days,Tgt5ihoicg26xxtjjaipctg5gnu
Rhythm-A-Ning,Art Pepper,Getting' Together !,Tvdrnpqucabcocqluyscjhb5qaq
I Remember Clifford,Lee Morgan,Lee Morgan Vol 3,Tebd4e6hkpovpezrfitdnlnn5am
I'm Gonna Sit Right Down (And Write Myself A Letter),Ronnie Lane's Slim Chance,Ronnie Lane's Slim Chance,T2rkdjflte45xw2nlvyw2l37ac4
(I've Got You) Under My Skin,Bobby Caldwell,The Consummate Caldwell,Tuabaib23oqvripccc34depbxla
In a Mellow Tone,Oscar Peterson,"Oscar Peterson, Essential Tracks, Vol. 3",T6i2s7dq5zdn2ha4l4qcmri5vh4
In a Sentimental Mood,Café Lounge,"Jazz Music for a Break: Swing Tracks for a Moment of Rest from Work, Study or Daily Home Duties",Tpsmu3dex3yw2fivsc67beqlqza
"Just You, Just Me",Nat King Cole Trio,The Nat King Cole Trio - The Complete Capitol Transcription Sessions,T6bbztrnscer3dffuoogoy4qa2m
Love for Sale (feat. Art Pepper),Marty Paich,Love for Sale (15 Versions Performed By:),Tk7sqf55km2ymsytumvukuaigva
Lullaby of Birdland,"Chris Connors, Ellis Larkins","The Wonderful Jazz Music of Art Pepper, Chris Connors, John Kirby, Marty Paich and Other Hits, Vol. 2 (155 Songs)",Tx34itvy336g3tuvhnv65qzvmbm
"In a Mist (feat. Art Farmer, Bob Brookmeyer, Al Cohn & Pepper Adams)",Manny Albam,Manny Albam and His Jazz Greats: Jazz New York (Bonus Track Version),Ti53glgzvu7srghmzflipkibirm
Moanin',Art Pepper,Bebop Café,Tdyqqs3fklcaitfjrpwo3sy73u4
Moonlight Serenade,Glenn Miller,"Lindas Melodías, Vol. 12",T2zkvq7mczo2jses22vworkvjum
Night and Day (Remastered),Art Pepper,The Continental,T2mtyowayz3zale7ykca6grzpty
On the Sunny Side of the Street (Live),Coleman Hawkins,Coleman Hawkins: 1929-1934 (Live),Tdclso3i6ksjyhdxu2rwbemfptq
Penthouse Serenade,Nat King Cole,The Complete Capitol Recordings Of The Nat King Cole Trio,T3hruvizovouwdhbtmhi6sswehe
Poinciana,Luiz Bonfá,100 Grandes Sucessos,T3js3mbhhxrdzeil5f6ffv7mkm4
Ruby My Dear,Thelonious Monk & John Coltrane,Live At The Five Spot Café '58,T5gu6geqpbw3l4upzb3pflzas2e
Satin Doll,Duke Ellington,Take the A Train,Tgpbssgwipwpniwygde6tbcv54y
Sophisticated Lady,Duke Ellington,Forever Gold - The Very Best Of,Tyl4wpgegatea5klojg2gb2qf7i
Stardust (Live) (feat. Jason Marsalis),Lionel Hampton Big Band,Live at Rossmoor,T757lmbxsilconf62ka5bfhouii
Stella By Starlight,Chet Baker,Chet Baker - Volume 7,Tzjlrorocs5oz5suvkqe55t4fvm
Sugar Blues,"Barney Kessel, Art Pepper & Shelly Manne",Some Like It Hot,T7rngtmc5cmv3mipsdalbahd3xa
Summertime,Art Pepper,The Essential Collection,Tgugyah2nccjimgmddbkhp7gi4u
Chili Pepper (Take 5),Art Pepper,Discoveries,Texstxhamuqgytaaovblplu6abm
"Take The ""A"" Train","Maynard Ferguson, Art Pepper, Bud Shank, Jimmy Giuffre & Shorty Rogers",100 Jazz Classics,Tziz6in5jyc3imirzfsl5kmjyey
Tea for Two,Mary Lou Williams,The Chronological Mary Lou Williams (1927-1940) (HD Remastered),Thoilemyhoo2jx2h4j4dqapmhhi
Tenderly,Chet Baker & Art Pepper,Complete Recordings,Tc5xkhg4z6hxnpikkkqu6sxjlou
The Girl from Ipanema,King Curtis,Latin Hits,Tm3kurhz27xwmyjpnrktufib5yy
There Will Never Be Another You,Tal Farlow,"The Wonderful Jazz Music of Art Pepper, Chris Connors, John Kirby, Marty Paich and Other Hits, Vol. 2 (155 Songs)",Tzgnlfgdsapqxy7ygfeg5hlipam
These Foolish Things (Remind Me of You),Art Pepper,All The Things You Are: A Jazz Bop Compendium,Tzgwvswgq2ro2fu6jf3nbevs4m4
They Can't Take That Away from Me,Hal McKusick,Confirmation,T3fsgqr3op2tdposdow7zdspala
Three Little Words,Fred Astaire,"The Golden Age of Hollywood Musicals -, Vol. 9",Ttv4kqoyszrteopmjji56xs5f5q
Watermelon Man (Remastered),Herbie Hancock,Watermelon Man (Remastered),Taiuj6swfes4ez5s7lpfqq5xot4
Waves,The Vamps,Missing You - EP,Tiyzmjnqqgbt2bxe2rswrshn4we
Blues In,Art Pepper,West Coast Cool Jazz,Trxlodwhwcvkqhgvtrlqqzk5ra4
What Is This Thing Called Love,Art Pepper,Complete Tv Studio Recordings,T4v75526nea7g7elvpzwwhkp7da
You're Driving Me Crazy,Art Pepper,"Art Pepper: Jazz Explosion, Vol. 2",T5d5morglldovmxjzkd226i23iu
Blue Skies,Ben Webster,Round Midnight (Original Recordings),T3lrer3pa5ykv2vswivaxuzrhly
A Foggy Day,"Billie Holiday, Harry Edison, Ben Webster, Jimmy Rowles","The Best Music Collection of Art Blakey, Charles Mingus, Kid Ory and Other Famous Artists, Vol. 10 (150 Songs)",T3k2ylsbawdrx4wtr3xrhwcrqxe
Bounce Blues,Ben Webster,All the Best,Thkpruh75xwv3ccgsqb2k4ssg6a
All of Me,Ben Webster,Ben/Buck,Tv5adj7nrtvt5awdwqrrwkoocbi
All The Things You Are,Ben Webster,Dig Ben,Tbsxjakeryfs6voctqgnqvz3fni
Almost Like Being in Love,Ben Webster,The Very Best Jazz Playlist,Tw7nm7gtvnbiuo5cwwslya4dk5a
Autumn Leaves,Ben Webster,Dig Ben,Tfqwg6yz5aywigz65m74z3lcrya
Begin the Beguine,Artie Shaw,The Masters of Jazz: 33 Best of Artie Shaw & Ben Webster,T234lhuc5sfhhhu6gge3foalshm
Body and Soul,Ben Webster,Ben and the Boys,Toqxevntidiv7w3zk5xbrvnr2vy
But Not For Me (Take 4),Ben Webster,Meets Bill Coleman,Tif6af7q4tpaf5q6r5aqudnii6e
Bye Bye Blackbird,Ben Webster,Live,T7jl5v6nwy7wbuejuq4rz6hfusa
C Jam Blues,Ben Webster,"Masters Of Jazz, Vol. 4",Txyehvzs55awvdksuv4d6i3iuqu
Caravan,Ben Webster,Valentines Day 1964 Live!,Tj7ttwbwj63xmdmfcp7lcznft5q
Cheek to Cheek,"Billie Holiday, Harry Edison, Ben Webster, Jimmy Rowles","The Best Music Collection of Art Blakey, Charles Mingus, Kid Ory and Other Famous Artists, Vol. 10 (150 Songs)",Tzrrlwxy7xd335efeznxkg63bhu
"Cherokee (Incomplete) [feat. Ben Webster, Dizzy Gillespie & Roy Eldridge] [Bonus Track]",Lester Young,"J.A.T.P. Live at Carnegie Hall 1955 (feat. Ben Webster, Dizzy Gillespie & Roy Eldridge) [Bonus Track Version]",Tnl4fi5oiokmcztx3edeueu32cq
Desafinado,Coleman Hawkins,"Ben Webster, Coleman Hawkins & Friends",T55caayrzfsqsqnqael2j4c7rg4
Don't Get Around Much Anymore,Ben Webster,Dig Ben,T7iofd6jg3ctux5wnyd7sufir7q
Easy To Love,Ben Webster,Nostalgic Memories-The Very Best of Ben Webster-Vol. 91,Tktrjeap4klhcamjn4ruze4nzfa
Fly Me to the Moon,Stanislaw Soyka,Romantyczni panowie,Tzxgj75wk7zwvconje4mmy7owtq
Honeysuckle Rose,Ben Webster,A Salute To Ben Webster 1936-1945,Thhaniiilskgfaojzduu3hhouvq
How High The Moon,Ben Webster,Dig Ben,Tygiwmfzecjq6huoqi5tcqk5uay
I Got Rhythm,Ben Webster,Confluence,T4czq6jtltmc7zmcxhoj3vvw4iq
I'm Gonna Sit Right Down and Write Myself a Letter,Ben Webster,"Live at Jazzhus Montmartre, Vol. 2",T3c25jy34edtjkabsvxk7hugv7i
I've Got You Under My Skin,Stan Getz,"The Famous Jazz Masterpieces' of Lionel Hampton, Jimmie Lunceford, Ben Webster and Other Hits, Vol. 5 (140 Songs)",Tj6hr5mfj4yq4n4js7bmal7nqxe
In a Mellow Tone (Live),Ben Webster,Ben's Blues,T6ymfxjivorz2lgvv3czr5h4nla
In a Sentimental Mood,Ben Webster,"Ben Webster, Coleman Hawkins & Friends",Tsxdlduhzahshexprkx6o6362u4
"Just You, Just Me","Flip Phillips, Ben Webster, Illinois Jacquet, Dizzy Gillespie, Roy Eldridge, Johnny Hodges, Oscar Peterson & Lionel Hampton",Best of the Jazz Sessions,Tp5zfhqlzuayanqysh6t2xbhcue
Love for Sale (Concept I),"Art Tatum, Benny Carter, Loule Bellson, Roy Eldrige, Buddy De Franco, Ben Webster","The Complete Pablo Group Masterpieces (Hd Remastered Edition, Doxy Collection)",Tt2pfskb46uqsgwgoo5fu6f4kt4
You're My Thrill,Ben Webster Quartet,"Lullaby Of Birdland, Vol. 2",Tmuiqdhopci6o5nlq4gav7wzcse
Misty,Ben Webster,"Live at Jazzhus Montmartre, Vol. 1",Tbm4dehsxeaxh5zvxylhfafk2lq
Moanin' (3),Mills Blue Rhythm Band,1931 (HD Remastered),Tkiomkdstqixd64ocrfrvxa3yai
Night and Day,Ben Webster,"Grandes Éxitos, Vol. 1",Tc4xxcw7j3bgpe6j543hke5jxza
On The Sunny Side Of The Street,Ben Webster,"The Swing Tenors: Ben Webster, Coleman Hawkings & Lester Young vol.2",T573mf6ktwzazpse2goimc5vvre
Put Your Heart In Song (Remastered),Mildred Bailey,Penthouse Serenade,Tobmwi7kakdkyqdaa6kpobrbdhy
Ruby My Dear,"Thelonious Monk, Gene Ramey, Art Blakey","The Famous Jazz Masterpieces' of Lionel Hampton, Jimmie Lunceford, Ben Webster and Other Hits, Vol. 5 (140 Songs)",Tqgu5guau7xwvakfenqikbpjm6i
Satin Doll (Original Mix),Ben Webster,Coal Train,Tjglss5syijcv2okwpbxoptlohq
Sophisticated Lady,Ben Webster,Dig Ben,Tzg2o2pbg6rdg4mluxxhf3h2vhu
Star Dust,"Ben Webster, Johnny Otis Orchestra",111 Swing Classic Masterpieces (Jazz Masters),Tyyaihhdp7e7qams3qzpn54t6li
Stella by Starlight,Ben Webster,The Jazz Collection,Tezrhviexcnte52z4sslr7pys3u
Tenderly,Ben Webster,BD Music Presents Black No Sugar,Ty74jjdrrh3i7ktn3b3c2tohmzy
Summertime (Bonus Track),Ben Webster|Harry Edison,Complete Quintet Studio Sessions (Bonus Track Version),Tswwrlcku3aruxlg4k5snujg42q
Baby It's Cold Outside (Take 5),Ben Webster,Dig Ben,T4w35ny7hcejunqhdbmq5p7efe4
Take the a Train,Ben Webster,Ben Webster: Only the Best (Remastered),Teai6xoq6ejrannkt5afpno5pmy
Tea For Two,Ben Webster,Stompin' At The Savoy Vol 2,Ttzj35rvdimaoepy3ppp7c2f2rm
Tenderly,Ben Webster,Dig Ben,Twfutsco26p4w66v5brnfo6iala
