All of Me,Louis Armstrong,125 Ella e Louis Classics (The Beautiful Songs Remastering 2014),Tae5d4lkeqqhe2xhkcuv4pfze6i
All the Things You Are (feat. Billy Kyle),"Louis Armstrong,",Satchmo Live in Melbourne Australia 1954 & 1956 (Original Recordings),Tw6c5o5fkfeq54vvpgv762iwphy
Alone Together (Remastered),Ella Fitzgerald,Ella Fitzgerald Greatest Hits (feat. Louis Armstrong) [All Tracks Remastered],T3soqosn6jmn6z43y4px7mr63ei
Autumn Leaves,Louis Armstrong,"A Life in Music, Vol. 10",Tyvzmwpi2imn2yqqn3ofhcgcf6m
Billie's Bounce,Louis Armstrong,"Louis Armstrong Jazz Collection, Vol. 3 (Remastered)",Tpsuwufqc4zye2pxmygjlbx26za
Black Orpheus,Christoph Spendel,"The Piano Side of Brazil, Vol.1",Tiuf33rpxkkfwhaj5g65zl2ujdm
Blue Bossa,"Joe Henderson, Al Foster, Rufus Reid",The Standard Joe,Tcpxyodfzaaleush2wcb7jlqjuy
Body And Soul,Louis Armstrong,Louis Armstrong & Friends,Txf5q3zjddp2somggzgyr6x4otq
All of Me,Louis Armstrong,"20 No.1 Hits: Nostalgia, Vol. 1",Tzdl73jxzhjdzttjgmx4lzrbugu
Perdido Street Blues,Louis Armstrong,BD Music Presents Bye Bye Blackbird,Tn66ca5q2r5mwphy3nm3tos4aly
"Cherokee (feat. Benny Goodmans Orchestra, Benny Goodmans Sextet & Louis Armstrong)",Benny Goodman,Camel Caravan Shows 10/39,Ttabpzp6gk2sijz3ntbowx2rrfm
Confirmation (feat. Stan Getz),Miles Davis,The Birdland Sessions,Td5zejq5fqjfe2tgk6fsgfpevcq
Days of Wine and Roses,Lambert,Havin' a Ball at the Village Gate (HD Remastered),Tvfuofbc5dikvjwoxj5oi3uzcki
"Hello, Dolly!",Louis Armstrong,100 Years of Cinema (Doxy Collection),Tdscqvgt6xf5bpbtajjbjpn5bfq
Fly Me To The Moon,Louis Armstrong,St. Louis Blues,Tg6tq27cten5buaijhwwib5ae2a
Do You Know What It Means,Louis Armstrong,HIP JAZZ BOP -Footprints In The Sand: Jazz Essentials By Jazz Greats,T3ay35zihqboiqud363ri3grlya
Love Walked In,Louis Armstrong,Louis Armstrong Volume Four,Tkokrra5csrphuv6vz7ehf7oqky
Have You Met Miss Jones,Louis Armstrong,Sensational Satchmo,Tlw32uxyyohynwcfier7u4yhep4
How High the Moon,Louis Armstrong,"In Concert, 1947",T5i4mm5cbbz5uauuezd44odahxu
I Hear a Rhapsody,Frank Sinatra,The Columbia Years (1943-1952): The Complete Recordings: Volume 12,To75h5nt6ekibu7xdmm6vgfnqwe
I'm Confessin' (That I Love You),Louis Armstrong,1944-1946,Ttlb72zmlbw2t5hmd65utfltdfi
I Can't Give You Anything But Love,Louis Armstrong,I Remember.......Louie,Tdf26sgig4ahorjt6t6d4xnvxdq
I'll Remember April,"Miles Davis, Dave Schildkraut, Horace Silver","The Best Jazz Hits of Miles Davis, Louis Armstrong, Bix Beiderbecke and Other Hits, Vol. 5 (145 Songs)",Tww7eplyqvgqgvzk7ewjabbf3cm
I'm in the Mood for Love,Louis Armstrong and His Orchestra,That Old Time Music Vol. 6,Tthi3j3ihiq37lrc32yws555sta
If I Should Lose You,Julie London,Sophisticated Lady (HD Remastered),T6fiyez6pn3mfiwnf4axrbrshk4
If I Were a Bell,Tina Turner,Little Anna 'The Young Tina Turner',Tvsonwl6es7g5pa2wwfnxad4ixq
In a Mellowtone,Louis Armstrong,Recording Together for the First Time,Touris3dugr6noyfmitnrfwt3wm
In a Sentimental Mood,Duke Ellington,"The Best Jazz Hits of Miles Davis, Louis Armstrong, Bix Beiderbecke and Other Hits, Vol. 5 (145 Songs)",Tubhxcx4tp5weugf2nscdwrp52q
It Could Happen To You,June Christy,Something Cool (HD Remastered),Ta2n4raoluxxhr65okzfobn4see
Just A Gigolo,Louis Armstrong,Louis Armstrong & Friends,T7tck6iiujf4mlqtgkwb347mnme
Misty,Louis Armstrong,The Armstrong Collection Vol. 2,Ti5bkwl6snpvopzycn2h53uw4ii
My Funny Valentine (Live),Ella Fitzgerald,Happy Valentine's Day,T54h5etijxc3mtd6kstzwkoibui
Night And Day,Ella Fitzgerald,Ella Fitzgerald,Tipn3l4i3r63mjlgzs3i76bvpna
Oleo,Cactus,Evil - Best Of,Tjjodf2vfmqrv7c2nermen47b24
