Moanin' Low (feat. Teddy Wilson),Billie Holiday,"The Best Music Collection of Billie Holiday,miles Davis,duke Ellington and Other Famous Artists, Vol. 1 (130 Songs)",Tcxi4xa2qhpukpymxjj3xur7kx4
Moonlight Serenade,Glenn Miller,"Greatest Classics: Duke Ellington, Glenn Miller, Tommy Dorsey",Tt2t73g65slln5jy3shg6p7w5tu
Night and Day,Duke Ellington,The Great Duke,Tqu74tpexehiwwcjydwotqbhyo4
"On The Sunny Side Of The Street (Live At The Blue Note Club, Chicago, U.S.A./1959; 1994 Remaster)",Duke Ellington,The Duke Ellington Collection,T47nteze7ht5vvm5ysbae7theuu
Mood Indigo (Remastered),Frank Sinatra,Penthouse Serenade,T5rgms5vkoy5ynpeuqbdlacy3ee
Poinciana,Duke Ellington Orchestra,The Treasury Shows Vol. 18,T4p6n6r27vhy5ysyj5r56qflzea
Satin Doll,Duke Ellington,The Duke Ellington Collection,Tqbu4ofks4vmwmttkhmwft7vjay
Sophisticated Lady,Duke Ellington,The Intimate Ellington,Thgs2aooekhhvb4jv32wqwyax5a
Stardust,Duke Ellington & His Famous Orchestra,The Duke Ellington Collection,T2yy2eydqg4blbprwis6phydkyq
Stella By Starlight,Duke Ellington,Duke Ellington Best Of Vol 3,Tllx6tadmabrmb6ma4zt34m6nbe
Sugar Hill Shim Sham,Duke Ellington,"Duke´s Anthology, Vol.7 (Rare Recordings)",T6dnvs2xnlkyip5ypt3jtoujjsq
Summertime (Remastered),Duke Ellington,Laura (Remastered),Thy4vcyii2yku52saag4wj5ctcm
"Take the ""A"" Train",Duke Ellington & His Famous Orchestra,Ken Burns Jazz-Duke Ellington,Tqzhdzb6eogi3wm4cmolw67phu4
Tea for Two (Live),Duke Ellington,Ellington at Newport 1956 (Complete),Tm46wrje3iwzexu5lkkdykmj42y
Tenderly,Duke Ellington,The Great Duke,Tojeoydtihxj5eqp6m4fu4tk2sa
Day Dream,The Fabulous Jazz Trio,Girl from Ipanema,Turmk52uz4csj3d4de7eg3l2vyi
There Will Never Be Another You,Duke Ellington,25th Anniversary Concert,Tstme2qhelffv2lycptjrxehe7e
Just A-Sittin' And A-Rockin',Duke Ellington,"These Foolish Things, Jazz of 1953",Tbheumzxn2pjddcr2d3nf5pg65i
They Can't Take That Away from Me,Dizzy Gillespie Sextet,"The Best Music Collection of The Modern Jazz Quarte, Duke Ellington, Gerry Mulligan and Other Famous Artists, Vol. 9 (160 Songs)",Tpiex2pkw5ybnjesft4vgac6rei
Three Little Words,Duke Ellington,"Duke´s Anthology, Vol.8 (Rare Recordings)",Txl4famubdzv7tntee6wrlwlmly
Watermelon Man,Duke Ellington,Love in Swingtime,Tc677z7hlq7jsrebmpa6cefkkju
Wave,The Duke Ellington Orchestra,100 Jazz,Tkgkaicbjnwx4udm3js2cycarum
Good Woman Blues,Duke Ellington,West Coast Swing,Trh3bcbbzabozhdluszbcxwbi2u
"What Is This Thing Called Love (From ""Wake up and Dream"")",Ella Fitzgerald,Vintage Vinyl Collection - Ella Fitzgerald and Duke Ellington,Tkv7zr7flk7rys4bqxgmowbxjie
