'Round Midnight,Art Blakey
A Child is Born,Art Blakey
A Foggy Day,Art Blakey
A Song For My Father,Art Blakey
All Blues,Art Blakey
All Of Me,Art Blakey
All The Things You Are,Art Blakey
Almost Like Being In Love,Art Blakey
Autumn Leaves,Art Blakey
Begin the Beguine,Art Blakey
Black Orpheus (Manhã de Carnaval),Art Blakey
Bluesette,Art Blakey
Body And Soul,Art Blakey
But Not For Me,Art Blakey
Bye Bye Blackbird,Art Blakey
C Jam Blues,Art Blakey
Cantaloupe Island,Art Blakey
Caravan,Art Blakey
Cheek to cheek,Art Blakey
Cherokee,Art Blakey
Corner Pocket,Art Blakey
Dear Old Stockholm,Art Blakey
Desafinado,Art Blakey
Don't Get Around Much Anymore,Art Blakey
Easy To Love,Art Blakey
Everytime We Say Goodbye,Art Blakey
Fly Me To The Moon,Art Blakey
Garota de Ipanema,Art Blakey
Honeysuckle Rose,Art Blakey
How High The Moon,Art Blakey
I Got Rhythm,Art Blakey
I Remember Clifford,Art Blakey
I'm Gonna Sit Right Down and Write Myself a Letter,Art Blakey
I've Got You Under my Skin,Art Blakey
In A Mellow Tone,Art Blakey
In A Sentimental Mood,Art Blakey
Just You Just me,Art Blakey
Love for Sale,Art Blakey
Lullaby Of Birdland,Art Blakey
Misty,Art Blakey
Moanin',Art Blakey
Moonlight Serenade,Art Blakey
Night and Day,Art Blakey
On The Sunny Side Of The Street,Art Blakey
Penthouse Serenade,Art Blakey
Poinciana,Art Blakey
Round Midnight,Art Blakey
Ruby My Dear,Art Blakey
Samba De Orpheu,Art Blakey
Satin Doll,Art Blakey
Song For My Father,Art Blakey
Sophisticated Lady,Art Blakey
Stardust,Art Blakey
Stella By Starlight,Art Blakey
Sugar,Art Blakey
Summertime,Art Blakey
Take Five,Art Blakey
Take The A Train,Art Blakey
Tea For Two,Art Blakey
Tenderly,Art Blakey
The Girl From Ipanema,Art Blakey
There Will Never Be Another You,Art Blakey
These Foolish Things,Art Blakey
They Can't Take That Away from Me,Art Blakey
Three Little Words,Art Blakey
Watermelon Man,Art Blakey
Wave,Art Blakey
West Coast Blues,Art Blakey
What Is This Thing Called Love,Art Blakey
You’re Driving Me Crazy,Art Blakey
'Round Midnight,Art Pepper 
A Child is Born,Art Pepper 
A Foggy Day,Art Pepper 
A Song For My Father,Art Pepper 
All Blues,Art Pepper 
All Of Me,Art Pepper 
All The Things You Are,Art Pepper 
Almost Like Being In Love,Art Pepper 
Autumn Leaves,Art Pepper 
Begin the Beguine,Art Pepper 
Black Orpheus (Manhã de Carnaval),Art Pepper 
Bluesette,Art Pepper 
Body And Soul,Art Pepper 
But Not For Me,Art Pepper 
Bye Bye Blackbird,Art Pepper 
C Jam Blues,Art Pepper 
Cantaloupe Island,Art Pepper 
Caravan,Art Pepper 
Cheek to cheek,Art Pepper 
Cherokee,Art Pepper 
Corner Pocket,Art Pepper 
Dear Old Stockholm,Art Pepper 
Desafinado,Art Pepper 
Don't Get Around Much Anymore,Art Pepper 
Easy To Love,Art Pepper 
Everytime We Say Goodbye,Art Pepper 
Fly Me To The Moon,Art Pepper 
Garota de Ipanema,Art Pepper 
Honeysuckle Rose,Art Pepper 
How High The Moon,Art Pepper 
I Got Rhythm,Art Pepper 
I Remember Clifford,Art Pepper 
I'm Gonna Sit Right Down and Write Myself a Letter,Art Pepper 
I've Got You Under my Skin,Art Pepper 
In A Mellow Tone,Art Pepper 
In A Sentimental Mood,Art Pepper 
Just You Just me,Art Pepper 
Love for Sale,Art Pepper 
Lullaby Of Birdland,Art Pepper 
Misty,Art Pepper 
Moanin',Art Pepper 
Moonlight Serenade,Art Pepper 
Night and Day,Art Pepper 
On The Sunny Side Of The Street,Art Pepper 
Penthouse Serenade,Art Pepper 
Poinciana,Art Pepper 
Round Midnight,Art Pepper 
Ruby My Dear,Art Pepper 
Samba De Orpheu,Art Pepper 
Satin Doll,Art Pepper 
Song For My Father,Art Pepper 
Sophisticated Lady,Art Pepper 
Stardust,Art Pepper 
Stella By Starlight,Art Pepper 
Sugar,Art Pepper 
Summertime,Art Pepper 
Take Five,Art Pepper 
Take The A Train,Art Pepper 
Tea For Two,Art Pepper 
Tenderly,Art Pepper 
The Girl From Ipanema,Art Pepper 
There Will Never Be Another You,Art Pepper 
These Foolish Things,Art Pepper 
They Can't Take That Away from Me,Art Pepper 
Three Little Words,Art Pepper 
Watermelon Man,Art Pepper 
Wave,Art Pepper 
West Coast Blues,Art Pepper 
What Is This Thing Called Love,Art Pepper 
You’re Driving Me Crazy,Art Pepper 
'Round Midnight,Art Tatum
A Child is Born,Art Tatum
A Foggy Day,Art Tatum
A Song For My Father,Art Tatum
All Blues,Art Tatum
All Of Me,Art Tatum
All The Things You Are,Art Tatum
Almost Like Being In Love,Art Tatum
Autumn Leaves,Art Tatum
Begin the Beguine,Art Tatum
Black Orpheus (Manhã de Carnaval),Art Tatum
Bluesette,Art Tatum
Body And Soul,Art Tatum
But Not For Me,Art Tatum
Bye Bye Blackbird,Art Tatum
C Jam Blues,Art Tatum
Cantaloupe Island,Art Tatum
Caravan,Art Tatum
Cheek to cheek,Art Tatum
Cherokee,Art Tatum
Corner Pocket,Art Tatum
Dear Old Stockholm,Art Tatum
Desafinado,Art Tatum
Don't Get Around Much Anymore,Art Tatum
Easy To Love,Art Tatum
Everytime We Say Goodbye,Art Tatum
Fly Me To The Moon,Art Tatum
Garota de Ipanema,Art Tatum
Honeysuckle Rose,Art Tatum
How High The Moon,Art Tatum
I Got Rhythm,Art Tatum
I Remember Clifford,Art Tatum
I'm Gonna Sit Right Down and Write Myself a Letter,Art Tatum
I've Got You Under my Skin,Art Tatum
In A Mellow Tone,Art Tatum
In A Sentimental Mood,Art Tatum
Just You Just me,Art Tatum
Love for Sale,Art Tatum
Lullaby Of Birdland,Art Tatum
Misty,Art Tatum
Moanin',Art Tatum
Moonlight Serenade,Art Tatum
Night and Day,Art Tatum
On The Sunny Side Of The Street,Art Tatum
Penthouse Serenade,Art Tatum
Poinciana,Art Tatum
Round Midnight,Art Tatum
Ruby My Dear,Art Tatum
Samba De Orpheu,Art Tatum
Satin Doll,Art Tatum
Song For My Father,Art Tatum
Sophisticated Lady,Art Tatum
Stardust,Art Tatum
Stella By Starlight,Art Tatum
Sugar,Art Tatum
Summertime,Art Tatum
Take Five,Art Tatum
Take The A Train,Art Tatum
Tea For Two,Art Tatum
Tenderly,Art Tatum
The Girl From Ipanema,Art Tatum
There Will Never Be Another You,Art Tatum
These Foolish Things,Art Tatum
They Can't Take That Away from Me,Art Tatum
Three Little Words,Art Tatum
Watermelon Man,Art Tatum
Wave,Art Tatum
West Coast Blues,Art Tatum
What Is This Thing Called Love,Art Tatum
You’re Driving Me Crazy,Art Tatum
'Round Midnight,Art Van Damme
A Child is Born,Art Van Damme
A Foggy Day,Art Van Damme
A Song For My Father,Art Van Damme
All Blues,Art Van Damme
All Of Me,Art Van Damme
All The Things You Are,Art Van Damme
Almost Like Being In Love,Art Van Damme
Autumn Leaves,Art Van Damme
Begin the Beguine,Art Van Damme
Black Orpheus (Manhã de Carnaval),Art Van Damme
Bluesette,Art Van Damme
Body And Soul,Art Van Damme
But Not For Me,Art Van Damme
Bye Bye Blackbird,Art Van Damme
C Jam Blues,Art Van Damme
Cantaloupe Island,Art Van Damme
Caravan,Art Van Damme
Cheek to cheek,Art Van Damme
Cherokee,Art Van Damme
Corner Pocket,Art Van Damme
Dear Old Stockholm,Art Van Damme
Desafinado,Art Van Damme
Don't Get Around Much Anymore,Art Van Damme
Easy To Love,Art Van Damme
Everytime We Say Goodbye,Art Van Damme
Fly Me To The Moon,Art Van Damme
Garota de Ipanema,Art Van Damme
Honeysuckle Rose,Art Van Damme
How High The Moon,Art Van Damme
I Got Rhythm,Art Van Damme
