Poinciana,Erroll Garner,1950 (HD Remastered),T2hphd44mxcz7xou4qwstf5asdy
Red Sails In the Sunset,Erroll Garner,Around Midnight,Tcc6tqyye3uk2oa5g3hvfjsnsbm
Relaxin' at Sugar Ray's,Erroll Garner,The Complete Recordings: 1950-1954,Thydymgwxxxed2qbqfukdece4w4
Satin Doll,Erroll Garner,Ready Take One,Tg3ibwmxriiocbhuqc37d664jfu
Sophisticated Lady,Erroll Garner,The sensational erroll garner,Tsu6fet5okxcfmgukvzvcp4gqca
Stardust,Erroll Garner,Stardust,Tqwvwcja4teniyefqaodtuukr7e
Stella By Starlight,Erroll Garner,Ready Take One,Tju7wu7z6zx2lekbk7xufejhtuq
Stompin' At the Savoy,Erroll Garner,Penthouse Serenade,Toxzkypsfi4hmi7fgujultb34yq
Summertime,Erroll Garner,Music & Highlights: The Crooners & Bandsmen,Tjdqrpgwsp5lv4vbgiop6rvsx6q
Take the 'A' train,Erroll Garner,Solo in New York,Twf7hrd3uev2w347doa3bmiho4u
Tea For Two,Erroll Garner,Turin Concert,Tkpy245swurihtzvbf4evu7rp5q
Tenderly,Erroll Garner,Honeysuckle Rose Vol.3,Tjwwdbw27tlsil3gui75faxrlje
Tenderly (mid 1949),Erroll Garner,Complete Jazz Series 1949 Vol. 1,T3hx3ktwp3fjnaesd234lwxiija
The Girl from Ipanema (Garota de Ipanema),Erroll Garner,Masters of Jazz,Tyygbsbsxtdsfq7gr7q55jwe2im
The Girl From Ipanema,Erroll Garner,Turin Concert,T2y5opgadgdfxsq5ati6yr5y7qq
There Will Never Be Another You,Erroll Garner,Turin Concert,Tnu2xs6ydwgprteawl25m574p6u
These Foolish Things,Erroll Garner,Erroll Garner. The Jazz Pianist,Tlapdvyjuq5kvkexhip2f4gaoea
You're Driving Me Crazy,Erroll Garner,Body and Soul,Twcly7swbulxrx5l64kj3uwu4fe
Don't Get Around Much Anymore,Etta James,At Last Etta James and Ray Charles (Remastered),Tw63qbart4cxqx7w472k5l5sraq
Wave,Fabio Concato,Ballando Con Chet Baker,T6tdgkus2dytjxe7y5xg3jc3jtq
Poinciana (feat. The Stan Kenton Orchestra),Four Freshmen,Complete 1950-1954 Studio-Issued Recordings (with the Stan Kenton Orchestra) [Bonus Track Version],Thuticqv2k6nsjup4w34u6vixwi
Misty,Frances Nero,Frances Nero salutes Dinah Washington,Tmetytdcxruhsu4a35h26kse44q
A Foggy Day,Frank Sinatra,Music & Highlights: Frank Sinatra - Best of,Tnsl2tr2hoyyu4xgox5s43mmhxm
A Foggy Day,Frank Sinatra,Songs For Young Lovers,Twa3kt3k4xa47brwyvosza3ihni
All Of Me,Frank Sinatra,Ultimate Sinatra: The Centennial Collection,T5hig4bz5r4ylbe7ncqq2ksxtoe
All The Things You Are,Frank Sinatra,All Of Me,Tfru24weutks43liumy3oaijana
Almost Like Being In Love,Frank Sinatra,Come Swing With Me!,Tfbhx4gcy6ly4npczxnk34xiqem
Almost Like Being in Love,Frank Sinatra,Sinatra's Swingin' Session!!! / Come Swing with Me!,Tfy3dht42yoylizqdpxqkduicuu
April In Paris,Frank Sinatra,Every Time We Say Goodbye,Tnmoy7prfrmfkreqpltzazvxyq4
Autumn Leaves,Frank Sinatra,Frank Sinatra - Autumn Leaves,T56cydlw25icrmqcsa5frndepja
Autumn Leaves,Frank Sinatra,Monte Carlo,Tph2jq22wl4rsdw2da3alu57yli
Begin the Beguine,Frank Sinatra,The Columbia Years (1943-1952): The Complete Recordings: Volume 4,Ty5pmiw4ubo3vil5ouyjjhk52qi
Begin the Beguine,Frank Sinatra,The Rat Pack: Begin The Beguine,Tyzpafvzvz33w35me2x6uh35sdq
Blues Skies,Frank Sinatra,All of Me,Tsucbrc6lvafzlfuwhidrom5sx4
Body and Soul,Frank Sinatra,Frank Sinatra's Sunshine Cake,Tjub3lfq7g4bguakwprdiuxzx74
Body and Soul,Frank Sinatra,That Old Time Music Vol. 17,Tyymmatjxfl77wernmamfrvlhnm
Cheek To Cheek,Frank Sinatra,Cheek to Cheek,T7y76niwegfayex33brx2kkacse
Cheek to Cheek,Frank Sinatra,Nat King Cole vs. Frank Sinatra,Tyyr4bkjgmquqfsylj3n7fnlgzu
