Será Que Eu Vou Virar Bolor?,Arnaldo Baptista,Loki? (1974),Tcluzztdratyh4lynrppc7g72ji
Vou Me Afundar Na Lingerie,Arnaldo Baptista,Loki? (1974),Tbtl7me3w7bcjogzqf5eemxjara
Cê Tá Pensando Que Eu Sou Loki?,Arnaldo Baptista,Loki? (1974),Tn3jgwvqexcctm26ty45hnq3lmy
Tecnicolor,Os Mutantes,Jardim Elétrico,Tyfxramlgaz3yrhhudbxhotwg6u
El Justiceiro,Os Mutantes,Jardim Elétrico,T6zggp6gaymzipph7lre32lyfei
It's Very Nice Pra Xuxu,Os Mutantes,Jardim Elétrico,Tnp25rx5iwbkijrrlyns3snllde
Portugal De Navio,Os Mutantes,Jardim Elétrico,Tvv4truwaz6eyyzvzz7xbrhq2lu
Virgínia,Os Mutantes,Jardim Elétrico,T4tq65k6u6iz55tsbqfwnkk6cii
"Lady, Lady",Os Mutantes,Jardim Elétrico,Ty6vyylrk4x3bytz6haj73pw4ya
Gita,Raul Seixas,A Arte De Raul Seixas,Ti7epwoafy4b6tl5buv3wlw5obq
Ouro De Tolo,Raul Seixas,A Arte De Raul Seixas,Trxijapcpix5urwurawwsvni6uu
Chão de Giz,Zé Ramalho,Antologia Acústica,Tcihg6i4pwcc6uxoerxawz26pqu
Nostradamus,Eduardo Dusek,Olhar Brasileiro,Tsyxlkxzmmuxcjtbaqtvbxc6vju
O Estrangeiro,Caetano Veloso,Estrangeiro,T2hnnrrxasbw55sw54b4e65o6rm
Balada Do Louco,Os Mutantes,"""Mutantes E Seus Cometas No Pais Do Baurets""",Tbzyx7grssypstwz5m2kyr4bhv4
Panis Et Circenses,Os Mutantes,Os Mutantes,T7hitjgtkpxefmw44kgswnwuy3y
Senhor F,Os Mutantes,Os Mutantes,Tyvsvztzpuhbd2nmak4aezerume
Ando Meio Desligado,Os Mutantes,"""A Divina Comédia Ou Ando Meio Desligado""",Taj6fl3qra7jhd5zfplakwsctwe
Não Identificado,Gal Costa,Gal Costa,T4i4ui72ipxqge32tke5mx5smte
Com que roupa?,Gilberto Gil,Quanta,Tjs6gfozokwp2w5riwjrdyaa5ha
Crua,Otto,Certa Manhã Acordei de Sonhos Intranquilos,T2mzqqtrv4plufs63lmyu5c3twa
Construção,Chico Buarque,Construção,Tnvlz6vfgk7ztyec4h5hclw5cfa
Bye Bye Brasil,Chico Buarque,Vida,T72rt5yatp766rjwt53qf26564q
