Bang Bang (My Baby Shot Me Down),Nancy Sinatra,How Does That Grab You?,Tdn4otwyy7dtchbkt4vksd2ei4m
Coconut,Harry Nilsson,Personal Best: The Harry Nilsson Anthology,Tnqpifnmhz4xs2vbqu27p24fqoe
Run Fay Run,Isaac Hayes,Stax Classics,Tbnm6nm6b4arewd4n3kocvv2r34
Django (From “Django Unchained”),Luis Bacalov,Quentin Tarantino Movie Themes,Tf4iqf3v3js2pwbnywycojye3a4
Lo Chiamavano King (His Name Is King),Luis Bacalov,Quentin Tarantino’s Django Unchained Original Motion Picture Soundtrack,Tkf2ckcglyqcmbfdhoimdipgptq
Summertime Killer (Ricatto Alla Malla),Luis Bacalov,Kill Bill Vol. 2 Original Soundtrack,Tkg5hwifiord4z4xhawd7ef44cm
"""Major Warren Meet Daisy Domergue"" (From ""The Hateful Eight"" Soundtrack)",Jennifer Jason Leigh,Quentin Tarantino's The Hateful Eight (Original Motion Picture Soundtrack),Tkcdnndc2xtjp6c47l7oao2r5k4
The Twisted Nerve,Bernard Herrmann,Twisted Nerve / The Bride Wore Black - Original Motion Picture Soundtracks,Tz5ydtruwdity4cijg2onhy25qq
Bustin' Surfboards,The Tornadoes,"Apero Time, Vol. 2 (50 Hits Before Dinner)",Tc44zhlyfqhpx3lt4mdtpa4bnjq
Don't Let Me Be Misunderstood,Santa Esmeralda,Get Down on It & More Dancefloor Classics,Ttyn2ydwpyfjxsgtsiqyzwr46sa
Green Hornet,Al Hirt,"Kill Bill, Vol. 1 (Original Soundtrack)",T5xpo6eb7lo6a4mfgwuwcnrcfyu
Can't Hardly Stand It,Charlie Feathers,"Dixie Fried: Rockabilly Hits, Vol. 6",Td4ix7h3kds5ecmiwebuets7hna
Two Hearts,Chris Isaak,Baja Sessions,T6gpavkzsupkbqscmoitvjrdo7a
Flowers On the Wall,The Statler Brothers,A Little Bit Country,Th4vyw5tgv34xmvlflo7upuyisu
"Now You're All Alone (From ""The Hateful Eight"" Soundtrack)",David Hess,Quentin Tarantino's The Hateful Eight (Original Motion Picture Soundtrack),Trg55nvdvhh4rsygfonxztmyyii
Didn't I Blow Your Mind (This Time),The Delfonics,Have A Nice Day - '70s In A Can,Tr3grkczxchoujofny262ptmmme
Spooky,Peggy Simms,The Best Halloween Party Ever,T2uzf7gvsukjr7qpyzqu5d6vkry
Little Green Bag,George Baker Selection,The Tarantino Connection,Txxvg7cwqdv5ey6itnabbx2cqvy
I Gotcha,JOE TEX,Joe Tex ''serious Soul'',T4ihnggbfcuxz4xl7h46dpxcopm
Outshined (Live From The Artists Den),Soundgarden,Live From The Artists Den,Tr2giembg55hltmakma345et7tq
Jack Rabbit Slims Twist Contest,Jerome Patrick Hoban,Pulp Fiction (Music From The Motion Picture),To7u2nousxo2sbau3puoitmznny
"Overture (From ""The Hateful Eight"" Soundtrack)",Ennio Morricone,Quentin Tarantino's The Hateful Eight (Original Motion Picture Soundtrack),Te5ic4nax6gkbkcwzksku7s3uca
Satisfied Mind,Johnny Cash,Kill Bill Vol. 2 Original Soundtrack,Tbo3yjv6hwbcpjkrkayedqrnsku
Hold Tight!,"Dave Dee, Dozy, Beaky, Mick & Tich","Dave Dee, Dozy, Beaky, Mick & Tich",T6bgb7ityqzost6a46gfhuzflgy
Surf Rider,Lively Ones,The Birth of Surf Vol. 1,T5mkqfggfop36ebdkzzarkexvvm
Mary Had A Little Lamb,Buddy Guy,A Man And The Blues,Tqxmijlmplbly7o7aveyzaefewm
Battle Without Honor Or Humanity (Live From London Roundhouse/2012),Hotei,Arashigaoka,T2rlmwryhrqddoozwbk475q3mbi
She's Just Killing Me,ZZ Top,From Dusk Till Dawn Music From The Motion Picture,Ttcr3dkzzhfbga7gjjs6ygblzki
Miserlou,Dick Dale,Jack White's Jukebox,Tinebidfh6kkl4zknloi7tvc7l4
Let's Stay Together,Al Green,Hi Records: The Soul Years,Tsud5l4sccqe6ozkk5gydz5vupy
Strawberry Letter 23 (Live),Brothers Johnson,A Perfect Ten - 1977,Tifj76h6ewcu5aebb7b4bo3l7ka
The Love You Save (May Be Your Own),JOE TEX,"The Very Best of, Volume 1",T32rpfeu5ns3bj35tdu3gyniksy
The Flower Of Carnage,Meiko Kaji,"Kill Bill, Vol. 1 (Original Soundtrack)",Tbf6hmnibpopoqquflg3pvhnaqa
I Put A Spell On You,Kim Circle,Monster Halloween Hits,Tuzrilysi7fen3nx6za5mj7f3gm
About Her,Malcolm McLaren,Kill Bill Vol. 2 Original Soundtrack,Tqr36vw2t4pyowgee5tkxoqvxya
There Won't Be Many Coming Home (Remastered 2015),Roy Orbison,Roy Orbison: The MGM Years 1965 - 1973 (Remastered),Tbrsb23yhiy56i42qhle4jqz3gy
Ancora qui,Elisa,L'anima vola (Deluxe Edition),Tkjqrftck5bsb76yixqc4my7uii
Lonesome Town (1990 Digital Remaster),Ricky Nelson,The Legendary Masters Series (Volume 1),Th5gncfgfbtlir4ndp3fdw5bpea
The Surrender (La Resa),Ennio Morricone,Classics: Ennio Morricone - Vol. 3,Tbg7ibkqhlnhzgminjhvc7faivm
Goodnight Moon,Shivaree,I Oughtta Give You A Shot In The Head For Making Me Live In This Dump (International Only),Ttg4ikrn6rcyouh64azt3f2oob4
Fever,Ann O'Day,Valentines Jazz Lovesongs,T362tzm4pzvabmad5czve3jxzzm
Cat People (Putting Out Fire),David Bowie,A New Career In A New Town (1977 - 1982),T4zvpxpefwvojhmig7jbi6ranye
Baby It's You (Re Record),Smith,The 70s One Hit Wonder Collection,T52imutg5tgcimd63solhndx6ta
Since I First Met You,The Robins,A Fool in Love,T5dhtlkiyz2fqijnnfu76cby4w4
I Got a Name (Live 1973),Jim Croce,Lost Time in a Bottle,Tacc2dbrngylvrbwk6jo7jp3ove
Out of Limits,The Marketts,Crazy Rich Americans: A Novelty Experience,Tjboni5wcbrjbtkbwjzjlllwrne
"Apple Blossom (From ""The Hateful Eight"" Soundtrack)",The White Stripes,Quentin Tarantino's The Hateful Eight (Original Motion Picture Soundtrack),Ttkw4hncgjv4zlsunhlojjldk4m
Who Is He (And What Is He to You)?,Bill Withers,The Essential Bill Withers,Tfs3uc2xsmptf63dj2ndvm32w6u
Dark Night,The Blasters,Dark Night: Live In Philly,Twcbjydtd2pa4diwpin2sfhf2oq
Winged,James Russo,Quentin Tarantino’s Django Unchained Original Motion Picture Soundtrack,Tiu4iihbr7m3z7hpb772f45qjpu
That Certain Female,Charlie Feathers,Teenage Cruisers,Tqwdydp3yjiioppnrfblnsla6cq
Woo Hoo,The 5.6.7.8's,Bomb the Twist,Tdwmpiicb4lszx6cakbecraky6a
Unchained (The Payback / Untouchable) (Album Version Explicit),James Brown & 2Pac,Quentin Tarantino’s Django Unchained Original Motion Picture Soundtrack,Tlx72lqvrbsxxkjzvib6iqrvrx4
Stuck in the Middle with You (Re-Recorded),Stealers Wheel,70's Mixtape Vol. 3 & 4 - Music Inspired by Guardians of the Galaxy,Tni6vaf7e3746xb52jaslnsajby
Tu Mira (Edit),Lole Y Manuel,Kill Bill Vol. 2 Original Soundtrack,T6iuncxotk7l5dwdpnonqtby63a
Natural High (Single Version),Bloodstone,The Essentials: Bloodstone,Tvzzfvgqhyqsfb4hd53otlhz2d4
Too Old to Die Young,Brother Dege,Folk Songs of the American Longhair,Tsnmsotcypn7eym473xkhwzf4ve
Across 110th Street,Bobby Womack,The Best Of Bobby Womack: The Soul Years,Tcrbjszokuy43cerebxjhjui7cu
