I Shot The Sheriff,Eric Clapton,461 Ocean Boulevard (Remastered),Tm5xiqrgywqs6y365xnshu6fdum
Roxanne,The Police,The Very Best Of Sting And The Police,T22dzahmpcy5lf73oamjw24d45q
Love Never Felt so Good,Michael Jackson,XSCAPE (Deluxe Edition),Trfbrxhb7mxz62uylgixxibupki
Tom Sawyer,Rush,Moving Pictures,Ttyyqkjx6mldxs6a4mnekviozua
Nothin' But A Woman,Robert Cray,Strong Persuader,Tmh4eh3xa3rt2pcfp6hkru5gl6m
10:15 Saturday Night,The Cure,Three Imaginary Boys (CD1),Tkgxcael5bst6lhsjcqafxnkdzi
Killing An Arab,The Cure,Staring at the Sea: The Singles,Tthaplkfmlf7numznklg5ciivxm
This Charming Man,The Smiths,The Smiths,Tj63nfo5hxp3q4iu764ej6tsqma
Going To California,Led Zeppelin,Led Zeppelin IV (Deluxe Edition),Tpn6rtlpphtidonzgvt3cg4nk3a
Gita (Ao Vivo),Raul Seixas,Eu Não Sou Hippie (Ao Vivo),T3jevxq7jlim3kakkd3zvrv3eje
Ceremony (2015 Remastered Version),New Order,Singles (Remastered),Tuz3lx7ge3rir4dsxvs6ylb3q2q
Little Wing,Stevie Ray Vaughan,The Essential Stevie Ray Vaughan And Double Trouble,T7fn3bmhyc6xlhelgwrlwjwjlmq
Chorei mas achei,Edu Negrão,Vem ver,Tljjtrfw43gxhjxc7abcnrcmjem
