Like a Rolling Stone,Bob Dylan,Rock Clássico,Tk3vst54h5bix4czqsz7zdq3gza
(I Can't Get No) Satisfaction (Mono Version),The Rolling Stones,Singles Collection (The London Years),Toqopb6vtpcjiaphm2fqvwnry4y
Imagine,John Lennon,Volviendo a los 70's Vol. 2,Tk25m4cxysvmvflq2ftafw527um
What's Going On,Marvin Gaye,What's Going On,T5r2nbypngwjiiix55ue52qolqy
Respect,Aretha Franklin,Girls Run The World,Tqqgzc5hmx6xwr2elr4dg2dr52q
Good Vibrations,Beach Boys,The Beach Boys Selección de Éxitos Vol.2,Tsdoxsqm3tgb3tarum3z3nu43mu
Johnny B.Goode,Chuck Berry,School Days,Tcw2nz5bvrkoqlnrk2yz5w6liue
Hey Jude,The Beatles,Hey Jude,Tpiz4et5mascssgh5oklmooo7oa
Smells Like Teen Spirit,Nirvana,Nirvana,T4ggpk75jem2gc6wnqd3ogjpley
What'd I Say,Ray Charles,Monsters of Blues,Ttnyfi4nnpgtxvxqtni4vvzcvgq
My Generation,The Who,"Meaty, Beaty, Big And Bouncy",Tob2vw7jrss32slbvzfpbu76cze
A Change Is Gonna Come,Sam Cooke,30 Greatest Hits: Portrait of a Legend 1951-1964,T5e4zgh4vqej6qutriahihfrq54
Yesterday,The Beatles,Only #s One / 29,Tjmowcsezua3k2zsuecd5sluxru
Blowin' in the Wind,Bob Dylan,Bob Dylan's Greatest Hits,Tav5psuigtjufraqqq3fgxww4ma
London Calling,The Clash,The Essential Rock Sampler,Tcagz6inuczpn6v4gq5n42mnjzu
I Want to Hold Your Hand,The Beatles,"Wonder Years, Wonder Music, Vol. 13",Tqxolkb6g524eay4pygmqhllifq
Purple Haze,Jimi Hendrix,Voodoo Child (The Jimi Hendrix Collection),Tm5jophunitvalop6klqwzwenxq
Maybellene,Chuck Berry,School Days,T4ubcxnsf4vmgxzw6tgvo7dogm4
Hound Dog,Elvis Presley,Flaming Star,Tntjozxsessixv53uvxrrwaorkq
Let It Be (Remastered 2015),The Beatles,1 (Remastered),Tzcieccz53l65ong22blxtjzn64
Born to Run,Bruce Springsteen,Born To Run,Tnlwgpr4rl62zblmhhowiep653a
Be My Baby,The Ronettes,"Rock and Roll Stars, Vol. 6",Tgxvqw6lwff7zjkebappzlhrsky
In My Life,The Beatles,"Wonder Years, Wonder Music, Vol. 36",T7dduqkjexsxt3m6mrgg7jqsqka
People Get Ready,The Impressions,People Get Ready,T6hhgo67vpvhtg5qkp6qccsxlsq
God Only Knows,The Beach Boys,"Rock and Roll Stars, Vol. 6",Tp2u6cf2cgazxncgsb4p6lb4zla
A Day in the Life,The Beatles,"Wonder Years, Wonder Music, Vol. 80",Tihjt5ld275bcdxogvtti6ohxka
Layla,Derek and the Dominos,Top 40 Rock,Tbkjc7y7qojgvdk46xipyw5wsn4
(Sittin' On) The Dock of the Bay,Otis Redding,100 Soul,T7ottxulubqanmmqnwjekijgvdi
Help!,The Beatles,Love,Tz63o7nco3ormje7zvm6xxmwzs4
Stairway To Heaven,Led Zeppelin,"We're Gonna Groove (Pacific Coliseum, Vancouver, BC, March 21st, 1970; Maple Leaf Gardens, Toronto, ON, September 4th, 1971) [Hd Remastered Edition]",Tywpyjhkn2snfsdsilwv427enci
Sympathy For The Devil,The Rolling Stones,Hot Rocks 1964-1971,Ta4zoj24cie3kbv4ewckpoliupy
River Deep Mountain High,Ike and Tina Turner,Want To Take You Higher: The Very Best of Ike and Tina Turner,Tdx4djppnrqkeleupudqhkwbkdq
You've Lost That Lovin Feelin,Righteous brothers,You've Lost That Lovin Feelin,Tv2rznqt6kijd5ybdfzwzexytf4
Light My Fire,The Doors,Light My Fire,T63p3pzcklvu4secffpjpyhxwkm
One,U2,Achtung Baby,T3pffna3vcml2loczcvriofjbwy
"No Woman, No Cry",Bob Marley and The Wailers,"The Boarding House, San Francisco, 1975 (Hd Remastered Edition)",Trkuxqqtdkqwqqkxibqju5wkraa
Gimme Shelter,The Rolling Stones,Hot Rocks 1964-1971,T2boois2wsgc6qizldzopvrprc4
That'll Be The Day,Buddy Holly,The Best Of Buddy Holly (HD Remastered),Twzb35t3djljdt3xomvtzh4e7nq
Dancing In The Street,Martha Reeves,Dance Party,Tr32beikquauxpz2xldnwg4pwhe
The Weight,The Band,Let It Rock,Thbznqmu3lwtllu7oqxmpvzsmwy
Waterloo Sunset,The Kinks,You Really Got Me: The Best Of The Kinks - The Kinks,Tauhs5lcn2et5xtn4jmu7nxg4v4
Tutti Frutti,Little Richard,"Rock and Roll Stars, Vol. 16",Tedpujjybo6lmbkfyw6dohgrst4
Georgia on My Mind,Ray Charles,111 Swing Classic Masterpieces (Jazz Masters),Tisoa5ha63haywrbc5alehutgg4
Heartbreak Hotel,Elvis Presley,Flaming Star,T5drz46tnbvobzgtdbakphsd7eq
"""Heroes"" (2017 Remastered Version)",David Bowie,"""Heroes"" (2017 Remastered Version)",Tktr6u3zyw3qwg4zzz63fymy2py
Bridge over Troubled Water,Simon & Garfunkel,Simon & Garfunkel's Greatest Hits,Tuswl4k7obihdalnromer4dzsr4
All Along The Watchtower,Jimi Hendrix,Music Encyclopedia of Rock,Tjeckmiqbg7h3qub42ddonwvbre
Hotel California,The Eagles,Acoustic The Eagles & James Taylor,Tlpqoraxanycpk6vyw3qm7hqste
The Message (Re-Recorded),Grandmaster Flash,80's FM Radio,Trjcclxkq3akxhiunyolgy5akvy
When Doves Cry,Prince,Purple Rain,Tha576rkn5u7unsru2xdtqlvdii
Anarchy In The UK,Sex Pistols,Anarchy,Tuynwpf66evrcggpwp3yxo6btca
When a Man Loves a Woman,Percy Sledge,Happy Mother's Day,Tbb4hyvu2sry7f242yosgg5blb4
Louie Louie,The Kingsmen,Happy Days! - 22 Original Rock 'n' Roll Hits,Tfaoncqpmrfeucdcbuh4hljqbfy
Long Tall Sally,Little Richard,"The Greatest!, Vol. 1 (The 1955-1957 Masters Complete Collection)",T6gcpyrihixfritfkolkdupktmm
A Whiter Shade of Pale,Procol Harum,"All Time Rock, Vol. 3",Tufpjqalhe5inucak36z6huuq3y
Billie Jean,Michael Jackson,Michael Jackson's This Is It,Th3ppx7t2ij5vsk3h2whppvtdfu
Let's Stay Together,Al Green,Let's Stay Together,Tqoqj75a6pg6cfp7bmtwiostl2q
Who Do You Love,Bob Diddley,"Rock and Roll Stars, Vol. 16",Tybtj45har46cqhkxt3fx6k26xi
For What It's Worth,Buffalo Springfield,For What It's Worth: 1967 Rock,Tt2gp2wdzyogchqvjutebglvkpa
She Loves You,The Beatles,"Wonder Years, Wonder Music, Vol. 34",Til3gflghpd2e5w6ustabgyvmru
Sunshine Of Your Love,Cream,The Very Best Of Cream,Ti6h4w6lq34yn3j6eu6zivlj54a
Redemption Song (B Is For Bob Mix),Bob Marley & The Wailers,B Is For Bob,Thbjqlyo7bzaxr7brqbkcgns7fm
Jailhouse Rock,Elvis Presley,Jailhouse,T5jsyrfsz5wqucpmoeiuckkmu4u
Tangled up in Blue,Bob Dylan,"Greatest Hits, Vol.3",Tx2vejh3hdf6jphruqff2zovave
Crying,Roy Orbison,The Big O,Ti34qcoxn66vsr3r5sgdm6aeglq
Walk On By,Dionne Warwick,100 Soul,Thtzofwmmbb6weuz2t5ebpcgvsu
California Girls,Beach Boys,"Beach Boys, Golden Selections",Tuyvc3gcg25qzctir3vbg2lrcsy
Papas Got A Brand New Bag,James Brown,Papa's Got A Brand New Bag,T53qtfu244eddpm3ka2xdg4wumy
Summertime Blues,Eddie Cochran,Eddie Cochran Summertime Blues,Toufdn2xzutv6565aorkomxzbwm
Superstition,Stevie Wonder,At The Close Of A Century,Tv65eqtjk5aw7kxa3zf4tqfk2ey
Whole Lotta Love,Led Zeppelin,"We're Gonna Groove (Pacific Coliseum, Vancouver, BC, March 21st, 1970; Maple Leaf Gardens, Toronto, ON, September 4th, 1971) [Hd Remastered Edition]",T5bubu3xmqayxqszlsyxu7afpgm
Strawberry Fields Forever,The Beatles,Love,Tl3m6kviev2uflmmjnia3youbpa
Mystery Train,Elvis Presley,Mystery Train,Tviuktcnq5lafrgxm7npkju63om
I Got You (I Feel Good),James Brown,I Got The Feelin',Tjsw3kwrzdjcea3nmtwooprsevi
Mr. Tambourine Man,The Byrds,Mr. Tambourine Man,Tx5beummszpobljdw7lgkkem2iq
I Heard It Through The Grapevine,Marvin Gaye,Motown The Musical – 100 Originals,Tgdzuybw5noxn3atk2atzekovza
Blueberry Hill,Fats Domino,30 Fat Hits,Teirxtyqifq7z2jigglrkptukne
