Onde Anda Você,Toquinho,Toquinho & Vinicius Sem Limite,Tr5qttdkip22qe2s36pwcmm276i
Tarde Em Itapoã (feat. Marília Medalha),Toquinho,O Melhor da Parceria,T3funmnooq3mvv5jlr4ruuklkka
Regra Três,Toquinho,O Melhor da Parceria,Tf3bomdecgwi62kpghujh6gkrky
A Tonga da Mironga do Kabuletê (feat. Monsueto Menezes),Toquinho,O Melhor da Parceria,Tqbtklc6oziww3bpzhlvf3venea
Chega de Saudade,Toquinho,O Melhor da Parceria,T7azamuq6eenyceii36qaxqkt5q
Samba da Rosa (feat. Marília Medalha),Toquinho,O Melhor da Parceria,Tdpsugwbs4bzyjy7zswlihx7jn4
Canto de Ossanha,Toquinho,O Melhor da Parceria,Tkltvzcyimdufih2wr7b2i72wmq
Para Viver um Grande Amor,Toquinho,O Melhor da Parceria,Tirea3jejatrjj2uejjjnbwbzye
Sei Lá (A Vida Tem Sempre Razão),Toquinho,O Melhor da Parceria,Tuougijd2g6h5fxzmev7sm2vvte
Pot-Pourri: Berimbau/ Consolação,Toquinho,O Melhor da Parceria,Tw5t6ap2zeqk4zlms5k3y4uiyyy
Tomara (feat. Marília Medalha),Toquinho,O Melhor da Parceria,Thzxk2x5ithl6hl62eewcwdubx4
Testamento,Toquinho,O Melhor da Parceria,Tyw27fwup3vmk5ebyxfobvnsiiy
Essa Menina,Toquinho,O Melhor da Parceria,Tye6iibgknn6cgw4lbdff2rmiuq
Garota de Ipanema,Toquinho,O Melhor da Parceria,T36hsjpgpq3ph5zqk23u7x4dx7u
Samba de Gesse (feat. Marília Medalha),Toquinho,O Melhor da Parceria,Teicehw7yyygiqakrpzgyjlsipi
Cotidiano Nº 2,Toquinho,O Melhor da Parceria,Tdqxe3uu3njfs4rs23oqubwsr34
Apelo,Toquinho,O Melhor da Parceria,Tio5lg247fzixtuqojrgvsjk2hu
Insensatez,Toquinho,O Melhor da Parceria,Tgisyye6kmllksjqpmj4ngaetii
Como Dizia o Poeta (feat. Marília Medalha),Toquinho,O Melhor da Parceria,Tbkf2kwoxm4x3pscg2iposdhdwe
Mais um Adeus (feat. Marília Medalha),Toquinho,O Melhor da Parceria,Tacvywaapmboerz6tjhxsyoj5dy
Morena Flor,Toquinho,O Melhor da Parceria,Tww6vnyegdp47i6khex4yhiqkpi
Tristeza,Toquinho,O Melhor da Parceria,Tesmty4i5txv6c465ymexv2k7ba
Eu Sei Que Vou Te Amar,Toquinho,"Obrigado, Vinicius",Tt5e6yynlfk6ofzduye6xqerrh4
Cotidiano No. 2,Toquinho,Toquinho & Vinicius Sem Limite,T3itq6xujsk443no3ov5uiitjzi
Escravo Da Alegria,Toquinho,Toquinho & Vinicius Sem Limite,Tndgdyultzqptzqhxs3xaepin3u
Ao Que Vai Chegar,Toquinho,Toquinho & Vinicius Sem Limite,Tv4wkuu2np4n6vh2eqd7abxierq
Samba Da Volta,Vinicius de Moraes,Toquinho & Vinicius Sem Limite,Tzcqxt6lepenhwvuaygijeb3sxm
Aquarela,Toquinho,Toquinho & Vinicius Sem Limite,Tcikgpfuzsgiich7ozlwxf6izfi
Minha Namorada,Vinicius de Moraes,Toquinho & Vinicius Sem Limite,Tvjvni357be3ynh3yhhmmfmrjwa
Deixa Acontecer,Toquinho,Toquinho & Vinicius Sem Limite,Teg3t6jgqhrrzitwbij2uqgtbdy
Samba Em Prelúdio,Odete Lara,Toquinho & Vinicius Sem Limite,Tjjtwgy2mchdyhgrrxo63mpcp6q
Canto De Ossanha,Baden Powell Trio,Toquinho & Vinicius Sem Limite,Tgkotdhr4e2z2dz2sljgcgdfssy
Canto de Ossanha,Baden Powell,Os Afro-Sambas,Tp6z3uo3d3x44w5cvs3br7ewgnq
Variações Sobre Berimbau,Baden Powell,Os Afro-Sambas,Tdpzn3splzjke2cayvri2rej4sq
Berimbau,Baden Powell,Samba Triste,Tph7ctzojiki6c6abjrhe2grlem
Samba Triste,Baden Powell,Samba Triste,T3ymzoocdx7coxoufx4ullkkyhq
Berimbau,Baden Powell Trio,Baden Powell À Vontade,Tdycefuh3wwq4fv2n72xc5ivowi
Consolação,Baden Powell Trio,Baden Powell À Vontade,T7vctisravmx2ocgfslnj7rtnhe
Samba De Orly (Samba De Fiumicino),Toquinho,10 Anos De Toquinho Vinicius,Tunnwxdluoodlkh55mzbjday5wa
Carta Ao Tom 74,Vinícius de Moraes,20 Grandes Sucessos De Toquinho & Vinicius,Tzwof2frxyunrqrydxslk5shnbq
Samba Da Benção,Toquinho,20 Grandes Sucessos De Toquinho & Vinicius,Tmjwdqxh7cxim3hqn4dtepb5uwa
Samba Da Volta,Vinícius de Moraes,Vinicius & Toquinho,Tsdit5gcqwb67nxxwdl4jy4jhmy
Samba Da Volta,Vinícius de Moraes,Feijoada,Tflj7ejlwokfszs7cys2qgswebm
Turbilhão,Toquinho,Feijoada,Tntjjqla6kw7r24mqzlkapmsnpy
