Contigo en la Distancia,Trio Bembe,Oh My Soul,Tc7stshu36x3z4fkdrdy556nwti
Drume Negrita,Trio Bembe,Oh My Soul,Tyrejuohqwoyu4kvjqcupty53qa
Falso milagre do amor,Trio Bembe,Trio Bembe,Tac465abbytdjwg3vdssgxw6xki
Gracias a la vida,Trio Bembe,Trio Bembe,Ts55yshykse4shgyxofx46rzf6u
Sin miedo,Trio Bembe,Trio Bembe,Typommrtgh22b7mj56kllxhjvjm
Instantes,Trio Bembe,Trio Bembe,Ttn7kiwpwttqb65bw4ljp4ubiyi
"No, Valentín",Trio Bembe,Trio Bembe,Tk2432tubvlryky3eeja2mnowfe
Así son las cosas,Trio Bembe,Trio Bembe,Tvbaee5fhgcx4ue5vcuvechcm6e
Moro na roça,Trio Bembe,Trio Bembe,T4lzhd7jmjfq5jpdfczmsjlhrue
Come with Me,Trio Bembe,Oh My Soul,Tjwc6srm7e6elsf3sd5nijn3fzu
No Te Dejes Ganar,Trio Bembe,Oh My Soul,Tqup3256gge44q2pvk6erfcea24
Oh My Soul,Trio Bembe,Oh My Soul,Tshczzlpsbxmmml5t5up4nxwrra
