Saturday (Feat. Monie Love),Cunnie Williams,Star Hotel,Tw54di7dc2kftcc3q7aewwdmoxy
Turn! Turn! Turn! (To Everything There Is a Season),The Byrds,Turn! Turn! Turn!,Tcxkczwwf6nropdlb4hawdl4z7a
Kodachrome,Paul Simon,The Essential Paul Simon,Typmz3ad7eh43socxjrtihewmfu
Little Green Bag,George Baker Selection,Golden Years Of Dutch Pop Music,Tsp3qsdxni6eprvufehn2jbbtki
Dreams (Remastered Version),Fleetwood Mac,The Very Best Of Fleetwood Mac,T4vukd6xx5apkhwlut5jqf2lnf4
Eye in the Sky (Remastered),The Alan Parsons Project,The Best Of The Alan Parsons Project,Tr72ucx6sxplwrjwy6sinzjoro4
Almost Like Being In Love (feat. Paul Chambers & Art Taylor),Red Garland,Red Garland's Piano,Tz3w3lumq5ai7k54dz22lrhjce4
Ginza Samba,Vince Guaraldi,From All Sides (Remastered),T3vk7iangiqp7ro3e7kcabz7xre
There Will Never Be Another You,Wynton Kelly,Nine Classic Albums: 1951-1962,Tawzlfgw56oad5zlvd2cdw5lndm
I'm Crazy Bout My Baby (Edited Alternate Version),Louis Armstrong,Satchmo At Pasadena/ New Orleans Night/ Plays W.c.handy/ Satch Plays Fats/ Ambassador Satch,T4dfqsa4w6bdbx7mmlbavjvozw4
The Soul City Walk,Archie Bell & The Drells,Blame It On The Boogie,T34n6dennql2oyxgh5mjb3x6nwq
Message in Our Music,The O'Jays,Discover Further,Tvtcvpo2zu4f3sssvrbvgm3j4de
You'll Never Find Another Love Like Mine,Lou Rawls,Lou Rawls - The Very Best Of,Tanzg2tdrjbc6hxoga5tfs4wkmi
Cantaloop (Flip Fantasia) (feat. Rahsaan & Gerard Presencer),Us3,Hand On The Torch,Tzup26gkyfowm47jfab2xeizddu
Quando Você Deixar,Casuarina,7,Tetifnevzbfcyuu7uqfsanut5pu
Almost Like Being In Love (Remastered),Nat King Cole,The Extraordinary (Deluxe Edition),Tubgwyak3sybwhpisci6xg2qjjm
Begin the Beguine,Ella Fitzgerald,Cole Porter Songbook,Tlvpf7udfqadmlmyw6wpnxffi64
Happiness Is A Warm Gun (Remastered 2009),The Beatles,The Beatles (Remastered),To2k3l3t74tn7glzgvad3oudg5u
10:15 Saturday Night (Chestnut Studio Demo 5/78),The Cure,Three Imaginary Boys (Deluxe Edition),Tvitg6v5rgw4gjjy5j4ibho5rpy
Age Of Consent (2015 Remastered Version),New Order,"Power, Corruption & Lies",Tkpevayyszsuutmxjta4eawpvum
Catch,The Cure,"Kiss Me, Kiss Me, Kiss Me",Tbtehybg7jz3ei2kxqkrryww2vu
Kiss On My List,The Bird And The Bee,Interpreting The Masters Volume 1: A Tribute To Daryl Hall And John Oates,T3efi2fnxos2zkoettgmlyv6xb4
Son Of A Preacher Man,Dusty Springfield,The Silver Collection,Tv5x4dux2gkslxai5agysxqbyeq
Spooky (Quinten 909 Radio Mix),Dusty Springfield,Spooky (Quinten 909 Remix),T5vklvin2g54byygpqjuadnx2sq
What A Fool Believes,The Doobie Brothers,Minute By Minute,Tdagzjs7eqpc25yflqphrh2iqvy
Love Me Two Times,The Doors,Strange Days,Tj4e5ieyawnwqlpw7pyvt5zammy
Break On Through (To The Other Side),The Doors,The Doors,Tf5fi7jmqlngp4yjgro3dpcnmry
People Are Strange,The Doors,Strange Days,Tzbnhd3dsbld3nmmrlh4sz5bi4u
L.A. Woman,The Doors,L.A. Woman,Tdok6ko22u3ihc2nwptnhzq2mwy
You Make Me Real,The Doors,Morrison Hotel,Tmhupajip6edreclwobrcffazxy
Dos Almas,Ibrahim Ferrer,Mi Sueno,Tiegeqgxwh3ibm23iwtsvo2jxaa
Why Don't You Do Right (Get Me Some Money Too) (Remastered),Peggy Lee,The Best Of Miss Peggy Lee,Thv2itqpittpq7gkvzowvybj7ai
Oh! Darling (Remastered 2009),The Beatles,Abbey Road (Remastered),Tvuezht5fkhryxfyephoqgoe4ni
I Will Not Let You Go,Chuck Berry,The London Chuck Berry Sessions,Tqc7w5ceg7jfpq5igp7npxewfjy
You Really Got Me (2015 Remastered Version),Van Halen,Van Halen,Tuqhuj76koubzqtinkdoy2zafca
Jump (Remastered Version),Van Halen,The Very Best Of Van Halen,Tis7lffmbaunvf5l3ipiw6hkppq
Top Of The World (Remastered) [Live],Van Halen,"Live At The Selland Arena, Fresno, Ca May 14/15 1992 (Remastered)",Tcxcr2drzwm763wvecyr5mq5lei
Unchained (2015 Remastered),Van Halen,Fair Warning (Remastered),Tanv3syqo4pzobejvk2qr7ug6by
Panama (Remastered Live Version),Van Halen,The Very Best Of Van Halen,Tbg2eorsyptn3hdcpiykie3hvde
Why Can't This Be Love (Remastered Version),Van Halen,The Very Best Of Van Halen,Tcblxj75j7j3s7o2pdehm433t6m
Suedehead (2011 Remastered Version),Morrissey,Viva Hate [2011 - Remaster],Toioengtzge2fkxbol46mzztgfi
Caramel,Suzanne Vega,RetroSpective: The Best Of Suzanne Vega,Tf63wx5u5ktupioslgsfinp5y7i
Wave,Paul Desmond,Pure Desmond,Thw6zes44jkmrh7ouulhkil6ysa
Like Sonny,John Coltrane,The Legend Collection: John Coltrane,Tmsuin3mf3ky26i5zl3jwuv2eau
Oye Como Va,New Orleans Nightcrawlers,Live at the Old Point,Trdcqloep7hyygxpeuifp6imp3e
Begin the Beguine,Artie Shaw,30 Greatest Hits,Tnts4jerbyltt2otfmmkapoeio4
Stompin At the Savoy,Benny Goodman,"Sing, Sing, Sing",Tp3a7kidddxl7rf5p4ma4kn5kny
The Lady Is A Tramp,Peggy Lee,Mink Jazz,T556to37or57gzqflah3pyagowe
