Dreamer In My Dreams,Wilco,Being There,T4cdkd2k3brgli5k4meyuvcn4eu
Little Green Bag,George Baker Selection,Golden Years Of Dutch Pop Music,Tsp3qsdxni6eprvufehn2jbbtki
Son Of A Preacher Man,Dusty Springfield,The Silver Collection,Tv5x4dux2gkslxai5agysxqbyeq
In The City,The Jam,In The City (Remastered Version),Tzxqe3wjq3hdsqjlwo4qu6it3ni
Damaged Goods,Gang Of Four,Entertainment!,Tel7cv46dmigcigbuv3yxtt6one
I Found That Essence Rare,Gang Of Four,Entertainment!,Tvtmbotoqmo4zqkys5qjchuqhva
Psycho Killer (2005 Remastered Version ),Talking Heads,Talking Heads 77 (Deluxe Version),Ts7akzewwzgr4gljolfj2dr4epu
Love For Sale (2005 Remastered Version),Talking Heads,True Stories,Trhnkk6vzlnupqp5qagpz7zeclm
Wild Wild Life (2005 Remastered Version),Talking Heads,True Stories,Tfgxw66dh4tokjcpjpvdyg2rwbu
Love Shack,The B-52's,Cosmic Thing,Thbunpq6xvz2ev5krgfufiezymu
Rock Lobster,The B-52's,The B-52's,Tfxc5ps37mboaauwp2cafhsuvy4
It's the End of the World As We Know It (And I Feel Fine),R.E.M.,Document,T3dqq73gdjeq6zgbwijv4jugy2q
Shiny Happy People,R.E.M.,Out Of Time (25th Anniversary Edition),Tlhmvytrecklflbguwljhzcjbve
Where Is My Mind?,Pixies,Surfer Rosa,Tko577kg77rigj4t5uzb5jvwqgy
Here Comes Your Man,Pixies,Doolittle,Terd2bobvsbrx3ebqwoozrm5rmu
Just Like Honey,The Jesus And Mary Chain,Psychocandy (Expanded Version),Taozw2jlagwicj3icdeytkjob7a
Here's Where The Story Ends,The Sundays,"Reading, Writing & Arithmetic",Tmgkxezjgwninp7qc7j7ya4ehcm
Breathless,X,The X Collection: 1980-1987,Ty57l6oat2p4zeilclfsmxj5qxm
One Way Or Another (2001 - Remaster),Blondie,Parallel Lines: Deluxe Collector's Edition,Tz7kk7vpdfa7ntubs62vcakvwr4
The Tide Is High (2001 Digital Remaster),Blondie,Greatest Hits,Tijhw3ptdkbghmbt243wizk7eua
Beds Are Burning (Remastered),Midnight Oil,Diesel And Dust,Tdmcl5tkpkimt6xkmixqc57itzm
Everything Now,Arcade Fire,Everything Now,Tgin56rbtqsp3jzri62v5duxwam
Come On Eileen,Dexys Midnight Runners,Too Rye Ay (Deluxe Edition),T4q7hjeq2obc6bffl36nsa5yjvi
The Adultress (2006 Remastered Version),Pretenders,Pretenders II (Expanded & Remastered),Tcukfislcky37xpv7crsnnlkcly
Every Breath You Take (Remastered 2003),The Police,Synchronicity (Remastered),Tbatvbpmlvid6iiq4cpczsokoii
Roxanne (Remastered 2003),The Police,Outlandos D'Amour (Remastered),T324pmf5jf72lhwjwylxbwboyf4
So Lonely (Remastered 2003),The Police,Outlandos D'Amour (Remastered),T2djtuushcj4ydq4erzrt46fznu
Town Called Malice,The Jam,The Gift (Deluxe Edition),Tl5zfvcdf5i4nrr5qvtnmowz2h4
Making Plans For Nigel (2001 Remastered Version),XTC,Playlist: New Wave,T2jy2coga4i2vdli4ve2dhza2le
Eye in the Sky (Remastered),The Alan Parsons Project,Platinum & Gold Collection,T3am662s32nsllnejoxxvpgtlum
1979,The Smashing Pumpkins,Mellon Collie And The Infinite Sadness,Tfkaj2pgxhuzmataq5eilsxmcqu
