Glorious,Adam Friedman,Rock Dog (Original Motion Picture Soundtrack),Tjqhl6yf6bj3gfs6nu6vlhgus5a
Livin' la Vida Loca,Ricky Martin,Ricky Martin,Tvcfjgceavzxxef2kwydwyhe6u4
Na Cadência Do Samba,Novos Baianos,Vamos Pro Mundo,T3gx3qetog67yxer4qel62ziq7u
Gangnam Style,Psy,Gangnam Style,Tgmrl6gfrlrvta4jriy4qsm5jue
Mr. E's Beautiful Blues,Eels,Meet The EELS: Essential EELS 1996-2006 Vol. 1,Tajsa4dpyw5augkd7rn5qff7xyq
Meu Abrigo,Melim,Melim,Tueoxwrnyybe7giwxoimt3v436u
"Amor I Love You / Citação: Trecho Da Obra Intitulada ""Primo Basilio"" De Eça De Queiroz Declamado Por Arnaldo Antunes",Marisa Monte,"Memórias, Crônicas e Declarações de Amor",Tcmht7t3dx2ogaxfrwh4dvkxkwu
"The Neverending Story (From ""The Neverending Story"")",Limahl,Best Movie Songs,Tlj5pi4xajinwrdkfpg62noweqa
O Sol,Vitor Kley,O Sol,Tdwv6ulailivglbmax5ssaw5plq
Happy Hour à Beira Mar,Wilson Simoninha,Live Session At Trama Studios,Tluii6od2vytos2y63d3ir3h4lu
Be Thankful for What You Got (Pt. 1 & Pt. 2),William DeVaughn,Be Thankful for What You Got,Tg2yju2f7fadm7fef43wmftekm4
"De Babado (feat. Nelson Sargento, Nei Lopes e Zeca Pagodinho)",Ivan Lins,"Tributo A Noel Rosa, Vol. 1",Tpfycax7njtcag5xuk7jyzyvnk4
Adeus (feat. Época de Ouro),Ivan Lins,"Tributo A Noel Rosa, Vol. 1",Twyyllnwpwspsp4kkrwbe5zsrfi
Cansei de Pedir (feat. Chico Buarque e Nó Em Pingo D'água),Ivan Lins,"Tributo A Noel Rosa, Vol. 1",Trwskhnh4gvvveyfbt3zopv3jci
Quantos Beijos / Orvalho Vem Caindo (feat. Fundo de Quintal),Ivan Lins,"Tributo A Noel Rosa, Vol. 2",Ti7hnrpiahfe4jdbsbwedunqrx4
Até Amanhã (feat. Emilio Santiago),Ivan Lins,"Tributo A Noel Rosa, Vol. 2",Talmd5jvazb6jmq2ikl3f727la4
Let's Cool One,Thelonious Monk,In Orbit,Tvymfmr4zyghya62czoqqkhtequ
You Do Something To Me (Voice),Dick Hyman,Mighty Aphrodite - Original Soundtrack,Tblunbj6o7yzotg5ace5mdroefq
When You're Smiling (The Whole World Smiles With You) (Voice),Dick Hyman,Mighty Aphrodite - Original Soundtrack,T2ny3dfijzbpgviwfqzjqhj4ycm
Penthouse Serenade (When We're Alone) (Instrumental),Erroll Garner,Mighty Aphrodite - Original Soundtrack,Trlw2347lohk34phfatsruxqncq
Winterlong (2017 Remaster),Neil Young,Decade,Tmtrkvpafde6467mrk3ahxylcfa
Suzie Q,Creedence Clearwater Revival,Creedence Clearwater Revival (40th Anniversary Edition),Tsbtli3s3kwhizmowwl2ppdqr6i
Quando Você Deixar,Casuarina,7,Tetifnevzbfcyuu7uqfsanut5pu
Kiss On My List (Remastered),Daryl Hall & John Oates,The Essential Collection,Tz2wfr236vfr45aarxjwoskqwu4
I Can't Go for That (No Can Do) (Remastered),Daryl Hall & John Oates,The Essential Collection,Txjmeg3qn7g776k37j25y6lcszm
Vuelvo al sur,gatoNegro,TANGO,Tbtptmm4zfxfevvtnzezujsealu
Resposta Ao Tempo (The Voice Brasil),Amanda Amado,The Voice Brasil - Batalhas,To6nqxc5p5fdsn4qznhpyglgdzy
"Chora, Me Liga (Ao Vivo)",João Bosco & Vinícius,Seleção Essencial - Grandes Sucessos - João Bosco e Vinícius,Tdfeqg5ydx5prtrp46dyw5tkaxy
Deus e Eu no Sertão,Victor & Leo,Borboletas,Tlmw77ghaaoeh4qfaisi7jcropq
Tem Que Ser Você,Victor & Leo,Borboletas,Tbthg2e73zkwvwnid3cdelazeay
Me Espera (The Voice Brasil 2016),Lilian & Layane,Me Espera (The Voice Brasil 2016),Tawm4lsbuya4r3clicdymsnlqj4
Tocando Em Frente,Almir Sater,Além do Tempo,T654oeamlhyxm2vssikgdkxtn3m
Things That Make You Go Hmmmm.... (feat. Freedom Williams),C+C Music Factory,Gonna Make You Sweat,Tpvuk42ea3gfnl4nnexp4q24yoe
Paid In Full (Seven Minutes Of Madness - The Coldcut Remix),Eric B. & Rakim,Brown Sugar,T7izoqzjz2xqvvaglvats6a55gi
Seven Nation Army (Remasterisée),Ben L'Oncle Soul,Ben L'Oncle Soul,T3jakzuh22jgzgrc4usjjgyu47u
All About That Bass,Meghan Trainor,All About That Bass,T3s4wi7m3eakrpzc2cakbojnea4
Tell Me 'Bout It,Joss Stone,Introducing Joss Stone,Taxmbd4jfgksqugq7tb2e6lfqti
People Get Up And Drive Your Funky Soul,James Brown,The Singles: Vol. 9 1973-1975,Trjiquuogv7fpif4eeekfmh3u5y
Baile da Pesada,Fernanda Abreu,Entidade Urbana,Tlffrh4dgsyeyskx3m52ifq3k7u
Zona Norte - Zona Sul,Fernanda Abreu,Entidade Urbana,Ts727acmr4g54fkxsasgigqfp2a
Tambor (feat. Afrika Bambaataa),Fernanda Abreu,Amor Geral,Tc6gqq4ghacfvrzdhy3jxb3vy4e
Las Vegas Turnaround (The Stewardess Song),Daryl Hall & John Oates,The Atlantic Collection,Tdqi5ayfrxpeykuh6ei6n4rejv4
Fly Me To The Moon (In Other Words),Frank Sinatra,Sinatra/Basie: The Complete Reprise Studio Recordings,Tkittjmae6svlw6gz7tsw53npuq
Balanço Zona Sul,Wilson Simonal,Simonal - Ninguém Sabe O Duro Que Dei,Tu2mvjmwrllrhdhw35cb4nsvv5y
Chão de Giz,Zé Ramalho,Antologia Acústica,Tcihg6i4pwcc6uxoerxawz26pqu
Clube Da Esquina Nº 2 (Ao Vivo),Lô Borges,Para Sempre,Tzon6uto2tf26castvjabsegrnu
Wave,Joao Gilberto,Amoroso,Tfzvtlcysym2fqf3jb7sjt7i544
Jogada Pelo Mundo,Gal Costa,Aquarela Do Brasil,Ta7lcvctha4esve7oc4qmyaivtm
Astronauta,Gabriel O Pensador,Nádegas A Declarar,Ttkc4o4pm6focey6z43e3czrszi
O Descobridor dos Sete Mares,Lulu Santos,Focus On...Brazilian Music Grooves,Tcqy5c5gbacz7jz7uf55lb2eqce
Just Got Back from Baby's,ZZ Top,ZZ Top's First Album,Tsdpcuv44mbvsxw4ed6ag3kzhpm
Entre Dos Aguas (Remastered 2014),Paco De Lucía,La Búsqueda (Remastered 2014),Tauzc7dtgapk36pwgvqhfkg6y7u
Tudo O Que Você Podia Ser,Milton Nascimento,Tudo o Que Você Podia Ser,T4cjfczolzdltb2uz52vsqa32fe
Corazón partío,Alejandro Sanz,Más,T4lnl5mvc23d3gv2m4kgj76tzlq
Un homme et une femme,Baguette Quartette,A La Noce,Tdrcfsxi2nym5nwbg77xs563f3i
Juste quelqu'un de bien,Enzo Enzo,Deux,T2tcmlgnne24yo47jjg7uvsehhe
Trouble,Shampoo,We Are Shampoo,Tscazsr3hx7mhnnhydkd5c4l43m
A Rita / Samba do Grande Amor / Homenagem ao Malandro / Feijoada Completa (feat. Chico Buarque),Sururu na Roda,Sururu na Roda,T47j3fulefdz4n7fzdlrxjupppi
Better (Micky More Classic Mix),Angela Johnson,Dome In The House - Then And Now,Tfzc4py5qnkc65fci3js5nkqpe4
Barulho Bom (feat. Francisco el Hombre),Zaíra,Barulho Bom,Tc36odl56hyepjvsjvldmjigkda
Honky Tonk Women (Mono Version),The Rolling Stones,"Through The Past, Darkly (Big Hits Vol. 2)",T7xsd57sbd62z46qnqhe4xuvhxi
Meu Esquema,Mundo Livre S/A,Combat Samba - EP,T2fxqc4jyxvcjqnmydmd3vswkci
Pra Sonhar,Marcelo Jeneci,Feito Pra Acabar,Twsrqsvtuce4dp5t2ahs454uea4
Sambinha Bom,Mallu Magalhães,Mulheres do Brasil,Tkudfxluysfkppxcetntezokcjq
Quase Sem Querer,Roberta Campos,Quase Sem Querer,Tfsulz5v52dp3e4rvjbgrowcktu
Charme do Mundo,Qinho,Qinho Canta Marina,T6n4bxbynjedjfzb76hasco7hv4
Algo Parecido,Skank,Algo Parecido,T3o52erm2zaqv4xfgp27eufu7py
Abrigo,Roberta Campos,Abrigo,Tgzkj7mskqewmznltwdywrlfrmu
