Resposta Ao Tempo (The Voice Brasil),Amanda Amado,The Voice Brasil - Batalhas,To6nqxc5p5fdsn4qznhpyglgdzy
Romaria (The Voice Brasil / Ao Vivo),Danilo Reis & Rafael,Romaria (The Voice Brasil / Ao Vivo),Tizne6vlhw6eioxqmqtfe6jlqym
Medley: Lately / Nada Mais (Lately) (The Voice Brasil),Deena Love,The Voice Brasil - Batalhas - 3ª Temporada - Vol. 1,Tp2ng6ggsqjkkbyl5txtjrqo52q
Travessia (The Voice Brasil),Marcos Lessa,Travessia (The Voice Brasil),T244o4amvm3uqianjl4astezl7m
Drão (The Voice Brasil),Lui Medeiros,The Voice Brasil 3ª Temporada,Tyygavifbhuc2xbbli5mgfebyma
Que Nem Jiló,Lucy Alves,The Voice Brasil (2ª Temporada),Tqunizfwx2c6nahcyhhbjcbyde4
Arrastão (The Voice Brasil),Marcos Lessa,Arrastão (The Voice Brasil),T4ff3kfnrv5o4htwmoeswcavxvq
Oceano (The Voice Brasil),Lui Medeiros,Oceano (The Voice Brasil),T7aycfyzqbb2dtxnzect5xwnhzu
Planeta Água (The Voice Brasil),Danilo Reis & Rafael,Planeta Água (The Voice Brasil),Tryyjl2l42yqqubyisgfpozpbsy
Coqueiro Verde,Gabby Moura,The Voice Brasil (2ª Temporada),Tr7jmt7wmesmgty6eub7tqhwvr4
Taj Mahal,Ellen Oléria,Ellen Oléria,T4yim3zuniopz6xbbp6jnk6ipci
Me Espera (The Voice Brasil 2016),Lilian & Layane,Me Espera (The Voice Brasil 2016),Tawm4lsbuya4r3clicdymsnlqj4
Primavera (Vai Chuva) (The Voice Brasil 2016),Denilson Bhastos,Primavera (Vai Chuva) (The Voice Brasil 2016),Tzmge6ylfkxm7i44iaoz6cxjwxa
Influência Do Jazz (The Voice Brasil 2016),Aretha Lima,Influência Do Jazz (The Voice Brasil 2016),Tswgjbb3bradoqp5ojdqdpy2jzi
Encontros E Despedidas (The Voice Brasil 2016),Ariel,Encontros E Despedidas (The Voice Brasil 2016),Tpywt2p77rc4cwj54ywg65fqoq4
Coleção (The Voice Brasil 2016),Kassia Marvila,Coleção (The Voice Brasil 2016),Twpuuflwotcl6fdj5cohevv5kea
Listen (The Voice Brasil 2016),Cammie,Listen (The Voice Brasil 2016),Tvgz3zs3ppur53wohjprw4vpga4
Bad Girl / Wonderful (The Voice Brasil / Ao Vivo),Lui Medeiros,Coleção The Voice Brasil 2014 - Lui Medeiros,T4r74x665barhd7fdaz4ovu7wcy
Love Never Felt So Good (The Voice Brasil / Ao Vivo),Lui Medeiros,Love Never Felt So Good (The Voice Brasil / Ao Vivo),Tjswqwdo5n5eor4rbx2bnjmquu4
I Have Nothing (The Voice Brasil 2016),Kassia Marvila,I Have Nothing (The Voice Brasil 2016),Tmv2v3zlzxase2tb2r67ysf2dee
We Are The Champions (The Voice Brasil 2016),Renan Zonta,We Are The Champions (The Voice Brasil 2016),Tdinm7qw2gkzj4sdh2ofd66i32i
O Morro Não Tem Vez,Marcos Lessa,Entre o Mar e o Sertão,Tkvjmfylroumf2i7av4mvaae2ea
Hallelujah (The Voice Brasil),Sam Alves,Hallelujah,Tx2mtghbqw62cbignyadzomwytq
Killing Me Softly (The Voice Brasil 2016),Kassia Marvila,Killing Me Softly (The Voice Brasil 2016),Tdcbro2phgwb23j3uw23vzmmroy
